hits,quarter,term,year
0,1,"""women's empowerment""",1900
0,2,"""women's empowerment""",1900
0,3,"""women's empowerment""",1900
0,4,"""women's empowerment""",1900
0,1,"""women's empowerment""",1901
0,2,"""women's empowerment""",1901
0,3,"""women's empowerment""",1901
0,4,"""women's empowerment""",1901
0,1,"""women's empowerment""",1902
0,2,"""women's empowerment""",1902
0,3,"""women's empowerment""",1902
0,4,"""women's empowerment""",1902
0,1,"""women's empowerment""",1903
0,2,"""women's empowerment""",1903
0,3,"""women's empowerment""",1903
0,4,"""women's empowerment""",1903
0,1,"""women's empowerment""",1904
0,2,"""women's empowerment""",1904
0,3,"""women's empowerment""",1904
0,4,"""women's empowerment""",1904
0,1,"""women's empowerment""",1905
0,2,"""women's empowerment""",1905
0,3,"""women's empowerment""",1905
0,4,"""women's empowerment""",1905
0,1,"""women's empowerment""",1906
0,2,"""women's empowerment""",1906
0,3,"""women's empowerment""",1906
0,4,"""women's empowerment""",1906
0,1,"""women's empowerment""",1907
0,2,"""women's empowerment""",1907
0,3,"""women's empowerment""",1907
0,4,"""women's empowerment""",1907
0,1,"""women's empowerment""",1908
0,2,"""women's empowerment""",1908
0,3,"""women's empowerment""",1908
0,4,"""women's empowerment""",1908
0,1,"""women's empowerment""",1909
0,2,"""women's empowerment""",1909
0,3,"""women's empowerment""",1909
0,4,"""women's empowerment""",1909
0,1,"""women's empowerment""",1910
0,2,"""women's empowerment""",1910
0,3,"""women's empowerment""",1910
0,4,"""women's empowerment""",1910
0,1,"""women's empowerment""",1911
0,2,"""women's empowerment""",1911
0,3,"""women's empowerment""",1911
0,4,"""women's empowerment""",1911
0,1,"""women's empowerment""",1912
0,2,"""women's empowerment""",1912
0,3,"""women's empowerment""",1912
0,4,"""women's empowerment""",1912
0,1,"""women's empowerment""",1913
0,2,"""women's empowerment""",1913
0,3,"""women's empowerment""",1913
0,4,"""women's empowerment""",1913
0,1,"""women's empowerment""",1914
0,2,"""women's empowerment""",1914
0,3,"""women's empowerment""",1914
0,4,"""women's empowerment""",1914
0,1,"""women's empowerment""",1915
0,2,"""women's empowerment""",1915
0,3,"""women's empowerment""",1915
0,4,"""women's empowerment""",1915
0,1,"""women's empowerment""",1916
0,2,"""women's empowerment""",1916
0,3,"""women's empowerment""",1916
0,4,"""women's empowerment""",1916
0,1,"""women's empowerment""",1917
0,2,"""women's empowerment""",1917
0,3,"""women's empowerment""",1917
0,4,"""women's empowerment""",1917
0,1,"""women's empowerment""",1918
0,2,"""women's empowerment""",1918
0,3,"""women's empowerment""",1918
0,4,"""women's empowerment""",1918
0,1,"""women's empowerment""",1919
0,2,"""women's empowerment""",1919
0,3,"""women's empowerment""",1919
0,4,"""women's empowerment""",1919
0,1,"""women's empowerment""",1920
0,2,"""women's empowerment""",1920
0,3,"""women's empowerment""",1920
0,4,"""women's empowerment""",1920
0,1,"""women's empowerment""",1921
0,2,"""women's empowerment""",1921
0,3,"""women's empowerment""",1921
0,4,"""women's empowerment""",1921
0,1,"""women's empowerment""",1922
