hits,quarter,term,year
0,1,"""women's movement""",1900
0,2,"""women's movement""",1900
0,3,"""women's movement""",1900
0,4,"""women's movement""",1900
0,1,"""women's movement""",1901
0,2,"""women's movement""",1901
0,3,"""women's movement""",1901
0,4,"""women's movement""",1901
0,1,"""women's movement""",1902
0,2,"""women's movement""",1902
0,3,"""women's movement""",1902
0,4,"""women's movement""",1902
0,1,"""women's movement""",1903
0,2,"""women's movement""",1903
0,3,"""women's movement""",1903
0,4,"""women's movement""",1903
0,1,"""women's movement""",1904
0,2,"""women's movement""",1904
0,3,"""women's movement""",1904
0,4,"""women's movement""",1904
0,1,"""women's movement""",1905
0,2,"""women's movement""",1905
0,3,"""women's movement""",1905
0,4,"""women's movement""",1905
0,1,"""women's movement""",1906
0,2,"""women's movement""",1906
0,3,"""women's movement""",1906
0,4,"""women's movement""",1906
0,1,"""women's movement""",1907
0,2,"""women's movement""",1907
0,3,"""women's movement""",1907
0,4,"""women's movement""",1907
0,1,"""women's movement""",1908
0,2,"""women's movement""",1908
0,3,"""women's movement""",1908
0,4,"""women's movement""",1908
0,1,"""women's movement""",1909
0,2,"""women's movement""",1909
0,3,"""women's movement""",1909
0,4,"""women's movement""",1909
0,1,"""women's movement""",1910
0,2,"""women's movement""",1910
0,3,"""women's movement""",1910
0,4,"""women's movement""",1910
0,1,"""women's movement""",1911
0,2,"""women's movement""",1911
0,3,"""women's movement""",1911
0,4,"""women's movement""",1911
0,1,"""women's movement""",1912
0,2,"""women's movement""",1912
0,3,"""women's movement""",1912
0,4,"""women's movement""",1912
1,1,"""women's movement""",1913
0,2,"""women's movement""",1913
0,3,"""women's movement""",1913
0,4,"""women's movement""",1913
0,1,"""women's movement""",1914
0,2,"""women's movement""",1914
0,3,"""women's movement""",1914
0,4,"""women's movement""",1914
0,1,"""women's movement""",1915
0,2,"""women's movement""",1915
0,3,"""women's movement""",1915
0,4,"""women's movement""",1915
0,1,"""women's movement""",1916
0,2,"""women's movement""",1916
0,3,"""women's movement""",1916
0,4,"""women's movement""",1916
1,1,"""women's movement""",1917
0,2,"""women's movement""",1917
0,3,"""women's movement""",1917
0,4,"""women's movement""",1917
1,1,"""women's movement""",1918
0,2,"""women's movement""",1918
0,3,"""women's movement""",1918
0,4,"""women's movement""",1918
0,1,"""women's movement""",1919
0,2,"""women's movement""",1919
0,3,"""women's movement""",1919
0,4,"""women's movement""",1919
1,1,"""women's movement""",1920
0,2,"""women's movement""",1920
0,3,"""women's movement""",1920
1,4,"""women's movement""",1920
0,1,"""women's movement""",1921
0,2,"""women's movement""",1921
0,3,"""women's movement""",1921
0,4,"""women's movement""",1921
0,1,"""women's movement""",1922
0,2,"""women's movement""",1922
0,3,"""women's movement""",1922
0,4,"""women's movement""",1922
0,1,"""women's movement""",1923
0,2,"""women's movement""",1923
0,3,"""women's movement""",1923
0,4,"""women's movement""",1923
0,1,"""women's movement""",1924
0,2,"""women's movement""",1924
0,3,"""women's movement""",1924
0,4,"""women's movement""",1924
0,1,"""women's movement""",1925
0,2,"""women's movement""",1925
0,3,"""women's movement""",1925
0,4,"""women's movement""",1925
0,1,"""women's movement""",1926
0,2,"""women's movement""",1926
0,3,"""women's movement""",1926
0,4,"""women's movement""",1926
0,1,"""women's movement""",1927
0,2,"""women's movement""",1927
0,3,"""women's movement""",1927
0,4,"""women's movement""",1927
0,1,"""women's movement""",1928
0,2,"""women's movement""",1928
0,3,"""women's movement""",1928
0,4,"""women's movement""",1928
0,1,"""women's movement""",1929
0,2,"""women's movement""",1929
0,3,"""women's movement""",1929
0,4,"""women's movement""",1929
0,1,"""women's movement""",1930
0,2,"""women's movement""",1930
0,3,"""women's movement""",1930
0,4,"""women's movement""",1930
0,1,"""women's movement""",1931
1,2,"""women's movement""",1931
0,3,"""women's movement""",1931
0,4,"""women's movement""",1931
0,1,"""women's movement""",1932
0,2,"""women's movement""",1932
1,3,"""women's movement""",1932
0,4,"""women's movement""",1932
0,1,"""women's movement""",1933
0,2,"""women's movement""",1933
0,3,"""women's movement""",1933
0,4,"""women's movement""",1933
0,1,"""women's movement""",1934
0,2,"""women's movement""",1934
0,3,"""women's movement""",1934
0,4,"""women's movement""",1934
1,1,"""women's movement""",1935
0,2,"""women's movement""",1935
0,3,"""women's movement""",1935
1,4,"""women's movement""",1935
0,1,"""women's movement""",1936
0,2,"""women's movement""",1936
0,3,"""women's movement""",1936
2,4,"""women's movement""",1936
0,1,"""women's movement""",1937
0,2,"""women's movement""",1937
0,3,"""women's movement""",1937
0,4,"""women's movement""",1937
0,1,"""women's movement""",1938
0,2,"""women's movement""",1938
0,3,"""women's movement""",1938
1,4,"""women's movement""",1938
0,1,"""women's movement""",1939
0,2,"""women's movement""",1939
1,3,"""women's movement""",1939
0,4,"""women's movement""",1939
0,1,"""women's movement""",1940
0,2,"""women's movement""",1940
0,3,"""women's movement""",1940
0,4,"""women's movement""",1940
1,1,"""women's movement""",1941
0,2,"""women's movement""",1941
0,3,"""women's movement""",1941
0,4,"""women's movement""",1941
0,1,"""women's movement""",1942
0,2,"""women's movement""",1942
0,3,"""women's movement""",1942
0,4,"""women's movement""",1942
0,1,"""women's movement""",1943
0,2,"""women's movement""",1943
0,3,"""women's movement""",1943
0,4,"""women's movement""",1943
0,1,"""women's movement""",1944
0,2,"""women's movement""",1944
0,3,"""women's movement""",1944
0,4,"""women's movement""",1944
0,1,"""women's movement""",1945
0,2,"""women's movement""",1945
0,3,"""women's movement""",1945
0,4,"""women's movement""",1945
0,1,"""women's movement""",1946
0,2,"""women's movement""",1946
0,3,"""women's movement""",1946
0,4,"""women's movement""",1946
0,1,"""women's movement""",1947
0,2,"""women's movement""",1947
0,3,"""women's movement""",1947
0,4,"""women's movement""",1947
0,1,"""women's movement""",1948
0,2,"""women's movement""",1948
0,3,"""women's movement""",1948
0,4,"""women's movement""",1948
0,1,"""women's movement""",1949
0,2,"""women's movement""",1949
0,3,"""women's movement""",1949
0,4,"""women's movement""",1949
0,1,"""women's movement""",1950
0,2,"""women's movement""",1950
0,3,"""women's movement""",1950
0,4,"""women's movement""",1950
0,1,"""women's movement""",1951
0,2,"""women's movement""",1951
0,3,"""women's movement""",1951
0,4,"""women's movement""",1951
0,1,"""women's movement""",1952
0,2,"""women's movement""",1952
0,3,"""women's movement""",1952
0,4,"""women's movement""",1952
0,1,"""women's movement""",1953
0,2,"""women's movement""",1953
0,3,"""women's movement""",1953
0,4,"""women's movement""",1953
0,1,"""women's movement""",1954
0,2,"""women's movement""",1954
1,3,"""women's movement""",1954
0,4,"""women's movement""",1954
0,1,"""women's movement""",1955
0,2,"""women's movement""",1955
0,3,"""women's movement""",1955
0,4,"""women's movement""",1955
0,1,"""women's movement""",1956
0,2,"""women's movement""",1956
0,3,"""women's movement""",1956
0,4,"""women's movement""",1956
0,1,"""women's movement""",1957
0,2,"""women's movement""",1957
0,3,"""women's movement""",1957
0,4,"""women's movement""",1957
0,1,"""women's movement""",1958
0,2,"""women's movement""",1958
0,3,"""women's movement""",1958
0,4,"""women's movement""",1958
0,1,"""women's movement""",1959
0,2,"""women's movement""",1959
0,3,"""women's movement""",1959
0,4,"""women's movement""",1959
1,1,"""women's movement""",1960
0,2,"""women's movement""",1960
0,3,"""women's movement""",1960
0,4,"""women's movement""",1960
0,1,"""women's movement""",1961
0,2,"""women's movement""",1961
0,3,"""women's movement""",1961
0,4,"""women's movement""",1961
0,1,"""women's movement""",1962
0,2,"""women's movement""",1962
0,3,"""women's movement""",1962
0,4,"""women's movement""",1962
0,1,"""women's movement""",1963
0,2,"""women's movement""",1963
0,3,"""women's movement""",1963
0,4,"""women's movement""",1963
0,1,"""women's movement""",1964
0,2,"""women's movement""",1964
0,3,"""women's movement""",1964
0,4,"""women's movement""",1964
0,1,"""women's movement""",1965
0,2,"""women's movement""",1965
0,3,"""women's movement""",1965
0,4,"""women's movement""",1965
0,1,"""women's movement""",1966
0,2,"""women's movement""",1966
0,3,"""women's movement""",1966
0,4,"""women's movement""",1966
0,1,"""women's movement""",1967
0,2,"""women's movement""",1967
0,3,"""women's movement""",1967
0,4,"""women's movement""",1967
0,1,"""women's movement""",1968
0,2,"""women's movement""",1968
0,3,"""women's movement""",1968
0,4,"""women's movement""",1968
0,1,"""women's movement""",1969
0,2,"""women's movement""",1969
0,3,"""women's movement""",1969
0,4,"""women's movement""",1969
1,1,"""women's movement""",1970
0,2,"""women's movement""",1970
2,3,"""women's movement""",1970
4,4,"""women's movement""",1970
4,1,"""women's movement""",1971
5,2,"""women's movement""",1971
4,3,"""women's movement""",1971
6,4,"""women's movement""",1971
19,1,"""women's movement""",1972
24,2,"""women's movement""",1972
17,3,"""women's movement""",1972
18,4,"""women's movement""",1972
30,1,"""women's movement""",1973
21,2,"""women's movement""",1973
15,3,"""women's movement""",1973
20,4,"""women's movement""",1973
30,1,"""women's movement""",1974
34,2,"""women's movement""",1974
36,3,"""women's movement""",1974
41,4,"""women's movement""",1974
29,1,"""women's movement""",1975
27,2,"""women's movement""",1975
29,3,"""women's movement""",1975
59,4,"""women's movement""",1975
24,1,"""women's movement""",1976
38,2,"""women's movement""",1976
17,3,"""women's movement""",1976
29,4,"""women's movement""",1976
38,1,"""women's movement""",1977
45,2,"""women's movement""",1977
41,3,"""women's movement""",1977
75,4,"""women's movement""",1977
57,1,"""women's movement""",1978
55,2,"""women's movement""",1978
11,3,"""women's movement""",1978
27,4,"""women's movement""",1978
28,1,"""women's movement""",1979
33,2,"""women's movement""",1979
23,3,"""women's movement""",1979
39,4,"""women's movement""",1979
3,1,"""women's movement""",1980
0,2,"""women's movement""",1980
1,3,"""women's movement""",1980
2,4,"""women's movement""",1980
36,1,"""women's movement""",1981
28,2,"""women's movement""",1981
27,3,"""women's movement""",1981
31,4,"""women's movement""",1981
25,1,"""women's movement""",1982
17,2,"""women's movement""",1982
24,3,"""women's movement""",1982
26,4,"""women's movement""",1982
26,1,"""women's movement""",1983
33,2,"""women's movement""",1983
23,3,"""women's movement""",1983
33,4,"""women's movement""",1983
26,1,"""women's movement""",1984
23,2,"""women's movement""",1984
26,3,"""women's movement""",1984
31,4,"""women's movement""",1984
23,1,"""women's movement""",1985
16,2,"""women's movement""",1985
27,3,"""women's movement""",1985
27,4,"""women's movement""",1985
23,1,"""women's movement""",1986
23,2,"""women's movement""",1986
17,3,"""women's movement""",1986
24,4,"""women's movement""",1986
12,1,"""women's movement""",1987
19,2,"""women's movement""",1987
21,3,"""women's movement""",1987
14,4,"""women's movement""",1987
20,1,"""women's movement""",1988
19,2,"""women's movement""",1988
16,3,"""women's movement""",1988
20,4,"""women's movement""",1988
15,1,"""women's movement""",1989
27,2,"""women's movement""",1989
23,3,"""women's movement""",1989
17,4,"""women's movement""",1989
20,1,"""women's movement""",1990
14,2,"""women's movement""",1990
10,3,"""women's movement""",1990
20,4,"""women's movement""",1990
17,1,"""women's movement""",1991
12,2,"""women's movement""",1991
23,3,"""women's movement""",1991
20,4,"""women's movement""",1991
28,1,"""women's movement""",1992
15,2,"""women's movement""",1992
28,3,"""women's movement""",1992
20,1,"""women's movement""",1993
23,2,"""women's movement""",1993
24,3,"""women's movement""",1993
25,4,"""women's movement""",1993
22,1,"""women's movement""",1994
19,2,"""women's movement""",1994
12,3,"""women's movement""",1994
13,4,"""women's movement""",1994
23,1,"""women's movement""",1995
0,2,"""women's movement""",1995
18,3,"""women's movement""",1995
10,4,"""women's movement""",1995
9,1,"""women's movement""",1996
11,2,"""women's movement""",1996
12,3,"""women's movement""",1996
17,4,"""women's movement""",1996
14,1,"""women's movement""",1997
12,2,"""women's movement""",1997
7,3,"""women's movement""",1997
21,4,"""women's movement""",1997
21,1,"""women's movement""",1998
25,2,"""women's movement""",1998
9,3,"""women's movement""",1998
16,4,"""women's movement""",1998
10,1,"""women's movement""",1999
15,2,"""women's movement""",1999
8,3,"""women's movement""",1999
17,4,"""women's movement""",1999
16,1,"""women's movement""",2000
18,2,"""women's movement""",2000
3,3,"""women's movement""",2000
19,4,"""women's movement""",2000
9,1,"""women's movement""",2001
11,2,"""women's movement""",2001
13,3,"""women's movement""",2001
4,4,"""women's movement""",2001
3,1,"""women's movement""",2002
18,2,"""women's movement""",2002
5,3,"""women's movement""",2002
11,4,"""women's movement""",2002
2,1,"""women's movement""",2003
15,2,"""women's movement""",2003
13,3,"""women's movement""",2003
13,4,"""women's movement""",2003
16,1,"""women's movement""",2004
9,2,"""women's movement""",2004
7,3,"""women's movement""",2004
9,4,"""women's movement""",2004
7,1,"""women's movement""",2005
14,2,"""women's movement""",2005
10,3,"""women's movement""",2005
13,4,"""women's movement""",2005
23,1,"""women's movement""",2006
20,2,"""women's movement""",2006
23,3,"""women's movement""",2006
18,4,"""women's movement""",2006
12,1,"""women's movement""",2007
9,2,"""women's movement""",2007
13,3,"""women's movement""",2007
8,4,"""women's movement""",2007
18,1,"""women's movement""",2008
8,2,"""women's movement""",2008
15,3,"""women's movement""",2008
9,4,"""women's movement""",2008
5,1,"""women's movement""",2009
14,2,"""women's movement""",2009
8,3,"""women's movement""",2009
