hits,quarter,term,year
0,1,"""women's suffrage""",1900
0,2,"""women's suffrage""",1900
0,3,"""women's suffrage""",1900
0,4,"""women's suffrage""",1900
0,1,"""women's suffrage""",1901
0,2,"""women's suffrage""",1901
0,3,"""women's suffrage""",1901
0,4,"""women's suffrage""",1901
0,1,"""women's suffrage""",1902
0,2,"""women's suffrage""",1902
0,3,"""women's suffrage""",1902
0,4,"""women's suffrage""",1902
1,1,"""women's suffrage""",1903
0,2,"""women's suffrage""",1903
0,3,"""women's suffrage""",1903
0,4,"""women's suffrage""",1903
0,1,"""women's suffrage""",1904
0,2,"""women's suffrage""",1904
0,3,"""women's suffrage""",1904
0,4,"""women's suffrage""",1904
0,1,"""women's suffrage""",1905
0,2,"""women's suffrage""",1905
0,3,"""women's suffrage""",1905
0,4,"""women's suffrage""",1905
1,1,"""women's suffrage""",1906
0,2,"""women's suffrage""",1906
0,3,"""women's suffrage""",1906
0,4,"""women's suffrage""",1906
0,1,"""women's suffrage""",1907
0,2,"""women's suffrage""",1907
0,3,"""women's suffrage""",1907
0,4,"""women's suffrage""",1907
0,1,"""women's suffrage""",1908
1,2,"""women's suffrage""",1908
1,3,"""women's suffrage""",1908
2,4,"""women's suffrage""",1908
3,1,"""women's suffrage""",1909
0,2,"""women's suffrage""",1909
4,3,"""women's suffrage""",1909
1,4,"""women's suffrage""",1909
1,1,"""women's suffrage""",1910
2,2,"""women's suffrage""",1910
1,3,"""women's suffrage""",1910
3,4,"""women's suffrage""",1910
1,1,"""women's suffrage""",1911
1,2,"""women's suffrage""",1911
2,3,"""women's suffrage""",1911
2,4,"""women's suffrage""",1911
0,1,"""women's suffrage""",1912
0,2,"""women's suffrage""",1912
1,3,"""women's suffrage""",1912
2,4,"""women's suffrage""",1912
0,1,"""women's suffrage""",1913
1,2,"""women's suffrage""",1913
1,3,"""women's suffrage""",1913
1,4,"""women's suffrage""",1913
0,1,"""women's suffrage""",1914
0,2,"""women's suffrage""",1914
1,3,"""women's suffrage""",1914
0,4,"""women's suffrage""",1914
0,1,"""women's suffrage""",1915
1,2,"""women's suffrage""",1915
1,3,"""women's suffrage""",1915
0,4,"""women's suffrage""",1915
1,1,"""women's suffrage""",1916
1,2,"""women's suffrage""",1916
0,3,"""women's suffrage""",1916
1,4,"""women's suffrage""",1916
1,1,"""women's suffrage""",1917
1,2,"""women's suffrage""",1917
0,3,"""women's suffrage""",1917
3,4,"""women's suffrage""",1917
1,1,"""women's suffrage""",1918
0,2,"""women's suffrage""",1918
2,3,"""women's suffrage""",1918
0,4,"""women's suffrage""",1918
0,1,"""women's suffrage""",1919
1,2,"""women's suffrage""",1919
0,3,"""women's suffrage""",1919
0,4,"""women's suffrage""",1919
1,1,"""women's suffrage""",1920
0,2,"""women's suffrage""",1920
0,3,"""women's suffrage""",1920
0,4,"""women's suffrage""",1920
0,1,"""women's suffrage""",1921
0,2,"""women's suffrage""",1921
0,3,"""women's suffrage""",1921
0,4,"""women's suffrage""",1921
1,1,"""women's suffrage""",1922
0,2,"""women's suffrage""",1922
0,3,"""women's suffrage""",1922
0,4,"""women's suffrage""",1922
0,1,"""women's suffrage""",1923
1,2,"""women's suffrage""",1923
0,3,"""women's suffrage""",1923
0,4,"""women's suffrage""",1923
0,1,"""women's suffrage""",1924
0,2,"""women's suffrage""",1924
0,3,"""women's suffrage""",1924
0,4,"""women's suffrage""",1924
0,1,"""women's suffrage""",1925
1,2,"""women's suffrage""",1925
0,3,"""women's suffrage""",1925
0,4,"""women's suffrage""",1925
0,1,"""women's suffrage""",1926
0,2,"""women's suffrage""",1926
0,3,"""women's suffrage""",1926
0,4,"""women's suffrage""",1926
0,1,"""women's suffrage""",1927
0,2,"""women's suffrage""",1927
0,3,"""women's suffrage""",1927
0,4,"""women's suffrage""",1927
0,1,"""women's suffrage""",1928
1,2,"""women's suffrage""",1928
0,3,"""women's suffrage""",1928
0,4,"""women's suffrage""",1928
0,1,"""women's suffrage""",1929
0,2,"""women's suffrage""",1929
0,3,"""women's suffrage""",1929
0,4,"""women's suffrage""",1929
2,1,"""women's suffrage""",1930
2,2,"""women's suffrage""",1930
0,3,"""women's suffrage""",1930
0,4,"""women's suffrage""",1930
1,1,"""women's suffrage""",1931
0,2,"""women's suffrage""",1931
0,3,"""women's suffrage""",1931
0,4,"""women's suffrage""",1931
0,1,"""women's suffrage""",1932
1,2,"""women's suffrage""",1932
0,3,"""women's suffrage""",1932
0,4,"""women's suffrage""",1932
0,1,"""women's suffrage""",1933
0,2,"""women's suffrage""",1933
0,3,"""women's suffrage""",1933
2,4,"""women's suffrage""",1933
0,1,"""women's suffrage""",1934
0,2,"""women's suffrage""",1934
0,3,"""women's suffrage""",1934
0,4,"""women's suffrage""",1934
0,1,"""women's suffrage""",1935
0,2,"""women's suffrage""",1935
1,3,"""women's suffrage""",1935
1,4,"""women's suffrage""",1935
2,1,"""women's suffrage""",1936
0,2,"""women's suffrage""",1936
0,3,"""women's suffrage""",1936
1,4,"""women's suffrage""",1936
0,1,"""women's suffrage""",1937
0,2,"""women's suffrage""",1937
2,3,"""women's suffrage""",1937
2,4,"""women's suffrage""",1937
0,1,"""women's suffrage""",1938
0,2,"""women's suffrage""",1938
1,3,"""women's suffrage""",1938
0,4,"""women's suffrage""",1938
0,1,"""women's suffrage""",1939
0,2,"""women's suffrage""",1939
0,3,"""women's suffrage""",1939
0,4,"""women's suffrage""",1939
0,1,"""women's suffrage""",1940
0,2,"""women's suffrage""",1940
