hits,quarter,term,year
15653,1,(equali*) AND equalism,1900
15113,2,(equali*) AND equalism,1900
16446,3,(equali*) AND equalism,1900
15982,4,(equali*) AND equalism,1900
15499,1,(equali*) AND equalism,1901
15453,2,(equali*) AND equalism,1901
14679,3,(equali*) AND equalism,1901
15313,4,(equali*) AND equalism,1901
15090,1,(equali*) AND equalism,1902
15186,2,(equali*) AND equalism,1902
15995,3,(equali*) AND equalism,1902
15079,4,(equali*) AND equalism,1902
15149,1,(equali*) AND equalism,1903
15634,2,(equali*) AND equalism,1903
16307,3,(equali*) AND equalism,1903
15231,4,(equali*) AND equalism,1903
13827,1,(equali*) AND equalism,1904
14033,2,(equali*) AND equalism,1904
14223,3,(equali*) AND equalism,1904
12024,4,(equali*) AND equalism,1904
12086,1,(equali*) AND equalism,1905
13518,2,(equali*) AND equalism,1905
13198,3,(equali*) AND equalism,1905
12234,4,(equali*) AND equalism,1905
12029,1,(equali*) AND equalism,1906
11988,2,(equali*) AND equalism,1906
12197,3,(equali*) AND equalism,1906
12126,4,(equali*) AND equalism,1906
12945,1,(equali*) AND equalism,1907
13712,2,(equali*) AND equalism,1907
14587,3,(equali*) AND equalism,1907
14017,4,(equali*) AND equalism,1907
12927,1,(equali*) AND equalism,1908
13115,2,(equali*) AND equalism,1908
14329,3,(equali*) AND equalism,1908
13216,4,(equali*) AND equalism,1908
12870,1,(equali*) AND equalism,1909
13108,2,(equali*) AND equalism,1909
13843,3,(equali*) AND equalism,1909
13608,4,(equali*) AND equalism,1909
14283,1,(equali*) AND equalism,1910
15784,2,(equali*) AND equalism,1910
16564,3,(equali*) AND equalism,1910
14394,4,(equali*) AND equalism,1910
13591,1,(equali*) AND equalism,1911
14563,2,(equali*) AND equalism,1911
15121,3,(equali*) AND equalism,1911
15420,4,(equali*) AND equalism,1911
16868,1,(equali*) AND equalism,1912
16485,2,(equali*) AND equalism,1912
14990,3,(equali*) AND equalism,1912
15303,4,(equali*) AND equalism,1912
15806,1,(equali*) AND equalism,1913
16094,2,(equali*) AND equalism,1913
14944,3,(equali*) AND equalism,1913
15802,4,(equali*) AND equalism,1913
15856,1,(equali*) AND equalism,1914
16780,2,(equali*) AND equalism,1914
16981,3,(equali*) AND equalism,1914
17144,4,(equali*) AND equalism,1914
16414,1,(equali*) AND equalism,1915
17919,2,(equali*) AND equalism,1915
17180,3,(equali*) AND equalism,1915
16262,4,(equali*) AND equalism,1915
15623,1,(equali*) AND equalism,1916
15601,2,(equali*) AND equalism,1916
15208,3,(equali*) AND equalism,1916
14067,4,(equali*) AND equalism,1916
17581,1,(equali*) AND equalism,1917
16898,2,(equali*) AND equalism,1917
16307,3,(equali*) AND equalism,1917
17261,4,(equali*) AND equalism,1917
17174,1,(equali*) AND equalism,1918
18060,2,(equali*) AND equalism,1918
16190,3,(equali*) AND equalism,1918
14561,4,(equali*) AND equalism,1918
15839,1,(equali*) AND equalism,1919
17689,2,(equali*) AND equalism,1919
18022,3,(equali*) AND equalism,1919
19018,4,(equali*) AND equalism,1919
19596,1,(equali*) AND equalism,1920
19956,2,(equali*) AND equalism,1920
19006,3,(equali*) AND equalism,1920
20971,4,(equali*) AND equalism,1920
22268,1,(equali*) AND equalism,1921
23696,2,(equali*) AND equalism,1921
22097,3,(equali*) AND equalism,1921
23746,4,(equali*) AND equalism,1921
24360,1,(equali*) AND equalism,1922
24898,2,(equali*) AND equalism,1922
23343,3,(equali*) AND equalism,1922
24005,4,(equali*) AND equalism,1922
20474,1,(equali*) AND equalism,1923
20151,2,(equali*) AND equalism,1923
18781,3,(equali*) AND equalism,1923
19199,4,(equali*) AND equalism,1923
19895,1,(equali*) AND equalism,1924
20296,2,(equali*) AND equalism,1924
19138,3,(equali*) AND equalism,1924
19900,4,(equali*) AND equalism,1924
21742,1,(equali*) AND equalism,1925
22841,2,(equali*) AND equalism,1925
22893,3,(equali*) AND equalism,1925
22038,4,(equali*) AND equalism,1925
25133,1,(equali*) AND equalism,1926
27765,2,(equali*) AND equalism,1926
27918,3,(equali*) AND equalism,1926
33637,4,(equali*) AND equalism,1926
35114,1,(equali*) AND equalism,1927
36505,2,(equali*) AND equalism,1927
34923,3,(equali*) AND equalism,1927
37179,4,(equali*) AND equalism,1927
37814,1,(equali*) AND equalism,1928
37650,2,(equali*) AND equalism,1928
34952,3,(equali*) AND equalism,1928
36384,4,(equali*) AND equalism,1928
37073,1,(equali*) AND equalism,1929
37801,2,(equali*) AND equalism,1929
37457,3,(equali*) AND equalism,1929
38684,4,(equali*) AND equalism,1929
38728,1,(equali*) AND equalism,1930
40311,2,(equali*) AND equalism,1930
35997,3,(equali*) AND equalism,1930
37321,4,(equali*) AND equalism,1930
37009,1,(equali*) AND equalism,1931
39054,2,(equali*) AND equalism,1931
35709,3,(equali*) AND equalism,1931
37657,4,(equali*) AND equalism,1931
34200,1,(equali*) AND equalism,1932
32084,2,(equali*) AND equalism,1932
30317,3,(equali*) AND equalism,1932
32316,4,(equali*) AND equalism,1932
40302,1,(equali*) AND equalism,1933
37105,2,(equali*) AND equalism,1933
31839,3,(equali*) AND equalism,1933
32448,4,(equali*) AND equalism,1933
37704,1,(equali*) AND equalism,1934
39733,2,(equali*) AND equalism,1934
35838,3,(equali*) AND equalism,1934
37764,4,(equali*) AND equalism,1934
37582,1,(equali*) AND equalism,1935
38144,2,(equali*) AND equalism,1935
37061,3,(equali*) AND equalism,1935
39305,4,(equali*) AND equalism,1935
38480,1,(equali*) AND equalism,1936
39085,2,(equali*) AND equalism,1936
37111,3,(equali*) AND equalism,1936
41265,4,(equali*) AND equalism,1936
38659,1,(equali*) AND equalism,1937
39461,2,(equali*) AND equalism,1937
36642,3,(equali*) AND equalism,1937
38400,4,(equali*) AND equalism,1937
36483,1,(equali*) AND equalism,1938
35788,2,(equali*) AND equalism,1938
32705,3,(equali*) AND equalism,1938
36193,4,(equali*) AND equalism,1938
35750,1,(equali*) AND equalism,1939
37611,2,(equali*) AND equalism,1939
34374,3,(equali*) AND equalism,1939
37185,4,(equali*) AND equalism,1939
35846,1,(equali*) AND equalism,1940
35715,2,(equali*) AND equalism,1940
33210,3,(equali*) AND equalism,1940
36125,4,(equali*) AND equalism,1940
38837,1,(equali*) AND equalism,1941
38846,2,(equali*) AND equalism,1941
35364,3,(equali*) AND equalism,1941
38233,4,(equali*) AND equalism,1941
36729,1,(equali*) AND equalism,1942
34402,2,(equali*) AND equalism,1942
32988,3,(equali*) AND equalism,1942
33697,4,(equali*) AND equalism,1942
32379,1,(equali*) AND equalism,1943
32000,2,(equali*) AND equalism,1943
30013,3,(equali*) AND equalism,1943
30864,4,(equali*) AND equalism,1943
29875,1,(equali*) AND equalism,1944
30100,2,(equali*) AND equalism,1944
28443,3,(equali*) AND equalism,1944
30409,4,(equali*) AND equalism,1944
27438,1,(equali*) AND equalism,1945
27794,2,(equali*) AND equalism,1945
28054,3,(equali*) AND equalism,1945
29430,4,(equali*) AND equalism,1945
30103,1,(equali*) AND equalism,1946
32302,2,(equali*) AND equalism,1946
31514,3,(equali*) AND equalism,1946
34222,4,(equali*) AND equalism,1946
34770,1,(equali*) AND equalism,1947
35330,2,(equali*) AND equalism,1947
33239,3,(equali*) AND equalism,1947
34697,4,(equali*) AND equalism,1947
33046,1,(equali*) AND equalism,1948
33538,2,(equali*) AND equalism,1948
32826,3,(equali*) AND equalism,1948
35646,4,(equali*) AND equalism,1948
34964,1,(equali*) AND equalism,1949
35028,2,(equali*) AND equalism,1949
33881,3,(equali*) AND equalism,1949
35654,4,(equali*) AND equalism,1949
