hits,quarter,term,year
15653,1,(equali*) AND equalist,1900
15113,2,(equali*) AND equalist,1900
16446,3,(equali*) AND equalist,1900
15982,4,(equali*) AND equalist,1900
15499,1,(equali*) AND equalist,1901
15453,2,(equali*) AND equalist,1901
14680,3,(equali*) AND equalist,1901
15312,4,(equali*) AND equalist,1901
15088,1,(equali*) AND equalist,1902
15186,2,(equali*) AND equalist,1902
15995,3,(equali*) AND equalist,1902
15079,4,(equali*) AND equalist,1902
15148,1,(equali*) AND equalist,1903
15634,2,(equali*) AND equalist,1903
16307,3,(equali*) AND equalist,1903
15231,4,(equali*) AND equalist,1903
13826,1,(equali*) AND equalist,1904
14033,2,(equali*) AND equalist,1904
14223,3,(equali*) AND equalist,1904
12024,4,(equali*) AND equalist,1904
12086,1,(equali*) AND equalist,1905
13518,2,(equali*) AND equalist,1905
13197,3,(equali*) AND equalist,1905
12234,4,(equali*) AND equalist,1905
12027,1,(equali*) AND equalist,1906
11988,2,(equali*) AND equalist,1906
12196,3,(equali*) AND equalist,1906
12126,4,(equali*) AND equalist,1906
12945,1,(equali*) AND equalist,1907
13710,2,(equali*) AND equalist,1907
14586,3,(equali*) AND equalist,1907
14018,4,(equali*) AND equalist,1907
12927,1,(equali*) AND equalist,1908
13115,2,(equali*) AND equalist,1908
14329,3,(equali*) AND equalist,1908
13216,4,(equali*) AND equalist,1908
12869,1,(equali*) AND equalist,1909
13107,2,(equali*) AND equalist,1909
13842,3,(equali*) AND equalist,1909
13607,4,(equali*) AND equalist,1909
14283,1,(equali*) AND equalist,1910
15782,2,(equali*) AND equalist,1910
16565,3,(equali*) AND equalist,1910
14394,4,(equali*) AND equalist,1910
13588,1,(equali*) AND equalist,1911
14563,2,(equali*) AND equalist,1911
15120,3,(equali*) AND equalist,1911
15420,4,(equali*) AND equalist,1911
16865,1,(equali*) AND equalist,1912
16483,2,(equali*) AND equalist,1912
14990,3,(equali*) AND equalist,1912
15302,4,(equali*) AND equalist,1912
15805,1,(equali*) AND equalist,1913
16093,2,(equali*) AND equalist,1913
14944,3,(equali*) AND equalist,1913
15802,4,(equali*) AND equalist,1913
15855,1,(equali*) AND equalist,1914
16777,2,(equali*) AND equalist,1914
16980,3,(equali*) AND equalist,1914
17142,4,(equali*) AND equalist,1914
16413,1,(equali*) AND equalist,1915
17919,2,(equali*) AND equalist,1915
17177,3,(equali*) AND equalist,1915
16261,4,(equali*) AND equalist,1915
15622,1,(equali*) AND equalist,1916
15599,2,(equali*) AND equalist,1916
15207,3,(equali*) AND equalist,1916
14064,4,(equali*) AND equalist,1916
17578,1,(equali*) AND equalist,1917
16897,2,(equali*) AND equalist,1917
16305,3,(equali*) AND equalist,1917
17260,4,(equali*) AND equalist,1917
17174,1,(equali*) AND equalist,1918
18058,2,(equali*) AND equalist,1918
16185,3,(equali*) AND equalist,1918
14559,4,(equali*) AND equalist,1918
15838,1,(equali*) AND equalist,1919
17684,2,(equali*) AND equalist,1919
18020,3,(equali*) AND equalist,1919
19016,4,(equali*) AND equalist,1919
19593,1,(equali*) AND equalist,1920
19954,2,(equali*) AND equalist,1920
19005,3,(equali*) AND equalist,1920
20970,4,(equali*) AND equalist,1920
22265,1,(equali*) AND equalist,1921
23690,2,(equali*) AND equalist,1921
22093,3,(equali*) AND equalist,1921
23741,4,(equali*) AND equalist,1921
24355,1,(equali*) AND equalist,1922
24897,2,(equali*) AND equalist,1922
23339,3,(equali*) AND equalist,1922
24003,4,(equali*) AND equalist,1922
20473,1,(equali*) AND equalist,1923
20150,2,(equali*) AND equalist,1923
18773,3,(equali*) AND equalist,1923
19194,4,(equali*) AND equalist,1923
19892,1,(equali*) AND equalist,1924
20289,2,(equali*) AND equalist,1924
19136,3,(equali*) AND equalist,1924
19895,4,(equali*) AND equalist,1924
21740,1,(equali*) AND equalist,1925
22840,2,(equali*) AND equalist,1925
22890,3,(equali*) AND equalist,1925
22036,4,(equali*) AND equalist,1925
25130,1,(equali*) AND equalist,1926
27758,2,(equali*) AND equalist,1926
27915,3,(equali*) AND equalist,1926
33635,4,(equali*) AND equalist,1926
35112,1,(equali*) AND equalist,1927
36501,2,(equali*) AND equalist,1927
34918,3,(equali*) AND equalist,1927
37174,4,(equali*) AND equalist,1927
37807,1,(equali*) AND equalist,1928
37648,2,(equali*) AND equalist,1928
34952,3,(equali*) AND equalist,1928
36383,4,(equali*) AND equalist,1928
37071,1,(equali*) AND equalist,1929
37795,2,(equali*) AND equalist,1929
37451,3,(equali*) AND equalist,1929
38676,4,(equali*) AND equalist,1929
38716,1,(equali*) AND equalist,1930
40307,2,(equali*) AND equalist,1930
35994,3,(equali*) AND equalist,1930
37317,4,(equali*) AND equalist,1930
37009,1,(equali*) AND equalist,1931
39050,2,(equali*) AND equalist,1931
35706,3,(equali*) AND equalist,1931
37654,4,(equali*) AND equalist,1931
34198,1,(equali*) AND equalist,1932
32083,2,(equali*) AND equalist,1932
30316,3,(equali*) AND equalist,1932
32314,4,(equali*) AND equalist,1932
40295,1,(equali*) AND equalist,1933
37101,2,(equali*) AND equalist,1933
31838,3,(equali*) AND equalist,1933
32441,4,(equali*) AND equalist,1933
37702,1,(equali*) AND equalist,1934
39726,2,(equali*) AND equalist,1934
35836,3,(equali*) AND equalist,1934
37761,4,(equali*) AND equalist,1934
37577,1,(equali*) AND equalist,1935
38140,2,(equali*) AND equalist,1935
37060,3,(equali*) AND equalist,1935
39300,4,(equali*) AND equalist,1935
38477,1,(equali*) AND equalist,1936
39078,2,(equali*) AND equalist,1936
37106,3,(equali*) AND equalist,1936
41262,4,(equali*) AND equalist,1936
38655,1,(equali*) AND equalist,1937
39460,2,(equali*) AND equalist,1937
36641,3,(equali*) AND equalist,1937
38400,4,(equali*) AND equalist,1937
36476,1,(equali*) AND equalist,1938
35787,2,(equali*) AND equalist,1938
32704,3,(equali*) AND equalist,1938
36188,4,(equali*) AND equalist,1938
35743,1,(equali*) AND equalist,1939
37607,2,(equali*) AND equalist,1939
34371,3,(equali*) AND equalist,1939
37181,4,(equali*) AND equalist,1939
35843,1,(equali*) AND equalist,1940
35712,2,(equali*) AND equalist,1940
33210,3,(equali*) AND equalist,1940
36123,4,(equali*) AND equalist,1940
38836,1,(equali*) AND equalist,1941
38841,2,(equali*) AND equalist,1941
35362,3,(equali*) AND equalist,1941
38229,4,(equali*) AND equalist,1941
36726,1,(equali*) AND equalist,1942
34400,2,(equali*) AND equalist,1942
32984,3,(equali*) AND equalist,1942
33693,4,(equali*) AND equalist,1942
32375,1,(equali*) AND equalist,1943
31998,2,(equali*) AND equalist,1943
30009,3,(equali*) AND equalist,1943
30862,4,(equali*) AND equalist,1943
29874,1,(equali*) AND equalist,1944
30097,2,(equali*) AND equalist,1944
28439,3,(equali*) AND equalist,1944
30406,4,(equali*) AND equalist,1944
27437,1,(equali*) AND equalist,1945
27789,2,(equali*) AND equalist,1945
28050,3,(equali*) AND equalist,1945
29426,4,(equali*) AND equalist,1945
30100,1,(equali*) AND equalist,1946
32300,2,(equali*) AND equalist,1946
31509,3,(equali*) AND equalist,1946
34216,4,(equali*) AND equalist,1946
34765,1,(equali*) AND equalist,1947
35326,2,(equali*) AND equalist,1947
33235,3,(equali*) AND equalist,1947
34689,4,(equali*) AND equalist,1947
33040,1,(equali*) AND equalist,1948
33537,2,(equali*) AND equalist,1948
32821,3,(equali*) AND equalist,1948
35645,4,(equali*) AND equalist,1948
34961,1,(equali*) AND equalist,1949
35026,2,(equali*) AND equalist,1949
33876,3,(equali*) AND equalist,1949
35650,4,(equali*) AND equalist,1949
35160,1,(equali*) AND equalist,1950
36227,2,(equali*) AND equalist,1950
34904,3,(equali*) AND equalist,1950
34766,4,(equali*) AND equalist,1950
34134,1,(equali*) AND equalist,1951
35914,2,(equali*) AND equalist,1951
34655,3,(equali*) AND equalist,1951
36390,4,(equali*) AND equalist,1951
36590,1,(equali*) AND equalist,1952
35014,2,(equali*) AND equalist,1952
33293,3,(equali*) AND equalist,1952
34873,4,(equali*) AND equalist,1952
34131,1,(equali*) AND equalist,1953
34583,2,(equali*) AND equalist,1953
32494,3,(equali*) AND equalist,1953
31572,4,(equali*) AND equalist,1953
32972,1,(equali*) AND equalist,1954
32520,2,(equali*) AND equalist,1954
29968,3,(equali*) AND equalist,1954
32841,4,(equali*) AND equalist,1954
31798,1,(equali*) AND equalist,1955
31506,2,(equali*) AND equalist,1955
29411,3,(equali*) AND equalist,1955
32505,4,(equali*) AND equalist,1955
31371,1,(equali*) AND equalist,1956
31678,2,(equali*) AND equalist,1956
30330,3,(equali*) AND equalist,1956
32317,4,(equali*) AND equalist,1956
30843,1,(equali*) AND equalist,1957
30746,2,(equali*) AND equalist,1957
29484,3,(equali*) AND equalist,1957
32990,4,(equali*) AND equalist,1957
32759,1,(equali*) AND equalist,1958
31956,2,(equali*) AND equalist,1958
30773,3,(equali*) AND equalist,1958
27871,4,(equali*) AND equalist,1958
32080,1,(equali*) AND equalist,1959
31606,2,(equali*) AND equalist,1959
29927,3,(equali*) AND equalist,1959
32232,4,(equali*) AND equalist,1959
32760,1,(equali*) AND equalist,1960
31980,2,(equali*) AND equalist,1960
31103,3,(equali*) AND equalist,1960
32241,4,(equali*) AND equalist,1960
31207,1,(equali*) AND equalist,1961
30121,2,(equali*) AND equalist,1961
29724,3,(equali*) AND equalist,1961
32286,4,(equali*) AND equalist,1961
31208,1,(equali*) AND equalist,1962
32019,2,(equali*) AND equalist,1962
31675,3,(equali*) AND equalist,1962
26122,4,(equali*) AND equalist,1962
8504,1,(equali*) AND equalist,1963
31790,2,(equali*) AND equalist,1963
30088,3,(equali*) AND equalist,1963
31022,4,(equali*) AND equalist,1963
346,1,(equali*) AND equalist,1964
408,2,(equali*) AND equalist,1964
339,3,(equali*) AND equalist,1964
235,4,(equali*) AND equalist,1964
28444,1,(equali*) AND equalist,1965
28621,2,(equali*) AND equalist,1965
24442,3,(equali*) AND equalist,1965
25640,4,(equali*) AND equalist,1965
28479,1,(equali*) AND equalist,1966
28604,2,(equali*) AND equalist,1966
27646,3,(equali*) AND equalist,1966
29031,4,(equali*) AND equalist,1966
27468,1,(equali*) AND equalist,1967
27322,2,(equali*) AND equalist,1967
25676,3,(equali*) AND equalist,1967
26227,4,(equali*) AND equalist,1967
25962,1,(equali*) AND equalist,1968
26038,2,(equali*) AND equalist,1968
24948,3,(equali*) AND equalist,1968
25596,4,(equali*) AND equalist,1968
24772,1,(equali*) AND equalist,1969
23152,2,(equali*) AND equalist,1969
22030,3,(equali*) AND equalist,1969
23956,4,(equali*) AND equalist,1969
139,1,(equali*) AND equalist,1970
116,2,(equali*) AND equalist,1970
149,3,(equali*) AND equalist,1970
107,4,(equali*) AND equalist,1970
112,1,(equali*) AND equalist,1971
106,2,(equali*) AND equalist,1971
128,3,(equali*) AND equalist,1971
140,4,(equali*) AND equalist,1971
200,1,(equali*) AND equalist,1972
139,2,(equali*) AND equalist,1972
152,3,(equali*) AND equalist,1972
165,4,(equali*) AND equalist,1972
181,1,(equali*) AND equalist,1973
124,2,(equali*) AND equalist,1973
117,3,(equali*) AND equalist,1973
123,4,(equali*) AND equalist,1973
134,1,(equali*) AND equalist,1974
141,2,(equali*) AND equalist,1974
149,3,(equali*) AND equalist,1974
165,4,(equali*) AND equalist,1974
129,1,(equali*) AND equalist,1975
159,2,(equali*) AND equalist,1975
141,3,(equali*) AND equalist,1975
171,4,(equali*) AND equalist,1975
122,1,(equali*) AND equalist,1976
142,2,(equali*) AND equalist,1976
147,3,(equali*) AND equalist,1976
137,4,(equali*) AND equalist,1976
126,1,(equali*) AND equalist,1977
180,2,(equali*) AND equalist,1977
172,3,(equali*) AND equalist,1977
177,4,(equali*) AND equalist,1977
151,1,(equali*) AND equalist,1978
186,2,(equali*) AND equalist,1978
75,3,(equali*) AND equalist,1978
88,4,(equali*) AND equalist,1978
141,1,(equali*) AND equalist,1979
145,2,(equali*) AND equalist,1979
108,3,(equali*) AND equalist,1979
133,4,(equali*) AND equalist,1979
19213,1,(equali*) AND equalist,1980
19205,2,(equali*) AND equalist,1980
18492,3,(equali*) AND equalist,1980
20256,4,(equali*) AND equalist,1980
103,1,(equali*) AND equalist,1981
113,2,(equali*) AND equalist,1981
130,3,(equali*) AND equalist,1981
121,4,(equali*) AND equalist,1981
130,1,(equali*) AND equalist,1982
137,2,(equali*) AND equalist,1982
81,3,(equali*) AND equalist,1982
78,4,(equali*) AND equalist,1982
115,1,(equali*) AND equalist,1983
107,2,(equali*) AND equalist,1983
102,3,(equali*) AND equalist,1983
119,4,(equali*) AND equalist,1983
112,1,(equali*) AND equalist,1984
104,2,(equali*) AND equalist,1984
100,3,(equali*) AND equalist,1984
109,4,(equali*) AND equalist,1984
96,1,(equali*) AND equalist,1985
84,2,(equali*) AND equalist,1985
93,3,(equali*) AND equalist,1985
79,4,(equali*) AND equalist,1985
96,1,(equali*) AND equalist,1986
83,2,(equali*) AND equalist,1986
