hits,quarter,term,year
0,1,(femin*) AND black feminism,1900
0,2,(femin*) AND black feminism,1900
0,3,(femin*) AND black feminism,1900
0,4,(femin*) AND black feminism,1900
0,1,(femin*) AND black feminism,1901
0,2,(femin*) AND black feminism,1901
0,3,(femin*) AND black feminism,1901
0,4,(femin*) AND black feminism,1901
0,1,(femin*) AND black feminism,1902
0,2,(femin*) AND black feminism,1902
0,3,(femin*) AND black feminism,1902
0,4,(femin*) AND black feminism,1902
0,1,(femin*) AND black feminism,1903
0,2,(femin*) AND black feminism,1903
0,3,(femin*) AND black feminism,1903
0,4,(femin*) AND black feminism,1903
0,1,(femin*) AND black feminism,1904
0,2,(femin*) AND black feminism,1904
0,3,(femin*) AND black feminism,1904
0,4,(femin*) AND black feminism,1904
0,1,(femin*) AND black feminism,1905
0,2,(femin*) AND black feminism,1905
0,3,(femin*) AND black feminism,1905
0,4,(femin*) AND black feminism,1905
0,1,(femin*) AND black feminism,1906
0,2,(femin*) AND black feminism,1906
0,3,(femin*) AND black feminism,1906
1,4,(femin*) AND black feminism,1906
0,1,(femin*) AND black feminism,1907
0,2,(femin*) AND black feminism,1907
0,3,(femin*) AND black feminism,1907
0,4,(femin*) AND black feminism,1907
0,1,(femin*) AND black feminism,1908
0,2,(femin*) AND black feminism,1908
0,3,(femin*) AND black feminism,1908
0,4,(femin*) AND black feminism,1908
0,1,(femin*) AND black feminism,1909
0,2,(femin*) AND black feminism,1909
0,3,(femin*) AND black feminism,1909
0,4,(femin*) AND black feminism,1909
0,1,(femin*) AND black feminism,1910
1,2,(femin*) AND black feminism,1910
0,3,(femin*) AND black feminism,1910
1,4,(femin*) AND black feminism,1910
0,1,(femin*) AND black feminism,1911
0,2,(femin*) AND black feminism,1911
0,3,(femin*) AND black feminism,1911
2,4,(femin*) AND black feminism,1911
1,1,(femin*) AND black feminism,1912
0,2,(femin*) AND black feminism,1912
0,3,(femin*) AND black feminism,1912
1,4,(femin*) AND black feminism,1912
1,1,(femin*) AND black feminism,1913
0,2,(femin*) AND black feminism,1913
0,3,(femin*) AND black feminism,1913
2,4,(femin*) AND black feminism,1913
5,1,(femin*) AND black feminism,1914
4,2,(femin*) AND black feminism,1914
1,3,(femin*) AND black feminism,1914
0,4,(femin*) AND black feminism,1914
1,1,(femin*) AND black feminism,1915
1,2,(femin*) AND black feminism,1915
5,3,(femin*) AND black feminism,1915
2,4,(femin*) AND black feminism,1915
0,1,(femin*) AND black feminism,1916
1,2,(femin*) AND black feminism,1916
2,3,(femin*) AND black feminism,1916
0,4,(femin*) AND black feminism,1916
0,1,(femin*) AND black feminism,1917
0,2,(femin*) AND black feminism,1917
1,3,(femin*) AND black feminism,1917
2,4,(femin*) AND black feminism,1917
1,1,(femin*) AND black feminism,1918
0,2,(femin*) AND black feminism,1918
0,3,(femin*) AND black feminism,1918
0,4,(femin*) AND black feminism,1918
0,1,(femin*) AND black feminism,1919
0,2,(femin*) AND black feminism,1919
0,3,(femin*) AND black feminism,1919
1,4,(femin*) AND black feminism,1919
0,1,(femin*) AND black feminism,1920
0,2,(femin*) AND black feminism,1920
1,3,(femin*) AND black feminism,1920
0,4,(femin*) AND black feminism,1920
0,1,(femin*) AND black feminism,1921
1,2,(femin*) AND black feminism,1921
0,3,(femin*) AND black feminism,1921
0,4,(femin*) AND black feminism,1921
0,1,(femin*) AND black feminism,1922
0,2,(femin*) AND black feminism,1922
0,3,(femin*) AND black feminism,1922
2,4,(femin*) AND black feminism,1922
1,1,(femin*) AND black feminism,1923
1,2,(femin*) AND black feminism,1923
0,3,(femin*) AND black feminism,1923
6,4,(femin*) AND black feminism,1923
0,1,(femin*) AND black feminism,1924
1,2,(femin*) AND black feminism,1924
1,3,(femin*) AND black feminism,1924
0,4,(femin*) AND black feminism,1924
0,1,(femin*) AND black feminism,1925
0,2,(femin*) AND black feminism,1925
3,3,(femin*) AND black feminism,1925
3,4,(femin*) AND black feminism,1925
2,1,(femin*) AND black feminism,1926
4,2,(femin*) AND black feminism,1926
0,3,(femin*) AND black feminism,1926
1,4,(femin*) AND black feminism,1926
0,1,(femin*) AND black feminism,1927
1,2,(femin*) AND black feminism,1927
0,3,(femin*) AND black feminism,1927
1,4,(femin*) AND black feminism,1927
1,1,(femin*) AND black feminism,1928
0,2,(femin*) AND black feminism,1928
1,3,(femin*) AND black feminism,1928
1,4,(femin*) AND black feminism,1928
0,1,(femin*) AND black feminism,1929
2,2,(femin*) AND black feminism,1929
0,3,(femin*) AND black feminism,1929
0,4,(femin*) AND black feminism,1929
1,1,(femin*) AND black feminism,1930
0,2,(femin*) AND black feminism,1930
0,3,(femin*) AND black feminism,1930
0,4,(femin*) AND black feminism,1930
1,1,(femin*) AND black feminism,1931
3,2,(femin*) AND black feminism,1931
1,3,(femin*) AND black feminism,1931
0,4,(femin*) AND black feminism,1931
0,1,(femin*) AND black feminism,1932
0,2,(femin*) AND black feminism,1932
1,3,(femin*) AND black feminism,1932
1,4,(femin*) AND black feminism,1932
0,1,(femin*) AND black feminism,1933
1,2,(femin*) AND black feminism,1933
1,3,(femin*) AND black feminism,1933
1,4,(femin*) AND black feminism,1933
1,1,(femin*) AND black feminism,1934
1,2,(femin*) AND black feminism,1934
0,3,(femin*) AND black feminism,1934
0,4,(femin*) AND black feminism,1934
0,1,(femin*) AND black feminism,1935
0,2,(femin*) AND black feminism,1935
1,3,(femin*) AND black feminism,1935
0,4,(femin*) AND black feminism,1935
1,1,(femin*) AND black feminism,1936
0,2,(femin*) AND black feminism,1936
0,3,(femin*) AND black feminism,1936
0,4,(femin*) AND black feminism,1936
1,1,(femin*) AND black feminism,1937
0,2,(femin*) AND black feminism,1937
0,3,(femin*) AND black feminism,1937
1,4,(femin*) AND black feminism,1937
1,1,(femin*) AND black feminism,1938
0,2,(femin*) AND black feminism,1938
0,3,(femin*) AND black feminism,1938
0,4,(femin*) AND black feminism,1938
0,1,(femin*) AND black feminism,1939
0,2,(femin*) AND black feminism,1939
0,3,(femin*) AND black feminism,1939
0,4,(femin*) AND black feminism,1939
0,1,(femin*) AND black feminism,1940
0,2,(femin*) AND black feminism,1940
0,3,(femin*) AND black feminism,1940
0,4,(femin*) AND black feminism,1940
0,1,(femin*) AND black feminism,1941
0,2,(femin*) AND black feminism,1941
0,3,(femin*) AND black feminism,1941
0,4,(femin*) AND black feminism,1941
0,1,(femin*) AND black feminism,1942
0,2,(femin*) AND black feminism,1942
0,3,(femin*) AND black feminism,1942
0,4,(femin*) AND black feminism,1942
0,1,(femin*) AND black feminism,1943
0,2,(femin*) AND black feminism,1943
0,3,(femin*) AND black feminism,1943
0,4,(femin*) AND black feminism,1943
0,1,(femin*) AND black feminism,1944
0,2,(femin*) AND black feminism,1944
0,3,(femin*) AND black feminism,1944
0,4,(femin*) AND black feminism,1944
0,1,(femin*) AND black feminism,1945
0,2,(femin*) AND black feminism,1945
0,3,(femin*) AND black feminism,1945
1,4,(femin*) AND black feminism,1945
0,1,(femin*) AND black feminism,1946
0,2,(femin*) AND black feminism,1946
0,3,(femin*) AND black feminism,1946
0,4,(femin*) AND black feminism,1946
0,1,(femin*) AND black feminism,1947
0,2,(femin*) AND black feminism,1947
0,3,(femin*) AND black feminism,1947
0,4,(femin*) AND black feminism,1947
0,1,(femin*) AND black feminism,1948
1,2,(femin*) AND black feminism,1948
0,3,(femin*) AND black feminism,1948
0,4,(femin*) AND black feminism,1948
0,1,(femin*) AND black feminism,1949
0,2,(femin*) AND black feminism,1949
0,3,(femin*) AND black feminism,1949
0,4,(femin*) AND black feminism,1949
0,1,(femin*) AND black feminism,1950
0,2,(femin*) AND black feminism,1950
0,3,(femin*) AND black feminism,1950
0,4,(femin*) AND black feminism,1950
0,1,(femin*) AND black feminism,1951
0,2,(femin*) AND black feminism,1951
0,3,(femin*) AND black feminism,1951
0,4,(femin*) AND black feminism,1951
0,1,(femin*) AND black feminism,1952
0,2,(femin*) AND black feminism,1952
0,3,(femin*) AND black feminism,1952
1,4,(femin*) AND black feminism,1952
0,1,(femin*) AND black feminism,1953
0,2,(femin*) AND black feminism,1953
0,3,(femin*) AND black feminism,1953
0,4,(femin*) AND black feminism,1953
0,1,(femin*) AND black feminism,1954
0,2,(femin*) AND black feminism,1954
0,3,(femin*) AND black feminism,1954
0,4,(femin*) AND black feminism,1954
0,1,(femin*) AND black feminism,1955
0,2,(femin*) AND black feminism,1955
0,3,(femin*) AND black feminism,1955
0,4,(femin*) AND black feminism,1955
0,1,(femin*) AND black feminism,1956
0,2,(femin*) AND black feminism,1956
0,3,(femin*) AND black feminism,1956
1,4,(femin*) AND black feminism,1956
0,1,(femin*) AND black feminism,1957
0,2,(femin*) AND black feminism,1957
0,3,(femin*) AND black feminism,1957
0,4,(femin*) AND black feminism,1957
0,1,(femin*) AND black feminism,1958
0,2,(femin*) AND black feminism,1958
0,3,(femin*) AND black feminism,1958
0,4,(femin*) AND black feminism,1958
0,1,(femin*) AND black feminism,1959
0,2,(femin*) AND black feminism,1959
0,3,(femin*) AND black feminism,1959
0,4,(femin*) AND black feminism,1959
0,1,(femin*) AND black feminism,1960
0,2,(femin*) AND black feminism,1960
0,3,(femin*) AND black feminism,1960
0,4,(femin*) AND black feminism,1960
0,1,(femin*) AND black feminism,1961
0,2,(femin*) AND black feminism,1961
0,3,(femin*) AND black feminism,1961
0,4,(femin*) AND black feminism,1961
0,1,(femin*) AND black feminism,1962
0,2,(femin*) AND black feminism,1962
0,3,(femin*) AND black feminism,1962
0,4,(femin*) AND black feminism,1962
0,1,(femin*) AND black feminism,1963
0,2,(femin*) AND black feminism,1963
0,3,(femin*) AND black feminism,1963
0,4,(femin*) AND black feminism,1963
0,1,(femin*) AND black feminism,1964
0,2,(femin*) AND black feminism,1964
0,3,(femin*) AND black feminism,1964
0,4,(femin*) AND black feminism,1964
1,1,(femin*) AND black feminism,1965
0,2,(femin*) AND black feminism,1965
0,3,(femin*) AND black feminism,1965
0,4,(femin*) AND black feminism,1965
1,1,(femin*) AND black feminism,1966
0,2,(femin*) AND black feminism,1966
0,3,(femin*) AND black feminism,1966
1,4,(femin*) AND black feminism,1966
0,1,(femin*) AND black feminism,1967
0,2,(femin*) AND black feminism,1967
0,3,(femin*) AND black feminism,1967
0,4,(femin*) AND black feminism,1967
2,1,(femin*) AND black feminism,1968
0,2,(femin*) AND black feminism,1968
1,3,(femin*) AND black feminism,1968
0,4,(femin*) AND black feminism,1968
1,1,(femin*) AND black feminism,1969
0,2,(femin*) AND black feminism,1969
0,3,(femin*) AND black feminism,1969
1,4,(femin*) AND black feminism,1969
4,1,(femin*) AND black feminism,1970
4,2,(femin*) AND black feminism,1970
4,3,(femin*) AND black feminism,1970
1,4,(femin*) AND black feminism,1970
4,1,(femin*) AND black feminism,1971
2,2,(femin*) AND black feminism,1971
1,3,(femin*) AND black feminism,1971
0,4,(femin*) AND black feminism,1971
3,1,(femin*) AND black feminism,1972
0,2,(femin*) AND black feminism,1972
3,3,(femin*) AND black feminism,1972
1,4,(femin*) AND black feminism,1972
0,1,(femin*) AND black feminism,1973
0,2,(femin*) AND black feminism,1973
0,3,(femin*) AND black feminism,1973
2,4,(femin*) AND black feminism,1973
1,1,(femin*) AND black feminism,1974
0,2,(femin*) AND black feminism,1974
0,3,(femin*) AND black feminism,1974
0,4,(femin*) AND black feminism,1974
1,1,(femin*) AND black feminism,1975
1,2,(femin*) AND black feminism,1975
1,3,(femin*) AND black feminism,1975
1,4,(femin*) AND black feminism,1975
0,1,(femin*) AND black feminism,1976
0,2,(femin*) AND black feminism,1976
0,3,(femin*) AND black feminism,1976
1,4,(femin*) AND black feminism,1976
0,1,(femin*) AND black feminism,1977
0,2,(femin*) AND black feminism,1977
0,3,(femin*) AND black feminism,1977
0,4,(femin*) AND black feminism,1977
0,1,(femin*) AND black feminism,1978
0,2,(femin*) AND black feminism,1978
0,3,(femin*) AND black feminism,1978
0,4,(femin*) AND black feminism,1978
0,1,(femin*) AND black feminism,1979
1,2,(femin*) AND black feminism,1979
0,3,(femin*) AND black feminism,1979
0,4,(femin*) AND black feminism,1979
7,1,(femin*) AND black feminism,1980
8,2,(femin*) AND black feminism,1980
3,3,(femin*) AND black feminism,1980
16,4,(femin*) AND black feminism,1980
0,1,(femin*) AND black feminism,1981
1,2,(femin*) AND black feminism,1981
0,3,(femin*) AND black feminism,1981
0,4,(femin*) AND black feminism,1981
0,1,(femin*) AND black feminism,1982
1,2,(femin*) AND black feminism,1982
0,3,(femin*) AND black feminism,1982
0,4,(femin*) AND black feminism,1982
0,1,(femin*) AND black feminism,1983
1,2,(femin*) AND black feminism,1983
0,3,(femin*) AND black feminism,1983
0,4,(femin*) AND black feminism,1983
0,1,(femin*) AND black feminism,1984
1,2,(femin*) AND black feminism,1984
1,3,(femin*) AND black feminism,1984
1,4,(femin*) AND black feminism,1984
0,1,(femin*) AND black feminism,1985
0,2,(femin*) AND black feminism,1985
1,3,(femin*) AND black feminism,1985
0,4,(femin*) AND black feminism,1985
0,1,(femin*) AND black feminism,1986
0,2,(femin*) AND black feminism,1986
1,3,(femin*) AND black feminism,1986
0,4,(femin*) AND black feminism,1986
0,1,(femin*) AND black feminism,1987
0,2,(femin*) AND black feminism,1987
0,3,(femin*) AND black feminism,1987
1,4,(femin*) AND black feminism,1987
1,1,(femin*) AND black feminism,1988
0,2,(femin*) AND black feminism,1988
0,3,(femin*) AND black feminism,1988
2,4,(femin*) AND black feminism,1988
