hits,quarter,term,year
0,1,(femin*) AND feminism,1900
0,2,(femin*) AND feminism,1900
1,3,(femin*) AND feminism,1900
1,4,(femin*) AND feminism,1900
0,1,(femin*) AND feminism,1901
0,2,(femin*) AND feminism,1901
0,3,(femin*) AND feminism,1901
3,4,(femin*) AND feminism,1901
2,1,(femin*) AND feminism,1902
0,2,(femin*) AND feminism,1902
0,3,(femin*) AND feminism,1902
1,4,(femin*) AND feminism,1902
0,1,(femin*) AND feminism,1903
1,2,(femin*) AND feminism,1903
0,3,(femin*) AND feminism,1903
0,4,(femin*) AND feminism,1903
0,1,(femin*) AND feminism,1904
0,2,(femin*) AND feminism,1904
3,3,(femin*) AND feminism,1904
1,4,(femin*) AND feminism,1904
0,1,(femin*) AND feminism,1905
0,2,(femin*) AND feminism,1905
0,3,(femin*) AND feminism,1905
1,4,(femin*) AND feminism,1905
1,1,(femin*) AND feminism,1906
0,2,(femin*) AND feminism,1906
0,3,(femin*) AND feminism,1906
1,4,(femin*) AND feminism,1906
2,1,(femin*) AND feminism,1907
0,2,(femin*) AND feminism,1907
0,3,(femin*) AND feminism,1907
1,4,(femin*) AND feminism,1907
0,1,(femin*) AND feminism,1908
1,2,(femin*) AND feminism,1908
0,3,(femin*) AND feminism,1908
0,4,(femin*) AND feminism,1908
1,1,(femin*) AND feminism,1909
1,2,(femin*) AND feminism,1909
1,3,(femin*) AND feminism,1909
1,4,(femin*) AND feminism,1909
0,1,(femin*) AND feminism,1910
1,2,(femin*) AND feminism,1910
0,3,(femin*) AND feminism,1910
3,4,(femin*) AND feminism,1910
3,1,(femin*) AND feminism,1911
2,2,(femin*) AND feminism,1911
6,3,(femin*) AND feminism,1911
7,4,(femin*) AND feminism,1911
5,1,(femin*) AND feminism,1912
5,2,(femin*) AND feminism,1912
2,3,(femin*) AND feminism,1912
2,4,(femin*) AND feminism,1912
3,1,(femin*) AND feminism,1913
7,2,(femin*) AND feminism,1913
5,3,(femin*) AND feminism,1913
19,4,(femin*) AND feminism,1913
28,1,(femin*) AND feminism,1914
40,2,(femin*) AND feminism,1914
4,3,(femin*) AND feminism,1914
3,4,(femin*) AND feminism,1914
15,1,(femin*) AND feminism,1915
11,2,(femin*) AND feminism,1915
17,3,(femin*) AND feminism,1915
12,4,(femin*) AND feminism,1915
7,1,(femin*) AND feminism,1916
13,2,(femin*) AND feminism,1916
6,3,(femin*) AND feminism,1916
5,4,(femin*) AND feminism,1916
3,1,(femin*) AND feminism,1917
2,2,(femin*) AND feminism,1917
3,3,(femin*) AND feminism,1917
14,4,(femin*) AND feminism,1917
9,1,(femin*) AND feminism,1918
2,2,(femin*) AND feminism,1918
8,3,(femin*) AND feminism,1918
1,4,(femin*) AND feminism,1918
2,1,(femin*) AND feminism,1919
6,2,(femin*) AND feminism,1919
0,3,(femin*) AND feminism,1919
4,4,(femin*) AND feminism,1919
7,1,(femin*) AND feminism,1920
1,2,(femin*) AND feminism,1920
2,3,(femin*) AND feminism,1920
5,4,(femin*) AND feminism,1920
5,1,(femin*) AND feminism,1921
4,2,(femin*) AND feminism,1921
1,3,(femin*) AND feminism,1921
6,4,(femin*) AND feminism,1921
3,1,(femin*) AND feminism,1922
2,2,(femin*) AND feminism,1922
3,3,(femin*) AND feminism,1922
10,4,(femin*) AND feminism,1922
9,1,(femin*) AND feminism,1923
6,2,(femin*) AND feminism,1923
7,3,(femin*) AND feminism,1923
12,4,(femin*) AND feminism,1923
6,1,(femin*) AND feminism,1924
7,2,(femin*) AND feminism,1924
4,3,(femin*) AND feminism,1924
7,4,(femin*) AND feminism,1924
10,1,(femin*) AND feminism,1925
4,2,(femin*) AND feminism,1925
5,3,(femin*) AND feminism,1925
10,4,(femin*) AND feminism,1925
7,1,(femin*) AND feminism,1926
11,2,(femin*) AND feminism,1926
2,3,(femin*) AND feminism,1926
9,4,(femin*) AND feminism,1926
7,1,(femin*) AND feminism,1927
7,2,(femin*) AND feminism,1927
8,3,(femin*) AND feminism,1927
9,4,(femin*) AND feminism,1927
6,1,(femin*) AND feminism,1928
7,2,(femin*) AND feminism,1928
7,3,(femin*) AND feminism,1928
4,4,(femin*) AND feminism,1928
2,1,(femin*) AND feminism,1929
9,2,(femin*) AND feminism,1929
1,3,(femin*) AND feminism,1929
2,4,(femin*) AND feminism,1929
8,1,(femin*) AND feminism,1930
10,2,(femin*) AND feminism,1930
4,3,(femin*) AND feminism,1930
1,4,(femin*) AND feminism,1930
6,1,(femin*) AND feminism,1931
6,2,(femin*) AND feminism,1931
5,3,(femin*) AND feminism,1931
7,4,(femin*) AND feminism,1931
4,1,(femin*) AND feminism,1932
1,2,(femin*) AND feminism,1932
5,3,(femin*) AND feminism,1932
4,4,(femin*) AND feminism,1932
4,1,(femin*) AND feminism,1933
5,2,(femin*) AND feminism,1933
8,3,(femin*) AND feminism,1933
5,4,(femin*) AND feminism,1933
3,1,(femin*) AND feminism,1934
2,2,(femin*) AND feminism,1934
4,3,(femin*) AND feminism,1934
10,4,(femin*) AND feminism,1934
5,1,(femin*) AND feminism,1935
4,2,(femin*) AND feminism,1935
5,3,(femin*) AND feminism,1935
1,4,(femin*) AND feminism,1935
6,1,(femin*) AND feminism,1936
1,2,(femin*) AND feminism,1936
1,3,(femin*) AND feminism,1936
2,4,(femin*) AND feminism,1936
2,1,(femin*) AND feminism,1937
2,2,(femin*) AND feminism,1937
1,3,(femin*) AND feminism,1937
3,4,(femin*) AND feminism,1937
4,1,(femin*) AND feminism,1938
0,2,(femin*) AND feminism,1938
1,3,(femin*) AND feminism,1938
0,4,(femin*) AND feminism,1938
3,1,(femin*) AND feminism,1939
2,2,(femin*) AND feminism,1939
1,3,(femin*) AND feminism,1939
0,4,(femin*) AND feminism,1939
1,1,(femin*) AND feminism,1940
4,2,(femin*) AND feminism,1940
2,3,(femin*) AND feminism,1940
0,4,(femin*) AND feminism,1940
1,1,(femin*) AND feminism,1941
2,2,(femin*) AND feminism,1941
2,3,(femin*) AND feminism,1941
1,4,(femin*) AND feminism,1941
0,1,(femin*) AND feminism,1942
1,2,(femin*) AND feminism,1942
0,3,(femin*) AND feminism,1942
0,4,(femin*) AND feminism,1942
1,1,(femin*) AND feminism,1943
0,2,(femin*) AND feminism,1943
1,3,(femin*) AND feminism,1943
0,4,(femin*) AND feminism,1943
1,1,(femin*) AND feminism,1944
2,2,(femin*) AND feminism,1944
1,3,(femin*) AND feminism,1944
0,4,(femin*) AND feminism,1944
3,1,(femin*) AND feminism,1945
0,2,(femin*) AND feminism,1945
0,3,(femin*) AND feminism,1945
2,4,(femin*) AND feminism,1945
1,1,(femin*) AND feminism,1946
0,2,(femin*) AND feminism,1946
0,3,(femin*) AND feminism,1946
0,4,(femin*) AND feminism,1946
0,1,(femin*) AND feminism,1947
1,2,(femin*) AND feminism,1947
0,3,(femin*) AND feminism,1947
1,4,(femin*) AND feminism,1947
1,1,(femin*) AND feminism,1948
3,2,(femin*) AND feminism,1948
0,3,(femin*) AND feminism,1948
1,4,(femin*) AND feminism,1948
0,1,(femin*) AND feminism,1949
2,2,(femin*) AND feminism,1949
1,3,(femin*) AND feminism,1949
0,4,(femin*) AND feminism,1949
1,1,(femin*) AND feminism,1950
2,2,(femin*) AND feminism,1950
1,3,(femin*) AND feminism,1950
0,4,(femin*) AND feminism,1950
1,1,(femin*) AND feminism,1951
2,2,(femin*) AND feminism,1951
0,3,(femin*) AND feminism,1951
0,4,(femin*) AND feminism,1951
0,1,(femin*) AND feminism,1952
1,2,(femin*) AND feminism,1952
0,3,(femin*) AND feminism,1952
4,4,(femin*) AND feminism,1952
0,1,(femin*) AND feminism,1953
0,2,(femin*) AND feminism,1953
2,3,(femin*) AND feminism,1953
0,4,(femin*) AND feminism,1953
0,1,(femin*) AND feminism,1954
0,2,(femin*) AND feminism,1954
0,3,(femin*) AND feminism,1954
0,4,(femin*) AND feminism,1954
0,1,(femin*) AND feminism,1955
0,2,(femin*) AND feminism,1955
2,3,(femin*) AND feminism,1955
0,4,(femin*) AND feminism,1955
0,1,(femin*) AND feminism,1956
1,2,(femin*) AND feminism,1956
1,3,(femin*) AND feminism,1956
2,4,(femin*) AND feminism,1956
0,1,(femin*) AND feminism,1957
1,2,(femin*) AND feminism,1957
0,3,(femin*) AND feminism,1957
0,4,(femin*) AND feminism,1957
0,1,(femin*) AND feminism,1958
0,2,(femin*) AND feminism,1958
1,3,(femin*) AND feminism,1958
0,4,(femin*) AND feminism,1958
0,1,(femin*) AND feminism,1959
0,2,(femin*) AND feminism,1959
0,3,(femin*) AND feminism,1959
0,4,(femin*) AND feminism,1959
1,1,(femin*) AND feminism,1960
0,2,(femin*) AND feminism,1960
1,3,(femin*) AND feminism,1960
0,4,(femin*) AND feminism,1960
1,1,(femin*) AND feminism,1961
1,2,(femin*) AND feminism,1961
1,3,(femin*) AND feminism,1961
2,4,(femin*) AND feminism,1961
2,1,(femin*) AND feminism,1962
0,2,(femin*) AND feminism,1962
2,3,(femin*) AND feminism,1962
0,4,(femin*) AND feminism,1962
0,1,(femin*) AND feminism,1963
1,2,(femin*) AND feminism,1963
1,3,(femin*) AND feminism,1963
1,4,(femin*) AND feminism,1963
0,1,(femin*) AND feminism,1964
0,2,(femin*) AND feminism,1964
0,3,(femin*) AND feminism,1964
0,4,(femin*) AND feminism,1964
4,1,(femin*) AND feminism,1965
0,2,(femin*) AND feminism,1965
1,3,(femin*) AND feminism,1965
0,4,(femin*) AND feminism,1965
2,1,(femin*) AND feminism,1966
1,2,(femin*) AND feminism,1966
0,3,(femin*) AND feminism,1966
1,4,(femin*) AND feminism,1966
0,1,(femin*) AND feminism,1967
0,2,(femin*) AND feminism,1967
0,3,(femin*) AND feminism,1967
2,4,(femin*) AND feminism,1967
4,1,(femin*) AND feminism,1968
0,2,(femin*) AND feminism,1968
3,3,(femin*) AND feminism,1968
1,4,(femin*) AND feminism,1968
1,1,(femin*) AND feminism,1969
0,2,(femin*) AND feminism,1969
1,3,(femin*) AND feminism,1969
3,4,(femin*) AND feminism,1969
11,1,(femin*) AND feminism,1970
8,2,(femin*) AND feminism,1970
4,3,(femin*) AND feminism,1970
4,4,(femin*) AND feminism,1970
8,1,(femin*) AND feminism,1971
6,2,(femin*) AND feminism,1971
1,3,(femin*) AND feminism,1971
