hits,quarter,term,year
0,1,(femin*) AND feminist movement NOT black,1900
0,2,(femin*) AND feminist movement NOT black,1900
0,3,(femin*) AND feminist movement NOT black,1900
0,4,(femin*) AND feminist movement NOT black,1900
0,1,(femin*) AND feminist movement NOT black,1901
0,2,(femin*) AND feminist movement NOT black,1901
0,3,(femin*) AND feminist movement NOT black,1901
0,4,(femin*) AND feminist movement NOT black,1901
0,1,(femin*) AND feminist movement NOT black,1902
0,2,(femin*) AND feminist movement NOT black,1902
0,3,(femin*) AND feminist movement NOT black,1902
0,4,(femin*) AND feminist movement NOT black,1902
0,1,(femin*) AND feminist movement NOT black,1903
0,2,(femin*) AND feminist movement NOT black,1903
0,3,(femin*) AND feminist movement NOT black,1903
0,4,(femin*) AND feminist movement NOT black,1903
0,1,(femin*) AND feminist movement NOT black,1904
0,2,(femin*) AND feminist movement NOT black,1904
0,3,(femin*) AND feminist movement NOT black,1904
0,4,(femin*) AND feminist movement NOT black,1904
0,1,(femin*) AND feminist movement NOT black,1905
0,2,(femin*) AND feminist movement NOT black,1905
0,3,(femin*) AND feminist movement NOT black,1905
0,4,(femin*) AND feminist movement NOT black,1905
0,1,(femin*) AND feminist movement NOT black,1906
0,2,(femin*) AND feminist movement NOT black,1906
0,3,(femin*) AND feminist movement NOT black,1906
0,4,(femin*) AND feminist movement NOT black,1906
0,1,(femin*) AND feminist movement NOT black,1907
0,2,(femin*) AND feminist movement NOT black,1907
0,3,(femin*) AND feminist movement NOT black,1907
0,4,(femin*) AND feminist movement NOT black,1907
0,1,(femin*) AND feminist movement NOT black,1908
0,2,(femin*) AND feminist movement NOT black,1908
0,3,(femin*) AND feminist movement NOT black,1908
0,4,(femin*) AND feminist movement NOT black,1908
0,1,(femin*) AND feminist movement NOT black,1909
0,2,(femin*) AND feminist movement NOT black,1909
0,3,(femin*) AND feminist movement NOT black,1909
0,4,(femin*) AND feminist movement NOT black,1909
0,1,(femin*) AND feminist movement NOT black,1910
0,2,(femin*) AND feminist movement NOT black,1910
0,3,(femin*) AND feminist movement NOT black,1910
0,4,(femin*) AND feminist movement NOT black,1910
0,1,(femin*) AND feminist movement NOT black,1911
0,2,(femin*) AND feminist movement NOT black,1911
0,3,(femin*) AND feminist movement NOT black,1911
0,4,(femin*) AND feminist movement NOT black,1911
2,1,(femin*) AND feminist movement NOT black,1912
0,2,(femin*) AND feminist movement NOT black,1912
0,3,(femin*) AND feminist movement NOT black,1912
1,4,(femin*) AND feminist movement NOT black,1912
0,1,(femin*) AND feminist movement NOT black,1913
0,2,(femin*) AND feminist movement NOT black,1913
0,3,(femin*) AND feminist movement NOT black,1913
0,4,(femin*) AND feminist movement NOT black,1913
3,1,(femin*) AND feminist movement NOT black,1914
2,2,(femin*) AND feminist movement NOT black,1914
0,3,(femin*) AND feminist movement NOT black,1914
1,4,(femin*) AND feminist movement NOT black,1914
0,1,(femin*) AND feminist movement NOT black,1915
2,2,(femin*) AND feminist movement NOT black,1915
2,3,(femin*) AND feminist movement NOT black,1915
1,4,(femin*) AND feminist movement NOT black,1915
0,1,(femin*) AND feminist movement NOT black,1916
1,2,(femin*) AND feminist movement NOT black,1916
1,3,(femin*) AND feminist movement NOT black,1916
0,4,(femin*) AND feminist movement NOT black,1916
0,1,(femin*) AND feminist movement NOT black,1917
0,2,(femin*) AND feminist movement NOT black,1917
0,3,(femin*) AND feminist movement NOT black,1917
0,4,(femin*) AND feminist movement NOT black,1917
1,1,(femin*) AND feminist movement NOT black,1918
0,2,(femin*) AND feminist movement NOT black,1918
0,3,(femin*) AND feminist movement NOT black,1918
0,4,(femin*) AND feminist movement NOT black,1918
0,1,(femin*) AND feminist movement NOT black,1919
1,2,(femin*) AND feminist movement NOT black,1919
0,3,(femin*) AND feminist movement NOT black,1919
0,4,(femin*) AND feminist movement NOT black,1919
0,1,(femin*) AND feminist movement NOT black,1920
1,2,(femin*) AND feminist movement NOT black,1920
1,3,(femin*) AND feminist movement NOT black,1920
0,4,(femin*) AND feminist movement NOT black,1920
0,1,(femin*) AND feminist movement NOT black,1921
0,2,(femin*) AND feminist movement NOT black,1921
0,3,(femin*) AND feminist movement NOT black,1921
0,4,(femin*) AND feminist movement NOT black,1921
0,1,(femin*) AND feminist movement NOT black,1922
0,2,(femin*) AND feminist movement NOT black,1922
1,3,(femin*) AND feminist movement NOT black,1922
0,4,(femin*) AND feminist movement NOT black,1922
0,1,(femin*) AND feminist movement NOT black,1923
0,2,(femin*) AND feminist movement NOT black,1923
3,3,(femin*) AND feminist movement NOT black,1923
2,4,(femin*) AND feminist movement NOT black,1923
