hits,quarter,term,year
0,1,(femin*) AND feminist,1900
0,2,(femin*) AND feminist,1900
0,3,(femin*) AND feminist,1900
1,4,(femin*) AND feminist,1900
0,1,(femin*) AND feminist,1901
0,2,(femin*) AND feminist,1901
0,3,(femin*) AND feminist,1901
0,4,(femin*) AND feminist,1901
0,1,(femin*) AND feminist,1902
0,2,(femin*) AND feminist,1902
0,3,(femin*) AND feminist,1902
0,4,(femin*) AND feminist,1902
0,1,(femin*) AND feminist,1903
0,2,(femin*) AND feminist,1903
0,3,(femin*) AND feminist,1903
0,4,(femin*) AND feminist,1903
0,1,(femin*) AND feminist,1904
0,2,(femin*) AND feminist,1904
2,3,(femin*) AND feminist,1904
1,4,(femin*) AND feminist,1904
0,1,(femin*) AND feminist,1905
1,2,(femin*) AND feminist,1905
0,3,(femin*) AND feminist,1905
0,4,(femin*) AND feminist,1905
0,1,(femin*) AND feminist,1906
0,2,(femin*) AND feminist,1906
0,3,(femin*) AND feminist,1906
0,4,(femin*) AND feminist,1906
1,1,(femin*) AND feminist,1907
0,2,(femin*) AND feminist,1907
0,3,(femin*) AND feminist,1907
2,4,(femin*) AND feminist,1907
0,1,(femin*) AND feminist,1908
1,2,(femin*) AND feminist,1908
0,3,(femin*) AND feminist,1908
4,4,(femin*) AND feminist,1908
3,1,(femin*) AND feminist,1909
3,2,(femin*) AND feminist,1909
1,3,(femin*) AND feminist,1909
1,4,(femin*) AND feminist,1909
1,1,(femin*) AND feminist,1910
7,2,(femin*) AND feminist,1910
5,3,(femin*) AND feminist,1910
0,4,(femin*) AND feminist,1910
5,1,(femin*) AND feminist,1911
2,2,(femin*) AND feminist,1911
3,3,(femin*) AND feminist,1911
12,4,(femin*) AND feminist,1911
10,1,(femin*) AND feminist,1912
3,2,(femin*) AND feminist,1912
8,3,(femin*) AND feminist,1912
15,4,(femin*) AND feminist,1912
14,1,(femin*) AND feminist,1913
18,2,(femin*) AND feminist,1913
11,3,(femin*) AND feminist,1913
30,4,(femin*) AND feminist,1913
35,1,(femin*) AND feminist,1914
39,2,(femin*) AND feminist,1914
4,3,(femin*) AND feminist,1914
10,4,(femin*) AND feminist,1914
18,1,(femin*) AND feminist,1915
19,2,(femin*) AND feminist,1915
26,3,(femin*) AND feminist,1915
7,4,(femin*) AND feminist,1915
4,1,(femin*) AND feminist,1916
11,2,(femin*) AND feminist,1916
17,3,(femin*) AND feminist,1916
8,4,(femin*) AND feminist,1916
5,1,(femin*) AND feminist,1917
7,2,(femin*) AND feminist,1917
6,3,(femin*) AND feminist,1917
11,4,(femin*) AND feminist,1917
6,1,(femin*) AND feminist,1918
4,2,(femin*) AND feminist,1918
5,3,(femin*) AND feminist,1918
2,4,(femin*) AND feminist,1918
2,1,(femin*) AND feminist,1919
12,2,(femin*) AND feminist,1919
1,3,(femin*) AND feminist,1919
7,4,(femin*) AND feminist,1919
6,1,(femin*) AND feminist,1920
7,2,(femin*) AND feminist,1920
10,3,(femin*) AND feminist,1920
11,4,(femin*) AND feminist,1920
7,1,(femin*) AND feminist,1921
13,2,(femin*) AND feminist,1921
4,3,(femin*) AND feminist,1921
7,4,(femin*) AND feminist,1921
7,1,(femin*) AND feminist,1922
14,2,(femin*) AND feminist,1922
8,3,(femin*) AND feminist,1922
7,4,(femin*) AND feminist,1922
14,1,(femin*) AND feminist,1923
11,2,(femin*) AND feminist,1923
13,3,(femin*) AND feminist,1923
11,4,(femin*) AND feminist,1923
10,1,(femin*) AND feminist,1924
9,2,(femin*) AND feminist,1924
9,3,(femin*) AND feminist,1924
12,4,(femin*) AND feminist,1924
9,1,(femin*) AND feminist,1925
12,2,(femin*) AND feminist,1925
14,3,(femin*) AND feminist,1925
14,4,(femin*) AND feminist,1925
13,1,(femin*) AND feminist,1926
18,2,(femin*) AND feminist,1926
13,3,(femin*) AND feminist,1926
9,4,(femin*) AND feminist,1926
6,1,(femin*) AND feminist,1927
7,2,(femin*) AND feminist,1927
22,3,(femin*) AND feminist,1927
18,4,(femin*) AND feminist,1927
18,1,(femin*) AND feminist,1928
22,2,(femin*) AND feminist,1928
21,3,(femin*) AND feminist,1928
17,4,(femin*) AND feminist,1928
14,1,(femin*) AND feminist,1929
16,2,(femin*) AND feminist,1929
10,3,(femin*) AND feminist,1929
4,4,(femin*) AND feminist,1929
17,1,(femin*) AND feminist,1930
22,2,(femin*) AND feminist,1930
6,3,(femin*) AND feminist,1930
10,4,(femin*) AND feminist,1930
15,1,(femin*) AND feminist,1931
9,2,(femin*) AND feminist,1931
7,3,(femin*) AND feminist,1931
12,4,(femin*) AND feminist,1931
7,1,(femin*) AND feminist,1932
10,2,(femin*) AND feminist,1932
8,3,(femin*) AND feminist,1932
13,4,(femin*) AND feminist,1932
10,1,(femin*) AND feminist,1933
9,2,(femin*) AND feminist,1933
12,3,(femin*) AND feminist,1933
18,4,(femin*) AND feminist,1933
12,1,(femin*) AND feminist,1934
5,2,(femin*) AND feminist,1934
10,3,(femin*) AND feminist,1934
10,4,(femin*) AND feminist,1934
12,1,(femin*) AND feminist,1935
7,2,(femin*) AND feminist,1935
14,3,(femin*) AND feminist,1935
6,4,(femin*) AND feminist,1935
15,1,(femin*) AND feminist,1936
13,2,(femin*) AND feminist,1936
2,3,(femin*) AND feminist,1936
17,4,(femin*) AND feminist,1936
17,1,(femin*) AND feminist,1937
10,2,(femin*) AND feminist,1937
5,3,(femin*) AND feminist,1937
14,4,(femin*) AND feminist,1937
7,1,(femin*) AND feminist,1938
3,2,(femin*) AND feminist,1938
5,3,(femin*) AND feminist,1938
5,4,(femin*) AND feminist,1938
13,1,(femin*) AND feminist,1939
4,2,(femin*) AND feminist,1939
4,3,(femin*) AND feminist,1939
10,4,(femin*) AND feminist,1939
11,1,(femin*) AND feminist,1940
