hits,quarter,term,year
0,1,(femin*) AND intersectional feminism,1900
0,2,(femin*) AND intersectional feminism,1900
1,3,(femin*) AND intersectional feminism,1900
1,4,(femin*) AND intersectional feminism,1900
0,1,(femin*) AND intersectional feminism,1901
0,2,(femin*) AND intersectional feminism,1901
0,3,(femin*) AND intersectional feminism,1901
3,4,(femin*) AND intersectional feminism,1901
2,1,(femin*) AND intersectional feminism,1902
0,2,(femin*) AND intersectional feminism,1902
0,3,(femin*) AND intersectional feminism,1902
1,4,(femin*) AND intersectional feminism,1902
0,1,(femin*) AND intersectional feminism,1903
1,2,(femin*) AND intersectional feminism,1903
0,3,(femin*) AND intersectional feminism,1903
0,4,(femin*) AND intersectional feminism,1903
0,1,(femin*) AND intersectional feminism,1904
0,2,(femin*) AND intersectional feminism,1904
3,3,(femin*) AND intersectional feminism,1904
1,4,(femin*) AND intersectional feminism,1904
0,1,(femin*) AND intersectional feminism,1905
0,2,(femin*) AND intersectional feminism,1905
0,3,(femin*) AND intersectional feminism,1905
1,4,(femin*) AND intersectional feminism,1905
1,1,(femin*) AND intersectional feminism,1906
0,2,(femin*) AND intersectional feminism,1906
0,3,(femin*) AND intersectional feminism,1906
1,4,(femin*) AND intersectional feminism,1906
2,1,(femin*) AND intersectional feminism,1907
0,2,(femin*) AND intersectional feminism,1907
0,3,(femin*) AND intersectional feminism,1907
1,4,(femin*) AND intersectional feminism,1907
0,1,(femin*) AND intersectional feminism,1908
1,2,(femin*) AND intersectional feminism,1908
0,3,(femin*) AND intersectional feminism,1908
0,4,(femin*) AND intersectional feminism,1908
1,1,(femin*) AND intersectional feminism,1909
1,2,(femin*) AND intersectional feminism,1909
1,3,(femin*) AND intersectional feminism,1909
1,4,(femin*) AND intersectional feminism,1909
0,1,(femin*) AND intersectional feminism,1910
1,2,(femin*) AND intersectional feminism,1910
0,3,(femin*) AND intersectional feminism,1910
3,4,(femin*) AND intersectional feminism,1910
3,1,(femin*) AND intersectional feminism,1911
2,2,(femin*) AND intersectional feminism,1911
6,3,(femin*) AND intersectional feminism,1911
7,4,(femin*) AND intersectional feminism,1911
5,1,(femin*) AND intersectional feminism,1912
5,2,(femin*) AND intersectional feminism,1912
2,3,(femin*) AND intersectional feminism,1912
2,4,(femin*) AND intersectional feminism,1912
3,1,(femin*) AND intersectional feminism,1913
7,2,(femin*) AND intersectional feminism,1913
5,3,(femin*) AND intersectional feminism,1913
19,4,(femin*) AND intersectional feminism,1913
28,1,(femin*) AND intersectional feminism,1914
40,2,(femin*) AND intersectional feminism,1914
4,3,(femin*) AND intersectional feminism,1914
3,4,(femin*) AND intersectional feminism,1914
15,1,(femin*) AND intersectional feminism,1915
11,2,(femin*) AND intersectional feminism,1915
17,3,(femin*) AND intersectional feminism,1915
12,4,(femin*) AND intersectional feminism,1915
7,1,(femin*) AND intersectional feminism,1916
13,2,(femin*) AND intersectional feminism,1916
6,3,(femin*) AND intersectional feminism,1916
5,4,(femin*) AND intersectional feminism,1916
3,1,(femin*) AND intersectional feminism,1917
2,2,(femin*) AND intersectional feminism,1917
3,3,(femin*) AND intersectional feminism,1917
14,4,(femin*) AND intersectional feminism,1917
9,1,(femin*) AND intersectional feminism,1918
2,2,(femin*) AND intersectional feminism,1918
8,3,(femin*) AND intersectional feminism,1918
1,4,(femin*) AND intersectional feminism,1918
2,1,(femin*) AND intersectional feminism,1919
6,2,(femin*) AND intersectional feminism,1919
0,3,(femin*) AND intersectional feminism,1919
4,4,(femin*) AND intersectional feminism,1919
7,1,(femin*) AND intersectional feminism,1920
1,2,(femin*) AND intersectional feminism,1920
2,3,(femin*) AND intersectional feminism,1920
5,4,(femin*) AND intersectional feminism,1920
5,1,(femin*) AND intersectional feminism,1921
4,2,(femin*) AND intersectional feminism,1921
1,3,(femin*) AND intersectional feminism,1921
6,4,(femin*) AND intersectional feminism,1921
3,1,(femin*) AND intersectional feminism,1922
2,2,(femin*) AND intersectional feminism,1922
3,3,(femin*) AND intersectional feminism,1922
10,4,(femin*) AND intersectional feminism,1922
9,1,(femin*) AND intersectional feminism,1923
6,2,(femin*) AND intersectional feminism,1923
7,3,(femin*) AND intersectional feminism,1923
12,4,(femin*) AND intersectional feminism,1923
6,1,(femin*) AND intersectional feminism,1924
7,2,(femin*) AND intersectional feminism,1924
4,3,(femin*) AND intersectional feminism,1924
7,4,(femin*) AND intersectional feminism,1924
10,1,(femin*) AND intersectional feminism,1925
4,2,(femin*) AND intersectional feminism,1925
5,3,(femin*) AND intersectional feminism,1925
10,4,(femin*) AND intersectional feminism,1925
7,1,(femin*) AND intersectional feminism,1926
11,2,(femin*) AND intersectional feminism,1926
2,3,(femin*) AND intersectional feminism,1926
9,4,(femin*) AND intersectional feminism,1926
7,1,(femin*) AND intersectional feminism,1927
7,2,(femin*) AND intersectional feminism,1927
8,3,(femin*) AND intersectional feminism,1927
9,4,(femin*) AND intersectional feminism,1927
6,1,(femin*) AND intersectional feminism,1928
7,2,(femin*) AND intersectional feminism,1928
7,3,(femin*) AND intersectional feminism,1928
