hits,quarter,term,year
0,1,(femin*) AND intersectional feminist,1900
0,2,(femin*) AND intersectional feminist,1900
0,3,(femin*) AND intersectional feminist,1900
1,4,(femin*) AND intersectional feminist,1900
0,1,(femin*) AND intersectional feminist,1901
0,2,(femin*) AND intersectional feminist,1901
0,3,(femin*) AND intersectional feminist,1901
0,4,(femin*) AND intersectional feminist,1901
0,1,(femin*) AND intersectional feminist,1902
0,2,(femin*) AND intersectional feminist,1902
0,3,(femin*) AND intersectional feminist,1902
0,4,(femin*) AND intersectional feminist,1902
0,1,(femin*) AND intersectional feminist,1903
0,2,(femin*) AND intersectional feminist,1903
0,3,(femin*) AND intersectional feminist,1903
0,4,(femin*) AND intersectional feminist,1903
0,1,(femin*) AND intersectional feminist,1904
0,2,(femin*) AND intersectional feminist,1904
2,3,(femin*) AND intersectional feminist,1904
1,4,(femin*) AND intersectional feminist,1904
0,1,(femin*) AND intersectional feminist,1905
1,2,(femin*) AND intersectional feminist,1905
0,3,(femin*) AND intersectional feminist,1905
0,4,(femin*) AND intersectional feminist,1905
0,1,(femin*) AND intersectional feminist,1906
0,2,(femin*) AND intersectional feminist,1906
0,3,(femin*) AND intersectional feminist,1906
0,4,(femin*) AND intersectional feminist,1906
1,1,(femin*) AND intersectional feminist,1907
0,2,(femin*) AND intersectional feminist,1907
0,3,(femin*) AND intersectional feminist,1907
2,4,(femin*) AND intersectional feminist,1907
0,1,(femin*) AND intersectional feminist,1908
1,2,(femin*) AND intersectional feminist,1908
0,3,(femin*) AND intersectional feminist,1908
4,4,(femin*) AND intersectional feminist,1908
3,1,(femin*) AND intersectional feminist,1909
3,2,(femin*) AND intersectional feminist,1909
1,3,(femin*) AND intersectional feminist,1909
1,4,(femin*) AND intersectional feminist,1909
1,1,(femin*) AND intersectional feminist,1910
7,2,(femin*) AND intersectional feminist,1910
5,3,(femin*) AND intersectional feminist,1910
0,4,(femin*) AND intersectional feminist,1910
5,1,(femin*) AND intersectional feminist,1911
2,2,(femin*) AND intersectional feminist,1911
3,3,(femin*) AND intersectional feminist,1911
12,4,(femin*) AND intersectional feminist,1911
10,1,(femin*) AND intersectional feminist,1912
3,2,(femin*) AND intersectional feminist,1912
8,3,(femin*) AND intersectional feminist,1912
15,4,(femin*) AND intersectional feminist,1912
14,1,(femin*) AND intersectional feminist,1913
18,2,(femin*) AND intersectional feminist,1913
11,3,(femin*) AND intersectional feminist,1913
30,4,(femin*) AND intersectional feminist,1913
35,1,(femin*) AND intersectional feminist,1914
39,2,(femin*) AND intersectional feminist,1914
4,3,(femin*) AND intersectional feminist,1914
10,4,(femin*) AND intersectional feminist,1914
18,1,(femin*) AND intersectional feminist,1915
19,2,(femin*) AND intersectional feminist,1915
26,3,(femin*) AND intersectional feminist,1915
7,4,(femin*) AND intersectional feminist,1915
4,1,(femin*) AND intersectional feminist,1916
11,2,(femin*) AND intersectional feminist,1916
17,3,(femin*) AND intersectional feminist,1916
8,4,(femin*) AND intersectional feminist,1916
5,1,(femin*) AND intersectional feminist,1917
7,2,(femin*) AND intersectional feminist,1917
6,3,(femin*) AND intersectional feminist,1917
11,4,(femin*) AND intersectional feminist,1917
6,1,(femin*) AND intersectional feminist,1918
4,2,(femin*) AND intersectional feminist,1918
5,3,(femin*) AND intersectional feminist,1918
2,4,(femin*) AND intersectional feminist,1918
2,1,(femin*) AND intersectional feminist,1919
12,2,(femin*) AND intersectional feminist,1919
1,3,(femin*) AND intersectional feminist,1919
7,4,(femin*) AND intersectional feminist,1919
6,1,(femin*) AND intersectional feminist,1920
7,2,(femin*) AND intersectional feminist,1920
10,3,(femin*) AND intersectional feminist,1920
11,4,(femin*) AND intersectional feminist,1920
7,1,(femin*) AND intersectional feminist,1921
13,2,(femin*) AND intersectional feminist,1921
4,3,(femin*) AND intersectional feminist,1921
7,4,(femin*) AND intersectional feminist,1921
7,1,(femin*) AND intersectional feminist,1922
14,2,(femin*) AND intersectional feminist,1922
8,3,(femin*) AND intersectional feminist,1922
7,4,(femin*) AND intersectional feminist,1922
14,1,(femin*) AND intersectional feminist,1923
11,2,(femin*) AND intersectional feminist,1923
13,3,(femin*) AND intersectional feminist,1923
11,4,(femin*) AND intersectional feminist,1923
10,1,(femin*) AND intersectional feminist,1924
9,2,(femin*) AND intersectional feminist,1924
9,3,(femin*) AND intersectional feminist,1924
12,4,(femin*) AND intersectional feminist,1924
9,1,(femin*) AND intersectional feminist,1925
12,2,(femin*) AND intersectional feminist,1925
14,3,(femin*) AND intersectional feminist,1925
