hits,quarter,term,year
0,1,(gender*) AND gender equality,1900
0,2,(gender*) AND gender equality,1900
0,3,(gender*) AND gender equality,1900
0,4,(gender*) AND gender equality,1900
0,1,(gender*) AND gender equality,1901
0,2,(gender*) AND gender equality,1901
0,3,(gender*) AND gender equality,1901
0,4,(gender*) AND gender equality,1901
1,1,(gender*) AND gender equality,1902
0,2,(gender*) AND gender equality,1902
0,3,(gender*) AND gender equality,1902
0,4,(gender*) AND gender equality,1902
0,1,(gender*) AND gender equality,1903
0,2,(gender*) AND gender equality,1903
0,3,(gender*) AND gender equality,1903
0,4,(gender*) AND gender equality,1903
0,1,(gender*) AND gender equality,1904
0,2,(gender*) AND gender equality,1904
0,3,(gender*) AND gender equality,1904
0,4,(gender*) AND gender equality,1904
0,1,(gender*) AND gender equality,1905
1,2,(gender*) AND gender equality,1905
0,3,(gender*) AND gender equality,1905
0,4,(gender*) AND gender equality,1905
0,1,(gender*) AND gender equality,1906
0,2,(gender*) AND gender equality,1906
1,3,(gender*) AND gender equality,1906
0,4,(gender*) AND gender equality,1906
0,1,(gender*) AND gender equality,1907
2,2,(gender*) AND gender equality,1907
1,3,(gender*) AND gender equality,1907
1,4,(gender*) AND gender equality,1907
0,1,(gender*) AND gender equality,1908
0,2,(gender*) AND gender equality,1908
0,3,(gender*) AND gender equality,1908
0,4,(gender*) AND gender equality,1908
1,1,(gender*) AND gender equality,1909
0,2,(gender*) AND gender equality,1909
0,3,(gender*) AND gender equality,1909
1,4,(gender*) AND gender equality,1909
0,1,(gender*) AND gender equality,1910
0,2,(gender*) AND gender equality,1910
0,3,(gender*) AND gender equality,1910
0,4,(gender*) AND gender equality,1910
1,1,(gender*) AND gender equality,1911
0,2,(gender*) AND gender equality,1911
0,3,(gender*) AND gender equality,1911
0,4,(gender*) AND gender equality,1911
0,1,(gender*) AND gender equality,1912
0,2,(gender*) AND gender equality,1912
0,3,(gender*) AND gender equality,1912
1,4,(gender*) AND gender equality,1912
0,1,(gender*) AND gender equality,1913
0,2,(gender*) AND gender equality,1913
0,3,(gender*) AND gender equality,1913
0,4,(gender*) AND gender equality,1913
0,1,(gender*) AND gender equality,1914
1,2,(gender*) AND gender equality,1914
0,3,(gender*) AND gender equality,1914
0,4,(gender*) AND gender equality,1914
0,1,(gender*) AND gender equality,1915
0,2,(gender*) AND gender equality,1915
0,3,(gender*) AND gender equality,1915
0,4,(gender*) AND gender equality,1915
0,1,(gender*) AND gender equality,1916
0,2,(gender*) AND gender equality,1916
0,3,(gender*) AND gender equality,1916
3,4,(gender*) AND gender equality,1916
1,1,(gender*) AND gender equality,1917
0,2,(gender*) AND gender equality,1917
0,3,(gender*) AND gender equality,1917
0,4,(gender*) AND gender equality,1917
1,1,(gender*) AND gender equality,1918
0,2,(gender*) AND gender equality,1918
0,3,(gender*) AND gender equality,1918
0,4,(gender*) AND gender equality,1918
0,1,(gender*) AND gender equality,1919
1,2,(gender*) AND gender equality,1919
0,3,(gender*) AND gender equality,1919
1,4,(gender*) AND gender equality,1919
1,1,(gender*) AND gender equality,1920
2,2,(gender*) AND gender equality,1920
1,3,(gender*) AND gender equality,1920
1,4,(gender*) AND gender equality,1920
0,1,(gender*) AND gender equality,1921
0,2,(gender*) AND gender equality,1921
1,3,(gender*) AND gender equality,1921
0,4,(gender*) AND gender equality,1921
0,1,(gender*) AND gender equality,1922
0,2,(gender*) AND gender equality,1922
0,3,(gender*) AND gender equality,1922
0,4,(gender*) AND gender equality,1922
0,1,(gender*) AND gender equality,1923
2,2,(gender*) AND gender equality,1923
0,3,(gender*) AND gender equality,1923
0,4,(gender*) AND gender equality,1923
0,1,(gender*) AND gender equality,1924
0,2,(gender*) AND gender equality,1924
