hits,quarter,term,year
1,1,(gender*) AND gender justice,1900
1,2,(gender*) AND gender justice,1900
0,3,(gender*) AND gender justice,1900
1,4,(gender*) AND gender justice,1900
1,1,(gender*) AND gender justice,1901
2,2,(gender*) AND gender justice,1901
1,3,(gender*) AND gender justice,1901
1,4,(gender*) AND gender justice,1901
2,1,(gender*) AND gender justice,1902
3,2,(gender*) AND gender justice,1902
1,3,(gender*) AND gender justice,1902
2,4,(gender*) AND gender justice,1902
0,1,(gender*) AND gender justice,1903
2,2,(gender*) AND gender justice,1903
2,3,(gender*) AND gender justice,1903
0,4,(gender*) AND gender justice,1903
2,1,(gender*) AND gender justice,1904
0,2,(gender*) AND gender justice,1904
0,3,(gender*) AND gender justice,1904
0,4,(gender*) AND gender justice,1904
0,1,(gender*) AND gender justice,1905
0,2,(gender*) AND gender justice,1905
3,3,(gender*) AND gender justice,1905
4,4,(gender*) AND gender justice,1905
4,1,(gender*) AND gender justice,1906
5,2,(gender*) AND gender justice,1906
0,3,(gender*) AND gender justice,1906
0,4,(gender*) AND gender justice,1906
2,1,(gender*) AND gender justice,1907
4,2,(gender*) AND gender justice,1907
1,3,(gender*) AND gender justice,1907
1,4,(gender*) AND gender justice,1907
0,1,(gender*) AND gender justice,1908
0,2,(gender*) AND gender justice,1908
2,3,(gender*) AND gender justice,1908
2,4,(gender*) AND gender justice,1908
2,1,(gender*) AND gender justice,1909
4,2,(gender*) AND gender justice,1909
1,3,(gender*) AND gender justice,1909
7,4,(gender*) AND gender justice,1909
2,1,(gender*) AND gender justice,1910
0,2,(gender*) AND gender justice,1910
0,3,(gender*) AND gender justice,1910
0,4,(gender*) AND gender justice,1910
1,1,(gender*) AND gender justice,1911
2,2,(gender*) AND gender justice,1911
0,3,(gender*) AND gender justice,1911
0,4,(gender*) AND gender justice,1911
3,1,(gender*) AND gender justice,1912
1,2,(gender*) AND gender justice,1912
1,3,(gender*) AND gender justice,1912
1,4,(gender*) AND gender justice,1912
0,1,(gender*) AND gender justice,1913
0,2,(gender*) AND gender justice,1913
1,3,(gender*) AND gender justice,1913
1,4,(gender*) AND gender justice,1913
0,1,(gender*) AND gender justice,1914
0,2,(gender*) AND gender justice,1914
0,3,(gender*) AND gender justice,1914
0,4,(gender*) AND gender justice,1914
1,1,(gender*) AND gender justice,1915
0,2,(gender*) AND gender justice,1915
1,3,(gender*) AND gender justice,1915
0,4,(gender*) AND gender justice,1915
1,1,(gender*) AND gender justice,1916
0,2,(gender*) AND gender justice,1916
3,3,(gender*) AND gender justice,1916
3,4,(gender*) AND gender justice,1916
1,1,(gender*) AND gender justice,1917
1,2,(gender*) AND gender justice,1917
0,3,(gender*) AND gender justice,1917
1,4,(gender*) AND gender justice,1917
0,1,(gender*) AND gender justice,1918
1,2,(gender*) AND gender justice,1918
1,3,(gender*) AND gender justice,1918
0,4,(gender*) AND gender justice,1918
0,1,(gender*) AND gender justice,1919
2,2,(gender*) AND gender justice,1919
0,3,(gender*) AND gender justice,1919
1,4,(gender*) AND gender justice,1919
2,1,(gender*) AND gender justice,1920
2,2,(gender*) AND gender justice,1920
2,3,(gender*) AND gender justice,1920
3,4,(gender*) AND gender justice,1920
1,1,(gender*) AND gender justice,1921
3,2,(gender*) AND gender justice,1921
1,3,(gender*) AND gender justice,1921
1,4,(gender*) AND gender justice,1921
3,1,(gender*) AND gender justice,1922
2,2,(gender*) AND gender justice,1922
1,3,(gender*) AND gender justice,1922
4,4,(gender*) AND gender justice,1922
1,1,(gender*) AND gender justice,1923
0,2,(gender*) AND gender justice,1923
0,3,(gender*) AND gender justice,1923
1,4,(gender*) AND gender justice,1923
2,1,(gender*) AND gender justice,1924
1,2,(gender*) AND gender justice,1924
0,3,(gender*) AND gender justice,1924
0,4,(gender*) AND gender justice,1924
1,1,(gender*) AND gender justice,1925
0,2,(gender*) AND gender justice,1925
0,3,(gender*) AND gender justice,1925
1,4,(gender*) AND gender justice,1925
2,1,(gender*) AND gender justice,1926
0,2,(gender*) AND gender justice,1926
1,3,(gender*) AND gender justice,1926
