hits,quarter,term,year
0,1,(vets*) AND neurasthenia,1900
0,2,(vets*) AND neurasthenia,1900
0,3,(vets*) AND neurasthenia,1900
0,4,(vets*) AND neurasthenia,1900
0,1,(vets*) AND neurasthenia,1901
0,2,(vets*) AND neurasthenia,1901
0,3,(vets*) AND neurasthenia,1901
0,4,(vets*) AND neurasthenia,1901
0,1,(vets*) AND neurasthenia,1902
0,2,(vets*) AND neurasthenia,1902
0,3,(vets*) AND neurasthenia,1902
0,4,(vets*) AND neurasthenia,1902
0,1,(vets*) AND neurasthenia,1903
0,2,(vets*) AND neurasthenia,1903
0,3,(vets*) AND neurasthenia,1903
0,4,(vets*) AND neurasthenia,1903
0,1,(vets*) AND neurasthenia,1904
0,2,(vets*) AND neurasthenia,1904
0,3,(vets*) AND neurasthenia,1904
0,4,(vets*) AND neurasthenia,1904
0,1,(vets*) AND neurasthenia,1905
0,2,(vets*) AND neurasthenia,1905
0,3,(vets*) AND neurasthenia,1905
0,4,(vets*) AND neurasthenia,1905
0,1,(vets*) AND neurasthenia,1906
0,2,(vets*) AND neurasthenia,1906
0,3,(vets*) AND neurasthenia,1906
0,4,(vets*) AND neurasthenia,1906
0,1,(vets*) AND neurasthenia,1907
0,2,(vets*) AND neurasthenia,1907
0,3,(vets*) AND neurasthenia,1907
0,4,(vets*) AND neurasthenia,1907
0,1,(vets*) AND neurasthenia,1908
0,2,(vets*) AND neurasthenia,1908
0,3,(vets*) AND neurasthenia,1908
0,4,(vets*) AND neurasthenia,1908
0,1,(vets*) AND neurasthenia,1909
0,2,(vets*) AND neurasthenia,1909
0,3,(vets*) AND neurasthenia,1909
0,4,(vets*) AND neurasthenia,1909
0,1,(vets*) AND neurasthenia,1910
0,2,(vets*) AND neurasthenia,1910
0,3,(vets*) AND neurasthenia,1910
0,4,(vets*) AND neurasthenia,1910
0,1,(vets*) AND neurasthenia,1911
0,2,(vets*) AND neurasthenia,1911
0,3,(vets*) AND neurasthenia,1911
0,4,(vets*) AND neurasthenia,1911
0,1,(vets*) AND neurasthenia,1912
0,2,(vets*) AND neurasthenia,1912
0,3,(vets*) AND neurasthenia,1912
0,4,(vets*) AND neurasthenia,1912
0,1,(vets*) AND neurasthenia,1913
0,2,(vets*) AND neurasthenia,1913
0,3,(vets*) AND neurasthenia,1913
0,4,(vets*) AND neurasthenia,1913
0,1,(vets*) AND neurasthenia,1914
0,2,(vets*) AND neurasthenia,1914
0,3,(vets*) AND neurasthenia,1914
0,4,(vets*) AND neurasthenia,1914
0,1,(vets*) AND neurasthenia,1915
0,2,(vets*) AND neurasthenia,1915
0,3,(vets*) AND neurasthenia,1915
0,4,(vets*) AND neurasthenia,1915
0,1,(vets*) AND neurasthenia,1916
0,2,(vets*) AND neurasthenia,1916
0,3,(vets*) AND neurasthenia,1916
0,4,(vets*) AND neurasthenia,1916
0,1,(vets*) AND neurasthenia,1917
0,2,(vets*) AND neurasthenia,1917
0,3,(vets*) AND neurasthenia,1917
0,4,(vets*) AND neurasthenia,1917
0,1,(vets*) AND neurasthenia,1918
0,2,(vets*) AND neurasthenia,1918
0,3,(vets*) AND neurasthenia,1918
0,4,(vets*) AND neurasthenia,1918
0,1,(vets*) AND neurasthenia,1919
0,2,(vets*) AND neurasthenia,1919
0,3,(vets*) AND neurasthenia,1919
0,4,(vets*) AND neurasthenia,1919
0,1,(vets*) AND neurasthenia,1920
0,2,(vets*) AND neurasthenia,1920
0,3,(vets*) AND neurasthenia,1920
0,4,(vets*) AND neurasthenia,1920
0,1,(vets*) AND neurasthenia,1921
0,2,(vets*) AND neurasthenia,1921
0,3,(vets*) AND neurasthenia,1921
0,4,(vets*) AND neurasthenia,1921
0,1,(vets*) AND neurasthenia,1922
0,2,(vets*) AND neurasthenia,1922
0,3,(vets*) AND neurasthenia,1922
0,4,(vets*) AND neurasthenia,1922
0,1,(vets*) AND neurasthenia,1923
0,2,(vets*) AND neurasthenia,1923
0,3,(vets*) AND neurasthenia,1923
0,4,(vets*) AND neurasthenia,1923
0,1,(vets*) AND neurasthenia,1924
0,2,(vets*) AND neurasthenia,1924
0,3,(vets*) AND neurasthenia,1924
0,4,(vets*) AND neurasthenia,1924
0,1,(vets*) AND neurasthenia,1925
0,2,(vets*) AND neurasthenia,1925
0,3,(vets*) AND neurasthenia,1925
0,4,(vets*) AND neurasthenia,1925
0,1,(vets*) AND neurasthenia,1926
0,2,(vets*) AND neurasthenia,1926
0,3,(vets*) AND neurasthenia,1926
0,4,(vets*) AND neurasthenia,1926
0,1,(vets*) AND neurasthenia,1927
0,2,(vets*) AND neurasthenia,1927
0,3,(vets*) AND neurasthenia,1927
0,4,(vets*) AND neurasthenia,1927
0,1,(vets*) AND neurasthenia,1928
0,2,(vets*) AND neurasthenia,1928
0,3,(vets*) AND neurasthenia,1928
0,4,(vets*) AND neurasthenia,1928
0,1,(vets*) AND neurasthenia,1929
0,2,(vets*) AND neurasthenia,1929
0,3,(vets*) AND neurasthenia,1929
0,4,(vets*) AND neurasthenia,1929
0,1,(vets*) AND neurasthenia,1930
0,2,(vets*) AND neurasthenia,1930
0,3,(vets*) AND neurasthenia,1930
0,4,(vets*) AND neurasthenia,1930
0,1,(vets*) AND neurasthenia,1931
0,2,(vets*) AND neurasthenia,1931
0,3,(vets*) AND neurasthenia,1931
0,4,(vets*) AND neurasthenia,1931
0,1,(vets*) AND neurasthenia,1932
0,2,(vets*) AND neurasthenia,1932
0,3,(vets*) AND neurasthenia,1932
0,4,(vets*) AND neurasthenia,1932
0,1,(vets*) AND neurasthenia,1933
0,2,(vets*) AND neurasthenia,1933
0,3,(vets*) AND neurasthenia,1933
0,4,(vets*) AND neurasthenia,1933
0,1,(vets*) AND neurasthenia,1934
0,2,(vets*) AND neurasthenia,1934
0,3,(vets*) AND neurasthenia,1934
0,4,(vets*) AND neurasthenia,1934
0,1,(vets*) AND neurasthenia,1935
0,2,(vets*) AND neurasthenia,1935
0,3,(vets*) AND neurasthenia,1935
0,4,(vets*) AND neurasthenia,1935
0,1,(vets*) AND neurasthenia,1936
0,2,(vets*) AND neurasthenia,1936
0,3,(vets*) AND neurasthenia,1936
0,4,(vets*) AND neurasthenia,1936
0,1,(vets*) AND neurasthenia,1937
0,2,(vets*) AND neurasthenia,1937
0,3,(vets*) AND neurasthenia,1937
0,4,(vets*) AND neurasthenia,1937
0,1,(vets*) AND neurasthenia,1938
0,2,(vets*) AND neurasthenia,1938
0,3,(vets*) AND neurasthenia,1938
0,4,(vets*) AND neurasthenia,1938
0,1,(vets*) AND neurasthenia,1939
0,2,(vets*) AND neurasthenia,1939
0,3,(vets*) AND neurasthenia,1939
0,4,(vets*) AND neurasthenia,1939
0,1,(vets*) AND neurasthenia,1940
0,2,(vets*) AND neurasthenia,1940
0,3,(vets*) AND neurasthenia,1940
0,4,(vets*) AND neurasthenia,1940
0,1,(vets*) AND neurasthenia,1941
0,2,(vets*) AND neurasthenia,1941
0,3,(vets*) AND neurasthenia,1941
0,4,(vets*) AND neurasthenia,1941
0,1,(vets*) AND neurasthenia,1942
0,2,(vets*) AND neurasthenia,1942
0,3,(vets*) AND neurasthenia,1942
0,4,(vets*) AND neurasthenia,1942
0,1,(vets*) AND neurasthenia,1943
0,2,(vets*) AND neurasthenia,1943
0,3,(vets*) AND neurasthenia,1943
0,4,(vets*) AND neurasthenia,1943
0,1,(vets*) AND neurasthenia,1944
0,2,(vets*) AND neurasthenia,1944
0,3,(vets*) AND neurasthenia,1944
0,4,(vets*) AND neurasthenia,1944
0,1,(vets*) AND neurasthenia,1945
0,2,(vets*) AND neurasthenia,1945
0,3,(vets*) AND neurasthenia,1945
0,4,(vets*) AND neurasthenia,1945
0,1,(vets*) AND neurasthenia,1946
0,2,(vets*) AND neurasthenia,1946
0,3,(vets*) AND neurasthenia,1946
0,4,(vets*) AND neurasthenia,1946
0,1,(vets*) AND neurasthenia,1947
0,2,(vets*) AND neurasthenia,1947
0,3,(vets*) AND neurasthenia,1947
0,4,(vets*) AND neurasthenia,1947
0,1,(vets*) AND neurasthenia,1948
0,2,(vets*) AND neurasthenia,1948
0,3,(vets*) AND neurasthenia,1948
0,4,(vets*) AND neurasthenia,1948
