hits,quarter,term,year
0,1,(vets*) AND shell shock,1900
0,2,(vets*) AND shell shock,1900
0,3,(vets*) AND shell shock,1900
0,4,(vets*) AND shell shock,1900
0,1,(vets*) AND shell shock,1901
0,2,(vets*) AND shell shock,1901
0,3,(vets*) AND shell shock,1901
0,4,(vets*) AND shell shock,1901
0,1,(vets*) AND shell shock,1902
0,2,(vets*) AND shell shock,1902
0,3,(vets*) AND shell shock,1902
0,4,(vets*) AND shell shock,1902
0,1,(vets*) AND shell shock,1903
0,2,(vets*) AND shell shock,1903
0,3,(vets*) AND shell shock,1903
0,4,(vets*) AND shell shock,1903
0,1,(vets*) AND shell shock,1904
0,2,(vets*) AND shell shock,1904
0,3,(vets*) AND shell shock,1904
0,4,(vets*) AND shell shock,1904
0,1,(vets*) AND shell shock,1905
0,2,(vets*) AND shell shock,1905
0,3,(vets*) AND shell shock,1905
0,4,(vets*) AND shell shock,1905
0,1,(vets*) AND shell shock,1906
0,2,(vets*) AND shell shock,1906
0,3,(vets*) AND shell shock,1906
0,4,(vets*) AND shell shock,1906
0,1,(vets*) AND shell shock,1907
0,2,(vets*) AND shell shock,1907
0,3,(vets*) AND shell shock,1907
0,4,(vets*) AND shell shock,1907
0,1,(vets*) AND shell shock,1908
0,2,(vets*) AND shell shock,1908
0,3,(vets*) AND shell shock,1908
0,4,(vets*) AND shell shock,1908
0,1,(vets*) AND shell shock,1909
0,2,(vets*) AND shell shock,1909
0,3,(vets*) AND shell shock,1909
0,4,(vets*) AND shell shock,1909
0,1,(vets*) AND shell shock,1910
0,2,(vets*) AND shell shock,1910
0,3,(vets*) AND shell shock,1910
0,4,(vets*) AND shell shock,1910
0,1,(vets*) AND shell shock,1911
0,2,(vets*) AND shell shock,1911
0,3,(vets*) AND shell shock,1911
0,4,(vets*) AND shell shock,1911
0,1,(vets*) AND shell shock,1912
0,2,(vets*) AND shell shock,1912
0,3,(vets*) AND shell shock,1912
0,4,(vets*) AND shell shock,1912
0,1,(vets*) AND shell shock,1913
0,2,(vets*) AND shell shock,1913
0,3,(vets*) AND shell shock,1913
0,4,(vets*) AND shell shock,1913
0,1,(vets*) AND shell shock,1914
0,2,(vets*) AND shell shock,1914
0,3,(vets*) AND shell shock,1914
0,4,(vets*) AND shell shock,1914
0,1,(vets*) AND shell shock,1915
0,2,(vets*) AND shell shock,1915
0,3,(vets*) AND shell shock,1915
0,4,(vets*) AND shell shock,1915
0,1,(vets*) AND shell shock,1916
0,2,(vets*) AND shell shock,1916
0,3,(vets*) AND shell shock,1916
0,4,(vets*) AND shell shock,1916
