hits,quarter,term,year
1069,1,(woman*) AND womanism,1900
999,2,(woman*) AND womanism,1900
1170,3,(woman*) AND womanism,1900
1274,4,(woman*) AND womanism,1900
1249,1,(woman*) AND womanism,1901
1211,2,(woman*) AND womanism,1901
1082,3,(woman*) AND womanism,1901
1180,4,(woman*) AND womanism,1901
967,1,(woman*) AND womanism,1902
969,2,(woman*) AND womanism,1902
1051,3,(woman*) AND womanism,1902
1214,4,(woman*) AND womanism,1902
1201,1,(woman*) AND womanism,1903
1152,2,(woman*) AND womanism,1903
1323,3,(woman*) AND womanism,1903
1219,4,(woman*) AND womanism,1903
1025,1,(woman*) AND womanism,1904
1262,2,(woman*) AND womanism,1904
1200,3,(woman*) AND womanism,1904
1111,4,(woman*) AND womanism,1904
1014,1,(woman*) AND womanism,1905
1037,2,(woman*) AND womanism,1905
1034,3,(woman*) AND womanism,1905
996,4,(woman*) AND womanism,1905
980,1,(woman*) AND womanism,1906
1020,2,(woman*) AND womanism,1906
1009,3,(woman*) AND womanism,1906
1077,4,(woman*) AND womanism,1906
1127,1,(woman*) AND womanism,1907
1139,2,(woman*) AND womanism,1907
1301,3,(woman*) AND womanism,1907
1195,4,(woman*) AND womanism,1907
1116,1,(woman*) AND womanism,1908
1133,2,(woman*) AND womanism,1908
1319,3,(woman*) AND womanism,1908
1211,4,(woman*) AND womanism,1908
1330,1,(woman*) AND womanism,1909
1195,2,(woman*) AND womanism,1909
1219,3,(woman*) AND womanism,1909
1540,4,(woman*) AND womanism,1909
1544,1,(woman*) AND womanism,1910
1459,2,(woman*) AND womanism,1910
1370,3,(woman*) AND womanism,1910
1292,4,(woman*) AND womanism,1910
1265,1,(woman*) AND womanism,1911
1237,2,(woman*) AND womanism,1911
1353,3,(woman*) AND womanism,1911
1554,4,(woman*) AND womanism,1911
1591,1,(woman*) AND womanism,1912
1488,2,(woman*) AND womanism,1912
1336,3,(woman*) AND womanism,1912
1412,4,(woman*) AND womanism,1912
1421,1,(woman*) AND womanism,1913
1429,2,(woman*) AND womanism,1913
1308,3,(woman*) AND womanism,1913
1519,4,(woman*) AND womanism,1913
1423,1,(woman*) AND womanism,1914
1344,2,(woman*) AND womanism,1914
1090,3,(woman*) AND womanism,1914
999,4,(woman*) AND womanism,1914
1255,1,(woman*) AND womanism,1915
1215,2,(woman*) AND womanism,1915
1107,3,(woman*) AND womanism,1915
1202,4,(woman*) AND womanism,1915
897,1,(woman*) AND womanism,1916
905,2,(woman*) AND womanism,1916
834,3,(woman*) AND womanism,1916
713,4,(woman*) AND womanism,1916
780,1,(woman*) AND womanism,1917
732,2,(woman*) AND womanism,1917
694,3,(woman*) AND womanism,1917
1036,4,(woman*) AND womanism,1917
773,1,(woman*) AND womanism,1918
842,2,(woman*) AND womanism,1918
697,3,(woman*) AND womanism,1918
569,4,(woman*) AND womanism,1918
686,1,(woman*) AND womanism,1919
708,2,(woman*) AND womanism,1919
685,3,(woman*) AND womanism,1919
847,4,(woman*) AND womanism,1919
849,1,(woman*) AND womanism,1920
943,2,(woman*) AND womanism,1920
1104,3,(woman*) AND womanism,1920
966,4,(woman*) AND womanism,1920
1128,1,(woman*) AND womanism,1921
1280,2,(woman*) AND womanism,1921
1342,3,(woman*) AND womanism,1921
1241,4,(woman*) AND womanism,1921
1303,1,(woman*) AND womanism,1922
1385,2,(woman*) AND womanism,1922
1279,3,(woman*) AND womanism,1922
1424,4,(woman*) AND womanism,1922
1549,1,(woman*) AND womanism,1923
1494,2,(woman*) AND womanism,1923
1340,3,(woman*) AND womanism,1923
1331,4,(woman*) AND womanism,1923
1263,1,(woman*) AND womanism,1924
1452,2,(woman*) AND womanism,1924
1326,3,(woman*) AND womanism,1924
1291,4,(woman*) AND womanism,1924
1620,1,(woman*) AND womanism,1925
1616,2,(woman*) AND womanism,1925
1548,3,(woman*) AND womanism,1925
1408,4,(woman*) AND womanism,1925
1598,1,(woman*) AND womanism,1926
1675,2,(woman*) AND womanism,1926
1737,3,(woman*) AND womanism,1926
1784,4,(woman*) AND womanism,1926
1556,1,(woman*) AND womanism,1927
1513,2,(woman*) AND womanism,1927
1610,3,(woman*) AND womanism,1927
1682,4,(woman*) AND womanism,1927
1745,1,(woman*) AND womanism,1928
1666,2,(woman*) AND womanism,1928
1731,3,(woman*) AND womanism,1928
1671,4,(woman*) AND womanism,1928
1552,1,(woman*) AND womanism,1929
1489,2,(woman*) AND womanism,1929
1462,3,(woman*) AND womanism,1929
1583,4,(woman*) AND womanism,1929
1764,1,(woman*) AND womanism,1930
1767,2,(woman*) AND womanism,1930
1477,3,(woman*) AND womanism,1930
1565,4,(woman*) AND womanism,1930
1613,1,(woman*) AND womanism,1931
1749,2,(woman*) AND womanism,1931
1553,3,(woman*) AND womanism,1931
1682,4,(woman*) AND womanism,1931
1634,1,(woman*) AND womanism,1932
1582,2,(woman*) AND womanism,1932
1264,3,(woman*) AND womanism,1932
1517,4,(woman*) AND womanism,1932
1481,1,(woman*) AND womanism,1933
1282,2,(woman*) AND womanism,1933
1241,3,(woman*) AND womanism,1933
1404,4,(woman*) AND womanism,1933
1305,1,(woman*) AND womanism,1934
1418,2,(woman*) AND womanism,1934
1319,3,(woman*) AND womanism,1934
1512,4,(woman*) AND womanism,1934
1493,1,(woman*) AND womanism,1935
1437,2,(woman*) AND womanism,1935
1368,3,(woman*) AND womanism,1935
1423,4,(woman*) AND womanism,1935
1356,1,(woman*) AND womanism,1936
1469,2,(woman*) AND womanism,1936
1400,3,(woman*) AND womanism,1936
1683,4,(woman*) AND womanism,1936
1686,1,(woman*) AND womanism,1937
1569,2,(woman*) AND womanism,1937
1366,3,(woman*) AND womanism,1937
1584,4,(woman*) AND womanism,1937
1460,1,(woman*) AND womanism,1938
1314,2,(woman*) AND womanism,1938
1184,3,(woman*) AND womanism,1938
1385,4,(woman*) AND womanism,1938
1407,1,(woman*) AND womanism,1939
1367,2,(woman*) AND womanism,1939
1170,3,(woman*) AND womanism,1939
1397,4,(woman*) AND womanism,1939
1372,1,(woman*) AND womanism,1940
1272,2,(woman*) AND womanism,1940
1089,3,(woman*) AND womanism,1940
1264,4,(woman*) AND womanism,1940
1063,1,(woman*) AND womanism,1941
966,2,(woman*) AND womanism,1941
880,3,(woman*) AND womanism,1941
1162,4,(woman*) AND womanism,1941
1150,1,(woman*) AND womanism,1942
1041,2,(woman*) AND womanism,1942
1000,3,(woman*) AND womanism,1942
1065,4,(woman*) AND womanism,1942
1007,1,(woman*) AND womanism,1943
929,2,(woman*) AND womanism,1943
821,3,(woman*) AND womanism,1943
858,4,(woman*) AND womanism,1943
861,1,(woman*) AND womanism,1944
873,2,(woman*) AND womanism,1944
775,3,(woman*) AND womanism,1944
890,4,(woman*) AND womanism,1944
969,1,(woman*) AND womanism,1945
859,2,(woman*) AND womanism,1945
