hits,quarter,term,year
1039,1,(woman*) AND womanist,1900
982,2,(woman*) AND womanist,1900
1152,3,(woman*) AND womanist,1900
1232,4,(woman*) AND womanist,1900
1229,1,(woman*) AND womanist,1901
1183,2,(woman*) AND womanist,1901
1065,3,(woman*) AND womanist,1901
1160,4,(woman*) AND womanist,1901
951,1,(woman*) AND womanist,1902
950,2,(woman*) AND womanist,1902
1039,3,(woman*) AND womanist,1902
1195,4,(woman*) AND womanist,1902
1179,1,(woman*) AND womanist,1903
1132,2,(woman*) AND womanist,1903
1298,3,(woman*) AND womanist,1903
1195,4,(woman*) AND womanist,1903
1009,1,(woman*) AND womanist,1904
1233,2,(woman*) AND womanist,1904
1185,3,(woman*) AND womanist,1904
1083,4,(woman*) AND womanist,1904
991,1,(woman*) AND womanist,1905
1005,2,(woman*) AND womanist,1905
1005,3,(woman*) AND womanist,1905
968,4,(woman*) AND womanist,1905
960,1,(woman*) AND womanist,1906
1003,2,(woman*) AND womanist,1906
985,3,(woman*) AND womanist,1906
1043,4,(woman*) AND womanist,1906
1100,1,(woman*) AND womanist,1907
1108,2,(woman*) AND womanist,1907
1265,3,(woman*) AND womanist,1907
1165,4,(woman*) AND womanist,1907
1083,1,(woman*) AND womanist,1908
1096,2,(woman*) AND womanist,1908
1287,3,(woman*) AND womanist,1908
1183,4,(woman*) AND womanist,1908
1299,1,(woman*) AND womanist,1909
1165,2,(woman*) AND womanist,1909
1198,3,(woman*) AND womanist,1909
1512,4,(woman*) AND womanist,1909
1487,1,(woman*) AND womanist,1910
1359,2,(woman*) AND womanist,1910
1322,3,(woman*) AND womanist,1910
1246,4,(woman*) AND womanist,1910
1231,1,(woman*) AND womanist,1911
1186,2,(woman*) AND womanist,1911
1291,3,(woman*) AND womanist,1911
1451,4,(woman*) AND womanist,1911
1499,1,(woman*) AND womanist,1912
1420,2,(woman*) AND womanist,1912
1297,3,(woman*) AND womanist,1912
1377,4,(woman*) AND womanist,1912
1385,1,(woman*) AND womanist,1913
1371,2,(woman*) AND womanist,1913
1272,3,(woman*) AND womanist,1913
1478,4,(woman*) AND womanist,1913
1367,1,(woman*) AND womanist,1914
1294,2,(woman*) AND womanist,1914
1048,3,(woman*) AND womanist,1914
977,4,(woman*) AND womanist,1914
1239,1,(woman*) AND womanist,1915
1176,2,(woman*) AND womanist,1915
1084,3,(woman*) AND womanist,1915
1154,4,(woman*) AND womanist,1915
867,1,(woman*) AND womanist,1916
870,2,(woman*) AND womanist,1916
804,3,(woman*) AND womanist,1916
