hits,quarter,term,year
1041,1,(women*) AND equalist,1900
1156,2,(women*) AND equalist,1900
1122,3,(women*) AND equalist,1900
1104,4,(women*) AND equalist,1900
1095,1,(women*) AND equalist,1901
1166,2,(women*) AND equalist,1901
1117,3,(women*) AND equalist,1901
1107,4,(women*) AND equalist,1901
1018,1,(women*) AND equalist,1902
1066,2,(women*) AND equalist,1902
1034,3,(women*) AND equalist,1902
1046,4,(women*) AND equalist,1902
1128,1,(women*) AND equalist,1903
1186,2,(women*) AND equalist,1903
1246,3,(women*) AND equalist,1903
1114,4,(women*) AND equalist,1903
1050,1,(women*) AND equalist,1904
1036,2,(women*) AND equalist,1904
986,3,(women*) AND equalist,1904
819,4,(women*) AND equalist,1904
851,1,(women*) AND equalist,1905
890,2,(women*) AND equalist,1905
860,3,(women*) AND equalist,1905
953,4,(women*) AND equalist,1905
889,1,(women*) AND equalist,1906
1031,2,(women*) AND equalist,1906
981,3,(women*) AND equalist,1906
1011,4,(women*) AND equalist,1906
1052,1,(women*) AND equalist,1907
1083,2,(women*) AND equalist,1907
1123,3,(women*) AND equalist,1907
979,4,(women*) AND equalist,1907
1078,1,(women*) AND equalist,1908
1230,2,(women*) AND equalist,1908
1175,3,(women*) AND equalist,1908
1184,4,(women*) AND equalist,1908
1405,1,(women*) AND equalist,1909
1242,2,(women*) AND equalist,1909
1219,3,(women*) AND equalist,1909
1415,4,(women*) AND equalist,1909
1433,1,(women*) AND equalist,1910
1392,2,(women*) AND equalist,1910
1300,3,(women*) AND equalist,1910
1160,4,(women*) AND equalist,1910
1263,1,(women*) AND equalist,1911
1207,2,(women*) AND equalist,1911
1310,3,(women*) AND equalist,1911
1465,4,(women*) AND equalist,1911
1530,1,(women*) AND equalist,1912
1785,2,(women*) AND equalist,1912
1445,3,(women*) AND equalist,1912
1608,4,(women*) AND equalist,1912
1737,1,(women*) AND equalist,1913
1713,2,(women*) AND equalist,1913
1430,3,(women*) AND equalist,1913
1748,4,(women*) AND equalist,1913
1614,1,(women*) AND equalist,1914
1743,2,(women*) AND equalist,1914
1544,3,(women*) AND equalist,1914
1456,4,(women*) AND equalist,1914
1740,1,(women*) AND equalist,1915
1796,2,(women*) AND equalist,1915
1525,3,(women*) AND equalist,1915
1573,4,(women*) AND equalist,1915
1423,1,(women*) AND equalist,1916
1519,2,(women*) AND equalist,1916
1385,3,(women*) AND equalist,1916
1223,4,(women*) AND equalist,1916
