hits,quarter,term,year
0,1,(women*) AND feminist movement NOT black,1900
0,2,(women*) AND feminist movement NOT black,1900
0,3,(women*) AND feminist movement NOT black,1900
0,4,(women*) AND feminist movement NOT black,1900
0,1,(women*) AND feminist movement NOT black,1901
0,2,(women*) AND feminist movement NOT black,1901
0,3,(women*) AND feminist movement NOT black,1901
0,4,(women*) AND feminist movement NOT black,1901
0,1,(women*) AND feminist movement NOT black,1902
0,2,(women*) AND feminist movement NOT black,1902
0,3,(women*) AND feminist movement NOT black,1902
0,4,(women*) AND feminist movement NOT black,1902
0,1,(women*) AND feminist movement NOT black,1903
0,2,(women*) AND feminist movement NOT black,1903
0,3,(women*) AND feminist movement NOT black,1903
0,4,(women*) AND feminist movement NOT black,1903
0,1,(women*) AND feminist movement NOT black,1904
0,2,(women*) AND feminist movement NOT black,1904
0,3,(women*) AND feminist movement NOT black,1904
0,4,(women*) AND feminist movement NOT black,1904
0,1,(women*) AND feminist movement NOT black,1905
0,2,(women*) AND feminist movement NOT black,1905
0,3,(women*) AND feminist movement NOT black,1905
0,4,(women*) AND feminist movement NOT black,1905
0,1,(women*) AND feminist movement NOT black,1906
0,2,(women*) AND feminist movement NOT black,1906
0,3,(women*) AND feminist movement NOT black,1906
0,4,(women*) AND feminist movement NOT black,1906
0,1,(women*) AND feminist movement NOT black,1907
0,2,(women*) AND feminist movement NOT black,1907
0,3,(women*) AND feminist movement NOT black,1907
0,4,(women*) AND feminist movement NOT black,1907
0,1,(women*) AND feminist movement NOT black,1908
0,2,(women*) AND feminist movement NOT black,1908
0,3,(women*) AND feminist movement NOT black,1908
0,4,(women*) AND feminist movement NOT black,1908
0,1,(women*) AND feminist movement NOT black,1909
0,2,(women*) AND feminist movement NOT black,1909
0,3,(women*) AND feminist movement NOT black,1909
0,4,(women*) AND feminist movement NOT black,1909
0,1,(women*) AND feminist movement NOT black,1910
0,2,(women*) AND feminist movement NOT black,1910
0,3,(women*) AND feminist movement NOT black,1910
0,4,(women*) AND feminist movement NOT black,1910
0,1,(women*) AND feminist movement NOT black,1911
0,2,(women*) AND feminist movement NOT black,1911
0,3,(women*) AND feminist movement NOT black,1911
0,4,(women*) AND feminist movement NOT black,1911
2,1,(women*) AND feminist movement NOT black,1912
0,2,(women*) AND feminist movement NOT black,1912
0,3,(women*) AND feminist movement NOT black,1912
1,4,(women*) AND feminist movement NOT black,1912
0,1,(women*) AND feminist movement NOT black,1913
0,2,(women*) AND feminist movement NOT black,1913
0,3,(women*) AND feminist movement NOT black,1913
0,4,(women*) AND feminist movement NOT black,1913
3,1,(women*) AND feminist movement NOT black,1914
2,2,(women*) AND feminist movement NOT black,1914
0,3,(women*) AND feminist movement NOT black,1914
1,4,(women*) AND feminist movement NOT black,1914
0,1,(women*) AND feminist movement NOT black,1915
2,2,(women*) AND feminist movement NOT black,1915
2,3,(women*) AND feminist movement NOT black,1915
1,4,(women*) AND feminist movement NOT black,1915
0,1,(women*) AND feminist movement NOT black,1916
1,2,(women*) AND feminist movement NOT black,1916
1,3,(women*) AND feminist movement NOT black,1916
0,4,(women*) AND feminist movement NOT black,1916
0,1,(women*) AND feminist movement NOT black,1917
0,2,(women*) AND feminist movement NOT black,1917
0,3,(women*) AND feminist movement NOT black,1917
0,4,(women*) AND feminist movement NOT black,1917
1,1,(women*) AND feminist movement NOT black,1918
0,2,(women*) AND feminist movement NOT black,1918
0,3,(women*) AND feminist movement NOT black,1918
0,4,(women*) AND feminist movement NOT black,1918
0,1,(women*) AND feminist movement NOT black,1919
1,2,(women*) AND feminist movement NOT black,1919
0,3,(women*) AND feminist movement NOT black,1919
0,4,(women*) AND feminist movement NOT black,1919
0,1,(women*) AND feminist movement NOT black,1920
1,2,(women*) AND feminist movement NOT black,1920
1,3,(women*) AND feminist movement NOT black,1920
0,4,(women*) AND feminist movement NOT black,1920
0,1,(women*) AND feminist movement NOT black,1921
1,2,(women*) AND feminist movement NOT black,1921
0,3,(women*) AND feminist movement NOT black,1921
0,4,(women*) AND feminist movement NOT black,1921
0,1,(women*) AND feminist movement NOT black,1922
0,2,(women*) AND feminist movement NOT black,1922
1,3,(women*) AND feminist movement NOT black,1922
0,4,(women*) AND feminist movement NOT black,1922
0,1,(women*) AND feminist movement NOT black,1923
0,2,(women*) AND feminist movement NOT black,1923
3,3,(women*) AND feminist movement NOT black,1923
2,4,(women*) AND feminist movement NOT black,1923
0,1,(women*) AND feminist movement NOT black,1924
0,2,(women*) AND feminist movement NOT black,1924
1,3,(women*) AND feminist movement NOT black,1924
0,4,(women*) AND feminist movement NOT black,1924
0,1,(women*) AND feminist movement NOT black,1925
0,2,(women*) AND feminist movement NOT black,1925
1,3,(women*) AND feminist movement NOT black,1925
0,4,(women*) AND feminist movement NOT black,1925
1,1,(women*) AND feminist movement NOT black,1926
1,2,(women*) AND feminist movement NOT black,1926
2,3,(women*) AND feminist movement NOT black,1926
0,4,(women*) AND feminist movement NOT black,1926
1,1,(women*) AND feminist movement NOT black,1927
0,2,(women*) AND feminist movement NOT black,1927
1,3,(women*) AND feminist movement NOT black,1927
3,4,(women*) AND feminist movement NOT black,1927
0,1,(women*) AND feminist movement NOT black,1928
1,2,(women*) AND feminist movement NOT black,1928
0,3,(women*) AND feminist movement NOT black,1928
0,4,(women*) AND feminist movement NOT black,1928
0,1,(women*) AND feminist movement NOT black,1929
0,2,(women*) AND feminist movement NOT black,1929
0,3,(women*) AND feminist movement NOT black,1929
0,4,(women*) AND feminist movement NOT black,1929
0,1,(women*) AND feminist movement NOT black,1930
0,2,(women*) AND feminist movement NOT black,1930
1,3,(women*) AND feminist movement NOT black,1930
0,4,(women*) AND feminist movement NOT black,1930
1,1,(women*) AND feminist movement NOT black,1931
1,2,(women*) AND feminist movement NOT black,1931
0,3,(women*) AND feminist movement NOT black,1931
0,4,(women*) AND feminist movement NOT black,1931
0,1,(women*) AND feminist movement NOT black,1932
0,2,(women*) AND feminist movement NOT black,1932
0,3,(women*) AND feminist movement NOT black,1932
1,4,(women*) AND feminist movement NOT black,1932
0,1,(women*) AND feminist movement NOT black,1933
0,2,(women*) AND feminist movement NOT black,1933
0,3,(women*) AND feminist movement NOT black,1933
0,4,(women*) AND feminist movement NOT black,1933
1,1,(women*) AND feminist movement NOT black,1934
0,2,(women*) AND feminist movement NOT black,1934
0,3,(women*) AND feminist movement NOT black,1934
0,4,(women*) AND feminist movement NOT black,1934
0,1,(women*) AND feminist movement NOT black,1935
0,2,(women*) AND feminist movement NOT black,1935
2,3,(women*) AND feminist movement NOT black,1935
0,4,(women*) AND feminist movement NOT black,1935
0,1,(women*) AND feminist movement NOT black,1936
0,2,(women*) AND feminist movement NOT black,1936
0,3,(women*) AND feminist movement NOT black,1936
0,4,(women*) AND feminist movement NOT black,1936
0,1,(women*) AND feminist movement NOT black,1937
0,2,(women*) AND feminist movement NOT black,1937
1,3,(women*) AND feminist movement NOT black,1937
0,4,(women*) AND feminist movement NOT black,1937
0,1,(women*) AND feminist movement NOT black,1938
0,2,(women*) AND feminist movement NOT black,1938
0,3,(women*) AND feminist movement NOT black,1938
0,4,(women*) AND feminist movement NOT black,1938
0,1,(women*) AND feminist movement NOT black,1939
0,2,(women*) AND feminist movement NOT black,1939
0,3,(women*) AND feminist movement NOT black,1939
1,4,(women*) AND feminist movement NOT black,1939
0,1,(women*) AND feminist movement NOT black,1940
0,2,(women*) AND feminist movement NOT black,1940
0,3,(women*) AND feminist movement NOT black,1940
0,4,(women*) AND feminist movement NOT black,1940
0,1,(women*) AND feminist movement NOT black,1941
0,2,(women*) AND feminist movement NOT black,1941
0,3,(women*) AND feminist movement NOT black,1941
0,4,(women*) AND feminist movement NOT black,1941
0,1,(women*) AND feminist movement NOT black,1942
0,2,(women*) AND feminist movement NOT black,1942
0,3,(women*) AND feminist movement NOT black,1942
0,4,(women*) AND feminist movement NOT black,1942
0,1,(women*) AND feminist movement NOT black,1943
0,2,(women*) AND feminist movement NOT black,1943
