hits,quarter,term,year
0,1,(women*) AND feminist,1900
1,2,(women*) AND feminist,1900
0,3,(women*) AND feminist,1900
0,4,(women*) AND feminist,1900
1,1,(women*) AND feminist,1901
0,2,(women*) AND feminist,1901
0,3,(women*) AND feminist,1901
0,4,(women*) AND feminist,1901
2,1,(women*) AND feminist,1902
0,2,(women*) AND feminist,1902
0,3,(women*) AND feminist,1902
0,4,(women*) AND feminist,1902
0,1,(women*) AND feminist,1903
0,2,(women*) AND feminist,1903
0,3,(women*) AND feminist,1903
0,4,(women*) AND feminist,1903
0,1,(women*) AND feminist,1904
1,2,(women*) AND feminist,1904
1,3,(women*) AND feminist,1904
1,4,(women*) AND feminist,1904
1,1,(women*) AND feminist,1905
1,2,(women*) AND feminist,1905
1,3,(women*) AND feminist,1905
2,4,(women*) AND feminist,1905
1,1,(women*) AND feminist,1906
0,2,(women*) AND feminist,1906
1,3,(women*) AND feminist,1906
0,4,(women*) AND feminist,1906
1,1,(women*) AND feminist,1907
1,2,(women*) AND feminist,1907
2,3,(women*) AND feminist,1907
2,4,(women*) AND feminist,1907
0,1,(women*) AND feminist,1908
2,2,(women*) AND feminist,1908
1,3,(women*) AND feminist,1908
7,4,(women*) AND feminist,1908
5,1,(women*) AND feminist,1909
7,2,(women*) AND feminist,1909
4,3,(women*) AND feminist,1909
2,4,(women*) AND feminist,1909
1,1,(women*) AND feminist,1910
6,2,(women*) AND feminist,1910
5,3,(women*) AND feminist,1910
2,4,(women*) AND feminist,1910
4,1,(women*) AND feminist,1911
2,2,(women*) AND feminist,1911
5,3,(women*) AND feminist,1911
12,4,(women*) AND feminist,1911
11,1,(women*) AND feminist,1912
6,2,(women*) AND feminist,1912
8,3,(women*) AND feminist,1912
14,4,(women*) AND feminist,1912
15,1,(women*) AND feminist,1913
16,2,(women*) AND feminist,1913
10,3,(women*) AND feminist,1913
26,4,(women*) AND feminist,1913
42,1,(women*) AND feminist,1914
43,2,(women*) AND feminist,1914
5,3,(women*) AND feminist,1914
12,4,(women*) AND feminist,1914
20,1,(women*) AND feminist,1915
11,2,(women*) AND feminist,1915
12,3,(women*) AND feminist,1915
9,4,(women*) AND feminist,1915
6,1,(women*) AND feminist,1916
7,2,(women*) AND feminist,1916
12,3,(women*) AND feminist,1916
7,4,(women*) AND feminist,1916
3,1,(women*) AND feminist,1917
7,2,(women*) AND feminist,1917
6,3,(women*) AND feminist,1917
10,4,(women*) AND feminist,1917
11,1,(women*) AND feminist,1918
8,2,(women*) AND feminist,1918
6,3,(women*) AND feminist,1918
2,4,(women*) AND feminist,1918
1,1,(women*) AND feminist,1919
12,2,(women*) AND feminist,1919
1,3,(women*) AND feminist,1919
7,4,(women*) AND feminist,1919
8,1,(women*) AND feminist,1920
12,2,(women*) AND feminist,1920
14,3,(women*) AND feminist,1920
11,4,(women*) AND feminist,1920
9,1,(women*) AND feminist,1921
13,2,(women*) AND feminist,1921
4,3,(women*) AND feminist,1921
8,4,(women*) AND feminist,1921
6,1,(women*) AND feminist,1922
17,2,(women*) AND feminist,1922
9,3,(women*) AND feminist,1922
9,4,(women*) AND feminist,1922
16,1,(women*) AND feminist,1923
14,2,(women*) AND feminist,1923
13,3,(women*) AND feminist,1923
12,4,(women*) AND feminist,1923
14,1,(women*) AND feminist,1924
9,2,(women*) AND feminist,1924
11,3,(women*) AND feminist,1924
13,4,(women*) AND feminist,1924
13,1,(women*) AND feminist,1925
13,2,(women*) AND feminist,1925
11,3,(women*) AND feminist,1925
15,4,(women*) AND feminist,1925
17,1,(women*) AND feminist,1926
21,2,(women*) AND feminist,1926
17,3,(women*) AND feminist,1926
12,4,(women*) AND feminist,1926
15,1,(women*) AND feminist,1927
15,2,(women*) AND feminist,1927
31,3,(women*) AND feminist,1927
18,4,(women*) AND feminist,1927
22,1,(women*) AND feminist,1928
27,2,(women*) AND feminist,1928
25,3,(women*) AND feminist,1928
22,4,(women*) AND feminist,1928
14,1,(women*) AND feminist,1929
17,2,(women*) AND feminist,1929
22,3,(women*) AND feminist,1929
5,4,(women*) AND feminist,1929
18,1,(women*) AND feminist,1930
22,2,(women*) AND feminist,1930
13,3,(women*) AND feminist,1930
13,4,(women*) AND feminist,1930
18,1,(women*) AND feminist,1931
16,2,(women*) AND feminist,1931
12,3,(women*) AND feminist,1931
11,4,(women*) AND feminist,1931
11,1,(women*) AND feminist,1932
13,2,(women*) AND feminist,1932
9,3,(women*) AND feminist,1932
15,4,(women*) AND feminist,1932
16,1,(women*) AND feminist,1933
10,2,(women*) AND feminist,1933
15,3,(women*) AND feminist,1933
20,4,(women*) AND feminist,1933
16,1,(women*) AND feminist,1934
8,2,(women*) AND feminist,1934
14,3,(women*) AND feminist,1934
13,4,(women*) AND feminist,1934
5,1,(women*) AND feminist,1935
12,2,(women*) AND feminist,1935
16,3,(women*) AND feminist,1935
11,4,(women*) AND feminist,1935
17,1,(women*) AND feminist,1936
20,2,(women*) AND feminist,1936
4,3,(women*) AND feminist,1936
18,4,(women*) AND feminist,1936
15,1,(women*) AND feminist,1937
10,2,(women*) AND feminist,1937
6,3,(women*) AND feminist,1937
17,4,(women*) AND feminist,1937
8,1,(women*) AND feminist,1938
5,2,(women*) AND feminist,1938
7,3,(women*) AND feminist,1938
15,4,(women*) AND feminist,1938
16,1,(women*) AND feminist,1939
11,2,(women*) AND feminist,1939
7,3,(women*) AND feminist,1939
12,4,(women*) AND feminist,1939
9,1,(women*) AND feminist,1940
8,2,(women*) AND feminist,1940
5,3,(women*) AND feminist,1940
5,4,(women*) AND feminist,1940
6,1,(women*) AND feminist,1941
7,2,(women*) AND feminist,1941
5,3,(women*) AND feminist,1941
8,4,(women*) AND feminist,1941
4,1,(women*) AND feminist,1942
8,2,(women*) AND feminist,1942
9,3,(women*) AND feminist,1942
6,4,(women*) AND feminist,1942
9,1,(women*) AND feminist,1943
3,2,(women*) AND feminist,1943
3,3,(women*) AND feminist,1943
8,4,(women*) AND feminist,1943
6,1,(women*) AND feminist,1944
10,2,(women*) AND feminist,1944
5,3,(women*) AND feminist,1944
5,4,(women*) AND feminist,1944
4,1,(women*) AND feminist,1945
3,2,(women*) AND feminist,1945
1,3,(women*) AND feminist,1945
5,4,(women*) AND feminist,1945
2,1,(women*) AND feminist,1946
6,2,(women*) AND feminist,1946
3,3,(women*) AND feminist,1946
2,4,(women*) AND feminist,1946
8,1,(women*) AND feminist,1947
5,2,(women*) AND feminist,1947
3,3,(women*) AND feminist,1947
0,4,(women*) AND feminist,1947
7,1,(women*) AND feminist,1948
3,2,(women*) AND feminist,1948
6,3,(women*) AND feminist,1948
1,4,(women*) AND feminist,1948
8,1,(women*) AND feminist,1949
5,2,(women*) AND feminist,1949
4,3,(women*) AND feminist,1949
10,4,(women*) AND feminist,1949
5,1,(women*) AND feminist,1950
1,2,(women*) AND feminist,1950
3,3,(women*) AND feminist,1950
4,4,(women*) AND feminist,1950
6,1,(women*) AND feminist,1951
3,2,(women*) AND feminist,1951
8,3,(women*) AND feminist,1951
4,4,(women*) AND feminist,1951
4,1,(women*) AND feminist,1952
6,2,(women*) AND feminist,1952
6,3,(women*) AND feminist,1952
3,4,(women*) AND feminist,1952
7,1,(women*) AND feminist,1953
2,2,(women*) AND feminist,1953
9,3,(women*) AND feminist,1953
2,4,(women*) AND feminist,1953
6,1,(women*) AND feminist,1954
4,2,(women*) AND feminist,1954
7,3,(women*) AND feminist,1954
2,4,(women*) AND feminist,1954
4,1,(women*) AND feminist,1955
1,2,(women*) AND feminist,1955
3,3,(women*) AND feminist,1955
3,4,(women*) AND feminist,1955
6,1,(women*) AND feminist,1956
2,2,(women*) AND feminist,1956
5,3,(women*) AND feminist,1956
5,4,(women*) AND feminist,1956
7,1,(women*) AND feminist,1957
5,2,(women*) AND feminist,1957
4,3,(women*) AND feminist,1957
6,4,(women*) AND feminist,1957
4,1,(women*) AND feminist,1958
4,2,(women*) AND feminist,1958
1,3,(women*) AND feminist,1958
2,4,(women*) AND feminist,1958
4,1,(women*) AND feminist,1959
6,2,(women*) AND feminist,1959
1,3,(women*) AND feminist,1959
4,4,(women*) AND feminist,1959
4,1,(women*) AND feminist,1960
2,2,(women*) AND feminist,1960
7,3,(women*) AND feminist,1960
5,4,(women*) AND feminist,1960
4,1,(women*) AND feminist,1961
3,2,(women*) AND feminist,1961
2,3,(women*) AND feminist,1961
2,4,(women*) AND feminist,1961
4,1,(women*) AND feminist,1962
1,2,(women*) AND feminist,1962
4,3,(women*) AND feminist,1962
4,4,(women*) AND feminist,1962
3,1,(women*) AND feminist,1963
1,2,(women*) AND feminist,1963
4,3,(women*) AND feminist,1963
3,4,(women*) AND feminist,1963
52,1,(women*) AND feminist,1964
25,2,(women*) AND feminist,1964
37,3,(women*) AND feminist,1964
42,4,(women*) AND feminist,1964
2,1,(women*) AND feminist,1965
4,2,(women*) AND feminist,1965
3,3,(women*) AND feminist,1965
4,4,(women*) AND feminist,1965
5,1,(women*) AND feminist,1966
3,2,(women*) AND feminist,1966
6,3,(women*) AND feminist,1966
2,4,(women*) AND feminist,1966
4,1,(women*) AND feminist,1967
1,2,(women*) AND feminist,1967
2,3,(women*) AND feminist,1967
3,4,(women*) AND feminist,1967
6,1,(women*) AND feminist,1968
1,2,(women*) AND feminist,1968
3,3,(women*) AND feminist,1968
2,4,(women*) AND feminist,1968
7,1,(women*) AND feminist,1969
9,2,(women*) AND feminist,1969
7,3,(women*) AND feminist,1969
8,4,(women*) AND feminist,1969
49,1,(women*) AND feminist,1970
54,2,(women*) AND feminist,1970
63,3,(women*) AND feminist,1970
52,4,(women*) AND feminist,1970
65,1,(women*) AND feminist,1971
54,2,(women*) AND feminist,1971
60,3,(women*) AND feminist,1971
72,4,(women*) AND feminist,1971
115,1,(women*) AND feminist,1972
88,2,(women*) AND feminist,1972
92,3,(women*) AND feminist,1972
101,4,(women*) AND feminist,1972
137,1,(women*) AND feminist,1973
118,2,(women*) AND feminist,1973
85,3,(women*) AND feminist,1973
93,4,(women*) AND feminist,1973
119,1,(women*) AND feminist,1974
114,2,(women*) AND feminist,1974
101,3,(women*) AND feminist,1974
111,4,(women*) AND feminist,1974
125,1,(women*) AND feminist,1975
150,2,(women*) AND feminist,1975
119,3,(women*) AND feminist,1975
165,4,(women*) AND feminist,1975
109,1,(women*) AND feminist,1976
100,2,(women*) AND feminist,1976
134,3,(women*) AND feminist,1976
112,4,(women*) AND feminist,1976
128,1,(women*) AND feminist,1977
155,2,(women*) AND feminist,1977
150,3,(women*) AND feminist,1977
205,4,(women*) AND feminist,1977
180,1,(women*) AND feminist,1978
173,2,(women*) AND feminist,1978
52,3,(women*) AND feminist,1978
73,4,(women*) AND feminist,1978
131,1,(women*) AND feminist,1979
134,2,(women*) AND feminist,1979
148,3,(women*) AND feminist,1979
170,4,(women*) AND feminist,1979
83,1,(women*) AND feminist,1980
66,2,(women*) AND feminist,1980
84,3,(women*) AND feminist,1980
97,4,(women*) AND feminist,1980
171,1,(women*) AND feminist,1981
142,2,(women*) AND feminist,1981
132,3,(women*) AND feminist,1981
149,4,(women*) AND feminist,1981
110,1,(women*) AND feminist,1982
