hits,quarter,term,year
0,1,(women*) AND gender equality,1900
0,2,(women*) AND gender equality,1900
0,3,(women*) AND gender equality,1900
0,4,(women*) AND gender equality,1900
0,1,(women*) AND gender equality,1901
0,2,(women*) AND gender equality,1901
0,3,(women*) AND gender equality,1901
0,4,(women*) AND gender equality,1901
0,1,(women*) AND gender equality,1902
0,2,(women*) AND gender equality,1902
0,3,(women*) AND gender equality,1902
0,4,(women*) AND gender equality,1902
0,1,(women*) AND gender equality,1903
0,2,(women*) AND gender equality,1903
0,3,(women*) AND gender equality,1903
0,4,(women*) AND gender equality,1903
0,1,(women*) AND gender equality,1904
0,2,(women*) AND gender equality,1904
0,3,(women*) AND gender equality,1904
0,4,(women*) AND gender equality,1904
0,1,(women*) AND gender equality,1905
0,2,(women*) AND gender equality,1905
0,3,(women*) AND gender equality,1905
0,4,(women*) AND gender equality,1905
0,1,(women*) AND gender equality,1906
0,2,(women*) AND gender equality,1906
0,3,(women*) AND gender equality,1906
0,4,(women*) AND gender equality,1906
0,1,(women*) AND gender equality,1907
0,2,(women*) AND gender equality,1907
1,3,(women*) AND gender equality,1907
0,4,(women*) AND gender equality,1907
0,1,(women*) AND gender equality,1908
0,2,(women*) AND gender equality,1908
0,3,(women*) AND gender equality,1908
0,4,(women*) AND gender equality,1908
0,1,(women*) AND gender equality,1909
0,2,(women*) AND gender equality,1909
0,3,(women*) AND gender equality,1909
0,4,(women*) AND gender equality,1909
0,1,(women*) AND gender equality,1910
0,2,(women*) AND gender equality,1910
0,3,(women*) AND gender equality,1910
0,4,(women*) AND gender equality,1910
0,1,(women*) AND gender equality,1911
0,2,(women*) AND gender equality,1911
0,3,(women*) AND gender equality,1911
0,4,(women*) AND gender equality,1911
0,1,(women*) AND gender equality,1912
0,2,(women*) AND gender equality,1912
0,3,(women*) AND gender equality,1912
0,4,(women*) AND gender equality,1912
0,1,(women*) AND gender equality,1913
0,2,(women*) AND gender equality,1913
0,3,(women*) AND gender equality,1913
0,4,(women*) AND gender equality,1913
0,1,(women*) AND gender equality,1914
0,2,(women*) AND gender equality,1914
0,3,(women*) AND gender equality,1914
0,4,(women*) AND gender equality,1914
0,1,(women*) AND gender equality,1915
0,2,(women*) AND gender equality,1915
0,3,(women*) AND gender equality,1915
0,4,(women*) AND gender equality,1915
0,1,(women*) AND gender equality,1916
0,2,(women*) AND gender equality,1916
