hits,quarter,term,year
0,1,(women*) AND gender justice,1900
0,2,(women*) AND gender justice,1900
0,3,(women*) AND gender justice,1900
0,4,(women*) AND gender justice,1900
0,1,(women*) AND gender justice,1901
0,2,(women*) AND gender justice,1901
0,3,(women*) AND gender justice,1901
0,4,(women*) AND gender justice,1901
0,1,(women*) AND gender justice,1902
0,2,(women*) AND gender justice,1902
0,3,(women*) AND gender justice,1902
0,4,(women*) AND gender justice,1902
0,1,(women*) AND gender justice,1903
0,2,(women*) AND gender justice,1903
0,3,(women*) AND gender justice,1903
0,4,(women*) AND gender justice,1903
0,1,(women*) AND gender justice,1904
0,2,(women*) AND gender justice,1904
0,3,(women*) AND gender justice,1904
0,4,(women*) AND gender justice,1904
0,1,(women*) AND gender justice,1905
0,2,(women*) AND gender justice,1905
0,3,(women*) AND gender justice,1905
0,4,(women*) AND gender justice,1905
0,1,(women*) AND gender justice,1906
0,2,(women*) AND gender justice,1906
0,3,(women*) AND gender justice,1906
0,4,(women*) AND gender justice,1906
0,1,(women*) AND gender justice,1907
0,2,(women*) AND gender justice,1907
0,3,(women*) AND gender justice,1907
0,4,(women*) AND gender justice,1907
0,1,(women*) AND gender justice,1908
0,2,(women*) AND gender justice,1908
0,3,(women*) AND gender justice,1908
0,4,(women*) AND gender justice,1908
0,1,(women*) AND gender justice,1909
0,2,(women*) AND gender justice,1909
0,3,(women*) AND gender justice,1909
0,4,(women*) AND gender justice,1909
0,1,(women*) AND gender justice,1910
0,2,(women*) AND gender justice,1910
0,3,(women*) AND gender justice,1910
0,4,(women*) AND gender justice,1910
0,1,(women*) AND gender justice,1911
1,2,(women*) AND gender justice,1911
0,3,(women*) AND gender justice,1911
0,4,(women*) AND gender justice,1911
0,1,(women*) AND gender justice,1912
0,2,(women*) AND gender justice,1912
0,3,(women*) AND gender justice,1912
0,4,(women*) AND gender justice,1912
0,1,(women*) AND gender justice,1913
0,2,(women*) AND gender justice,1913
1,3,(women*) AND gender justice,1913
0,4,(women*) AND gender justice,1913
0,1,(women*) AND gender justice,1914
0,2,(women*) AND gender justice,1914
0,3,(women*) AND gender justice,1914
0,4,(women*) AND gender justice,1914
1,1,(women*) AND gender justice,1915
0,2,(women*) AND gender justice,1915
0,3,(women*) AND gender justice,1915
0,4,(women*) AND gender justice,1915
0,1,(women*) AND gender justice,1916
0,2,(women*) AND gender justice,1916
0,3,(women*) AND gender justice,1916
1,4,(women*) AND gender justice,1916
0,1,(women*) AND gender justice,1917
0,2,(women*) AND gender justice,1917
0,3,(women*) AND gender justice,1917
0,4,(women*) AND gender justice,1917
0,1,(women*) AND gender justice,1918
0,2,(women*) AND gender justice,1918
0,3,(women*) AND gender justice,1918
0,4,(women*) AND gender justice,1918
0,1,(women*) AND gender justice,1919
1,2,(women*) AND gender justice,1919
0,3,(women*) AND gender justice,1919
0,4,(women*) AND gender justice,1919
0,1,(women*) AND gender justice,1920
0,2,(women*) AND gender justice,1920
0,3,(women*) AND gender justice,1920
0,4,(women*) AND gender justice,1920
0,1,(women*) AND gender justice,1921
0,2,(women*) AND gender justice,1921
0,3,(women*) AND gender justice,1921
1,4,(women*) AND gender justice,1921
0,1,(women*) AND gender justice,1922
1,2,(women*) AND gender justice,1922
0,3,(women*) AND gender justice,1922
2,4,(women*) AND gender justice,1922
0,1,(women*) AND gender justice,1923
0,2,(women*) AND gender justice,1923
0,3,(women*) AND gender justice,1923
0,4,(women*) AND gender justice,1923
0,1,(women*) AND gender justice,1924
0,2,(women*) AND gender justice,1924
0,3,(women*) AND gender justice,1924
0,4,(women*) AND gender justice,1924
1,1,(women*) AND gender justice,1925
0,2,(women*) AND gender justice,1925
0,3,(women*) AND gender justice,1925
0,4,(women*) AND gender justice,1925
2,1,(women*) AND gender justice,1926
0,2,(women*) AND gender justice,1926
0,3,(women*) AND gender justice,1926
0,4,(women*) AND gender justice,1926
0,1,(women*) AND gender justice,1927
0,2,(women*) AND gender justice,1927
0,3,(women*) AND gender justice,1927
0,4,(women*) AND gender justice,1927
1,1,(women*) AND gender justice,1928
0,2,(women*) AND gender justice,1928
0,3,(women*) AND gender justice,1928
0,4,(women*) AND gender justice,1928
1,1,(women*) AND gender justice,1929
0,2,(women*) AND gender justice,1929
1,3,(women*) AND gender justice,1929
1,4,(women*) AND gender justice,1929
0,1,(women*) AND gender justice,1930
0,2,(women*) AND gender justice,1930
0,3,(women*) AND gender justice,1930
0,4,(women*) AND gender justice,1930
0,1,(women*) AND gender justice,1931
1,2,(women*) AND gender justice,1931
1,3,(women*) AND gender justice,1931
0,4,(women*) AND gender justice,1931
0,1,(women*) AND gender justice,1932
0,2,(women*) AND gender justice,1932
0,3,(women*) AND gender justice,1932
0,4,(women*) AND gender justice,1932
0,1,(women*) AND gender justice,1933
0,2,(women*) AND gender justice,1933
1,3,(women*) AND gender justice,1933
0,4,(women*) AND gender justice,1933
0,1,(women*) AND gender justice,1934
0,2,(women*) AND gender justice,1934
0,3,(women*) AND gender justice,1934
0,4,(women*) AND gender justice,1934
0,1,(women*) AND gender justice,1935
1,2,(women*) AND gender justice,1935
0,3,(women*) AND gender justice,1935
0,4,(women*) AND gender justice,1935
0,1,(women*) AND gender justice,1936
0,2,(women*) AND gender justice,1936
2,3,(women*) AND gender justice,1936
0,4,(women*) AND gender justice,1936
0,1,(women*) AND gender justice,1937
0,2,(women*) AND gender justice,1937
0,3,(women*) AND gender justice,1937
0,4,(women*) AND gender justice,1937
1,1,(women*) AND gender justice,1938
0,2,(women*) AND gender justice,1938
0,3,(women*) AND gender justice,1938
0,4,(women*) AND gender justice,1938
0,1,(women*) AND gender justice,1939
0,2,(women*) AND gender justice,1939
0,3,(women*) AND gender justice,1939
1,4,(women*) AND gender justice,1939
1,1,(women*) AND gender justice,1940
0,2,(women*) AND gender justice,1940
0,3,(women*) AND gender justice,1940
1,4,(women*) AND gender justice,1940
0,1,(women*) AND gender justice,1941
0,2,(women*) AND gender justice,1941
0,3,(women*) AND gender justice,1941
0,4,(women*) AND gender justice,1941
0,1,(women*) AND gender justice,1942
0,2,(women*) AND gender justice,1942
0,3,(women*) AND gender justice,1942
0,4,(women*) AND gender justice,1942
0,1,(women*) AND gender justice,1943
0,2,(women*) AND gender justice,1943
0,3,(women*) AND gender justice,1943
0,4,(women*) AND gender justice,1943
0,1,(women*) AND gender justice,1944
0,2,(women*) AND gender justice,1944
0,3,(women*) AND gender justice,1944
0,4,(women*) AND gender justice,1944
1,1,(women*) AND gender justice,1945
0,2,(women*) AND gender justice,1945
1,3,(women*) AND gender justice,1945
0,4,(women*) AND gender justice,1945
1,1,(women*) AND gender justice,1946
1,2,(women*) AND gender justice,1946
0,3,(women*) AND gender justice,1946
0,4,(women*) AND gender justice,1946
0,1,(women*) AND gender justice,1947
0,2,(women*) AND gender justice,1947
0,3,(women*) AND gender justice,1947
0,4,(women*) AND gender justice,1947
0,1,(women*) AND gender justice,1948
0,2,(women*) AND gender justice,1948
0,3,(women*) AND gender justice,1948
1,4,(women*) AND gender justice,1948
0,1,(women*) AND gender justice,1949
1,2,(women*) AND gender justice,1949
0,3,(women*) AND gender justice,1949
0,4,(women*) AND gender justice,1949
0,1,(women*) AND gender justice,1950
0,2,(women*) AND gender justice,1950
1,3,(women*) AND gender justice,1950
1,4,(women*) AND gender justice,1950
1,1,(women*) AND gender justice,1951
0,2,(women*) AND gender justice,1951
0,3,(women*) AND gender justice,1951
0,4,(women*) AND gender justice,1951
1,1,(women*) AND gender justice,1952
0,2,(women*) AND gender justice,1952
0,3,(women*) AND gender justice,1952
0,4,(women*) AND gender justice,1952
1,1,(women*) AND gender justice,1953
