hits,quarter,term,year
0,1,(women*) AND intersectional feminism,1900
0,2,(women*) AND intersectional feminism,1900
1,3,(women*) AND intersectional feminism,1900
1,4,(women*) AND intersectional feminism,1900
0,1,(women*) AND intersectional feminism,1901
0,2,(women*) AND intersectional feminism,1901
0,3,(women*) AND intersectional feminism,1901
1,4,(women*) AND intersectional feminism,1901
1,1,(women*) AND intersectional feminism,1902
0,2,(women*) AND intersectional feminism,1902
0,3,(women*) AND intersectional feminism,1902
1,4,(women*) AND intersectional feminism,1902
0,1,(women*) AND intersectional feminism,1903
1,2,(women*) AND intersectional feminism,1903
0,3,(women*) AND intersectional feminism,1903
0,4,(women*) AND intersectional feminism,1903
0,1,(women*) AND intersectional feminism,1904
0,2,(women*) AND intersectional feminism,1904
1,3,(women*) AND intersectional feminism,1904
1,4,(women*) AND intersectional feminism,1904
0,1,(women*) AND intersectional feminism,1905
0,2,(women*) AND intersectional feminism,1905
0,3,(women*) AND intersectional feminism,1905
1,4,(women*) AND intersectional feminism,1905
1,1,(women*) AND intersectional feminism,1906
0,2,(women*) AND intersectional feminism,1906
0,3,(women*) AND intersectional feminism,1906
1,4,(women*) AND intersectional feminism,1906
1,1,(women*) AND intersectional feminism,1907
0,2,(women*) AND intersectional feminism,1907
0,3,(women*) AND intersectional feminism,1907
0,4,(women*) AND intersectional feminism,1907
0,1,(women*) AND intersectional feminism,1908
0,2,(women*) AND intersectional feminism,1908
0,3,(women*) AND intersectional feminism,1908
0,4,(women*) AND intersectional feminism,1908
1,1,(women*) AND intersectional feminism,1909
0,2,(women*) AND intersectional feminism,1909
1,3,(women*) AND intersectional feminism,1909
1,4,(women*) AND intersectional feminism,1909
0,1,(women*) AND intersectional feminism,1910
1,2,(women*) AND intersectional feminism,1910
0,3,(women*) AND intersectional feminism,1910
2,4,(women*) AND intersectional feminism,1910
3,1,(women*) AND intersectional feminism,1911
2,2,(women*) AND intersectional feminism,1911
3,3,(women*) AND intersectional feminism,1911
6,4,(women*) AND intersectional feminism,1911
5,1,(women*) AND intersectional feminism,1912
4,2,(women*) AND intersectional feminism,1912
0,3,(women*) AND intersectional feminism,1912
2,4,(women*) AND intersectional feminism,1912
3,1,(women*) AND intersectional feminism,1913
4,2,(women*) AND intersectional feminism,1913
5,3,(women*) AND intersectional feminism,1913
13,4,(women*) AND intersectional feminism,1913
21,1,(women*) AND intersectional feminism,1914
31,2,(women*) AND intersectional feminism,1914
4,3,(women*) AND intersectional feminism,1914
2,4,(women*) AND intersectional feminism,1914
9,1,(women*) AND intersectional feminism,1915
7,2,(women*) AND intersectional feminism,1915
15,3,(women*) AND intersectional feminism,1915
9,4,(women*) AND intersectional feminism,1915
5,1,(women*) AND intersectional feminism,1916
11,2,(women*) AND intersectional feminism,1916
5,3,(women*) AND intersectional feminism,1916
4,4,(women*) AND intersectional feminism,1916
2,1,(women*) AND intersectional feminism,1917
2,2,(women*) AND intersectional feminism,1917
3,3,(women*) AND intersectional feminism,1917
12,4,(women*) AND intersectional feminism,1917
6,1,(women*) AND intersectional feminism,1918
2,2,(women*) AND intersectional feminism,1918
6,3,(women*) AND intersectional feminism,1918
0,4,(women*) AND intersectional feminism,1918
2,1,(women*) AND intersectional feminism,1919
6,2,(women*) AND intersectional feminism,1919
0,3,(women*) AND intersectional feminism,1919
3,4,(women*) AND intersectional feminism,1919
5,1,(women*) AND intersectional feminism,1920
1,2,(women*) AND intersectional feminism,1920
1,3,(women*) AND intersectional feminism,1920
4,4,(women*) AND intersectional feminism,1920
4,1,(women*) AND intersectional feminism,1921
4,2,(women*) AND intersectional feminism,1921
1,3,(women*) AND intersectional feminism,1921
4,4,(women*) AND intersectional feminism,1921
2,1,(women*) AND intersectional feminism,1922
1,2,(women*) AND intersectional feminism,1922
3,3,(women*) AND intersectional feminism,1922
8,4,(women*) AND intersectional feminism,1922
9,1,(women*) AND intersectional feminism,1923
4,2,(women*) AND intersectional feminism,1923
5,3,(women*) AND intersectional feminism,1923
11,4,(women*) AND intersectional feminism,1923
5,1,(women*) AND intersectional feminism,1924
5,2,(women*) AND intersectional feminism,1924
4,3,(women*) AND intersectional feminism,1924
6,4,(women*) AND intersectional feminism,1924
7,1,(women*) AND intersectional feminism,1925
2,2,(women*) AND intersectional feminism,1925
4,3,(women*) AND intersectional feminism,1925
10,4,(women*) AND intersectional feminism,1925
5,1,(women*) AND intersectional feminism,1926
9,2,(women*) AND intersectional feminism,1926
1,3,(women*) AND intersectional feminism,1926
7,4,(women*) AND intersectional feminism,1926
6,1,(women*) AND intersectional feminism,1927
6,2,(women*) AND intersectional feminism,1927
5,3,(women*) AND intersectional feminism,1927
7,4,(women*) AND intersectional feminism,1927
5,1,(women*) AND intersectional feminism,1928
5,2,(women*) AND intersectional feminism,1928
6,3,(women*) AND intersectional feminism,1928
4,4,(women*) AND intersectional feminism,1928
2,1,(women*) AND intersectional feminism,1929
7,2,(women*) AND intersectional feminism,1929
1,3,(women*) AND intersectional feminism,1929
2,4,(women*) AND intersectional feminism,1929
8,1,(women*) AND intersectional feminism,1930
9,2,(women*) AND intersectional feminism,1930
2,3,(women*) AND intersectional feminism,1930
1,4,(women*) AND intersectional feminism,1930
2,1,(women*) AND intersectional feminism,1931
4,2,(women*) AND intersectional feminism,1931
3,3,(women*) AND intersectional feminism,1931
4,4,(women*) AND intersectional feminism,1931
3,1,(women*) AND intersectional feminism,1932
1,2,(women*) AND intersectional feminism,1932
5,3,(women*) AND intersectional feminism,1932
4,4,(women*) AND intersectional feminism,1932
3,1,(women*) AND intersectional feminism,1933
5,2,(women*) AND intersectional feminism,1933
7,3,(women*) AND intersectional feminism,1933
5,4,(women*) AND intersectional feminism,1933
3,1,(women*) AND intersectional feminism,1934
1,2,(women*) AND intersectional feminism,1934
3,3,(women*) AND intersectional feminism,1934
8,4,(women*) AND intersectional feminism,1934
4,1,(women*) AND intersectional feminism,1935
4,2,(women*) AND intersectional feminism,1935
5,3,(women*) AND intersectional feminism,1935
1,4,(women*) AND intersectional feminism,1935
2,1,(women*) AND intersectional feminism,1936
0,2,(women*) AND intersectional feminism,1936
1,3,(women*) AND intersectional feminism,1936
2,4,(women*) AND intersectional feminism,1936
1,1,(women*) AND intersectional feminism,1937
2,2,(women*) AND intersectional feminism,1937
1,3,(women*) AND intersectional feminism,1937
3,4,(women*) AND intersectional feminism,1937
3,1,(women*) AND intersectional feminism,1938
0,2,(women*) AND intersectional feminism,1938
0,3,(women*) AND intersectional feminism,1938
0,4,(women*) AND intersectional feminism,1938
3,1,(women*) AND intersectional feminism,1939
1,2,(women*) AND intersectional feminism,1939
0,3,(women*) AND intersectional feminism,1939
0,4,(women*) AND intersectional feminism,1939
0,1,(women*) AND intersectional feminism,1940
3,2,(women*) AND intersectional feminism,1940
2,3,(women*) AND intersectional feminism,1940
0,4,(women*) AND intersectional feminism,1940
0,1,(women*) AND intersectional feminism,1941
1,2,(women*) AND intersectional feminism,1941
1,3,(women*) AND intersectional feminism,1941
1,4,(women*) AND intersectional feminism,1941
0,1,(women*) AND intersectional feminism,1942
0,2,(women*) AND intersectional feminism,1942
0,3,(women*) AND intersectional feminism,1942
0,4,(women*) AND intersectional feminism,1942
1,1,(women*) AND intersectional feminism,1943
0,2,(women*) AND intersectional feminism,1943
0,3,(women*) AND intersectional feminism,1943
0,4,(women*) AND intersectional feminism,1943
2,1,(women*) AND intersectional feminism,1944
1,2,(women*) AND intersectional feminism,1944
1,3,(women*) AND intersectional feminism,1944
0,4,(women*) AND intersectional feminism,1944
2,1,(women*) AND intersectional feminism,1945
0,2,(women*) AND intersectional feminism,1945
0,3,(women*) AND intersectional feminism,1945
2,4,(women*) AND intersectional feminism,1945
1,1,(women*) AND intersectional feminism,1946
0,2,(women*) AND intersectional feminism,1946
0,3,(women*) AND intersectional feminism,1946
0,4,(women*) AND intersectional feminism,1946
0,1,(women*) AND intersectional feminism,1947
1,2,(women*) AND intersectional feminism,1947
0,3,(women*) AND intersectional feminism,1947
1,4,(women*) AND intersectional feminism,1947
1,1,(women*) AND intersectional feminism,1948
1,2,(women*) AND intersectional feminism,1948
0,3,(women*) AND intersectional feminism,1948
1,4,(women*) AND intersectional feminism,1948
0,1,(women*) AND intersectional feminism,1949
2,2,(women*) AND intersectional feminism,1949
1,3,(women*) AND intersectional feminism,1949
0,4,(women*) AND intersectional feminism,1949
1,1,(women*) AND intersectional feminism,1950
1,2,(women*) AND intersectional feminism,1950
0,3,(women*) AND intersectional feminism,1950
0,4,(women*) AND intersectional feminism,1950
1,1,(women*) AND intersectional feminism,1951
1,2,(women*) AND intersectional feminism,1951
0,3,(women*) AND intersectional feminism,1951
0,4,(women*) AND intersectional feminism,1951
0,1,(women*) AND intersectional feminism,1952
0,2,(women*) AND intersectional feminism,1952
0,3,(women*) AND intersectional feminism,1952
4,4,(women*) AND intersectional feminism,1952
0,1,(women*) AND intersectional feminism,1953
0,2,(women*) AND intersectional feminism,1953
2,3,(women*) AND intersectional feminism,1953
0,4,(women*) AND intersectional feminism,1953
0,1,(women*) AND intersectional feminism,1954
0,2,(women*) AND intersectional feminism,1954
0,3,(women*) AND intersectional feminism,1954
0,4,(women*) AND intersectional feminism,1954
0,1,(women*) AND intersectional feminism,1955
0,2,(women*) AND intersectional feminism,1955
1,3,(women*) AND intersectional feminism,1955
0,4,(women*) AND intersectional feminism,1955
0,1,(women*) AND intersectional feminism,1956
0,2,(women*) AND intersectional feminism,1956
1,3,(women*) AND intersectional feminism,1956
2,4,(women*) AND intersectional feminism,1956
0,1,(women*) AND intersectional feminism,1957
1,2,(women*) AND intersectional feminism,1957
0,3,(women*) AND intersectional feminism,1957
0,4,(women*) AND intersectional feminism,1957
0,1,(women*) AND intersectional feminism,1958
0,2,(women*) AND intersectional feminism,1958
1,3,(women*) AND intersectional feminism,1958
0,4,(women*) AND intersectional feminism,1958
0,1,(women*) AND intersectional feminism,1959
0,2,(women*) AND intersectional feminism,1959
0,3,(women*) AND intersectional feminism,1959
0,4,(women*) AND intersectional feminism,1959
1,1,(women*) AND intersectional feminism,1960
0,2,(women*) AND intersectional feminism,1960
1,3,(women*) AND intersectional feminism,1960
0,4,(women*) AND intersectional feminism,1960
1,1,(women*) AND intersectional feminism,1961
1,2,(women*) AND intersectional feminism,1961
1,3,(women*) AND intersectional feminism,1961
0,4,(women*) AND intersectional feminism,1961
0,1,(women*) AND intersectional feminism,1962
0,2,(women*) AND intersectional feminism,1962
1,3,(women*) AND intersectional feminism,1962
0,4,(women*) AND intersectional feminism,1962
0,1,(women*) AND intersectional feminism,1963
0,2,(women*) AND intersectional feminism,1963
1,3,(women*) AND intersectional feminism,1963
1,4,(women*) AND intersectional feminism,1963
0,1,(women*) AND intersectional feminism,1964
1,2,(women*) AND intersectional feminism,1964
1,3,(women*) AND intersectional feminism,1964
0,4,(women*) AND intersectional feminism,1964
4,1,(women*) AND intersectional feminism,1965
0,2,(women*) AND intersectional feminism,1965
1,3,(women*) AND intersectional feminism,1965
0,4,(women*) AND intersectional feminism,1965
2,1,(women*) AND intersectional feminism,1966
0,2,(women*) AND intersectional feminism,1966
0,3,(women*) AND intersectional feminism,1966
0,4,(women*) AND intersectional feminism,1966
0,1,(women*) AND intersectional feminism,1967
0,2,(women*) AND intersectional feminism,1967
0,3,(women*) AND intersectional feminism,1967
2,4,(women*) AND intersectional feminism,1967
3,1,(women*) AND intersectional feminism,1968
0,2,(women*) AND intersectional feminism,1968
1,3,(women*) AND intersectional feminism,1968
1,4,(women*) AND intersectional feminism,1968
1,1,(women*) AND intersectional feminism,1969
0,2,(women*) AND intersectional feminism,1969
1,3,(women*) AND intersectional feminism,1969
1,4,(women*) AND intersectional feminism,1969
0,1,(women*) AND intersectional feminism,1970
1,2,(women*) AND intersectional feminism,1970
0,3,(women*) AND intersectional feminism,1970
0,4,(women*) AND intersectional feminism,1970
1,1,(women*) AND intersectional feminism,1971
0,2,(women*) AND intersectional feminism,1971
1,3,(women*) AND intersectional feminism,1971
3,4,(women*) AND intersectional feminism,1971
3,1,(women*) AND intersectional feminism,1972
3,2,(women*) AND intersectional feminism,1972
1,3,(women*) AND intersectional feminism,1972
1,4,(women*) AND intersectional feminism,1972
6,1,(women*) AND intersectional feminism,1973
1,2,(women*) AND intersectional feminism,1973
0,3,(women*) AND intersectional feminism,1973
5,4,(women*) AND intersectional feminism,1973
3,1,(women*) AND intersectional feminism,1974
3,2,(women*) AND intersectional feminism,1974
1,3,(women*) AND intersectional feminism,1974
1,4,(women*) AND intersectional feminism,1974
3,1,(women*) AND intersectional feminism,1975
4,2,(women*) AND intersectional feminism,1975
6,3,(women*) AND intersectional feminism,1975
6,4,(women*) AND intersectional feminism,1975
1,1,(women*) AND intersectional feminism,1976
5,2,(women*) AND intersectional feminism,1976
4,3,(women*) AND intersectional feminism,1976
4,4,(women*) AND intersectional feminism,1976
2,1,(women*) AND intersectional feminism,1977
2,2,(women*) AND intersectional feminism,1977
4,3,(women*) AND intersectional feminism,1977
9,4,(women*) AND intersectional feminism,1977
6,1,(women*) AND intersectional feminism,1978
9,2,(women*) AND intersectional feminism,1978
0,3,(women*) AND intersectional feminism,1978
1,4,(women*) AND intersectional feminism,1978
4,1,(women*) AND intersectional feminism,1979
3,2,(women*) AND intersectional feminism,1979
5,3,(women*) AND intersectional feminism,1979
5,4,(women*) AND intersectional feminism,1979
20,1,(women*) AND intersectional feminism,1980
18,2,(women*) AND intersectional feminism,1980
20,3,(women*) AND intersectional feminism,1980
31,4,(women*) AND intersectional feminism,1980
5,1,(women*) AND intersectional feminism,1981
5,2,(women*) AND intersectional feminism,1981
2,3,(women*) AND intersectional feminism,1981
4,4,(women*) AND intersectional feminism,1981
3,1,(women*) AND intersectional feminism,1982
