hits,quarter,term,year
0,1,(women*) AND intersectional feminist,1900
0,2,(women*) AND intersectional feminist,1900
0,3,(women*) AND intersectional feminist,1900
0,4,(women*) AND intersectional feminist,1900
0,1,(women*) AND intersectional feminist,1901
0,2,(women*) AND intersectional feminist,1901
0,3,(women*) AND intersectional feminist,1901
0,4,(women*) AND intersectional feminist,1901
0,1,(women*) AND intersectional feminist,1902
0,2,(women*) AND intersectional feminist,1902
0,3,(women*) AND intersectional feminist,1902
0,4,(women*) AND intersectional feminist,1902
0,1,(women*) AND intersectional feminist,1903
0,2,(women*) AND intersectional feminist,1903
0,3,(women*) AND intersectional feminist,1903
0,4,(women*) AND intersectional feminist,1903
0,1,(women*) AND intersectional feminist,1904
0,2,(women*) AND intersectional feminist,1904
1,3,(women*) AND intersectional feminist,1904
1,4,(women*) AND intersectional feminist,1904
0,1,(women*) AND intersectional feminist,1905
0,2,(women*) AND intersectional feminist,1905
0,3,(women*) AND intersectional feminist,1905
0,4,(women*) AND intersectional feminist,1905
0,1,(women*) AND intersectional feminist,1906
0,2,(women*) AND intersectional feminist,1906
0,3,(women*) AND intersectional feminist,1906
0,4,(women*) AND intersectional feminist,1906
0,1,(women*) AND intersectional feminist,1907
0,2,(women*) AND intersectional feminist,1907
0,3,(women*) AND intersectional feminist,1907
2,4,(women*) AND intersectional feminist,1907
0,1,(women*) AND intersectional feminist,1908
1,2,(women*) AND intersectional feminist,1908
0,3,(women*) AND intersectional feminist,1908
3,4,(women*) AND intersectional feminist,1908
3,1,(women*) AND intersectional feminist,1909
2,2,(women*) AND intersectional feminist,1909
1,3,(women*) AND intersectional feminist,1909
1,4,(women*) AND intersectional feminist,1909
1,1,(women*) AND intersectional feminist,1910
5,2,(women*) AND intersectional feminist,1910
4,3,(women*) AND intersectional feminist,1910
0,4,(women*) AND intersectional feminist,1910
3,1,(women*) AND intersectional feminist,1911
2,2,(women*) AND intersectional feminist,1911
3,3,(women*) AND intersectional feminist,1911
9,4,(women*) AND intersectional feminist,1911
10,1,(women*) AND intersectional feminist,1912
2,2,(women*) AND intersectional feminist,1912
5,3,(women*) AND intersectional feminist,1912
14,4,(women*) AND intersectional feminist,1912
13,1,(women*) AND intersectional feminist,1913
14,2,(women*) AND intersectional feminist,1913
9,3,(women*) AND intersectional feminist,1913
24,4,(women*) AND intersectional feminist,1913
27,1,(women*) AND intersectional feminist,1914
33,2,(women*) AND intersectional feminist,1914
4,3,(women*) AND intersectional feminist,1914
10,4,(women*) AND intersectional feminist,1914
18,1,(women*) AND intersectional feminist,1915
10,2,(women*) AND intersectional feminist,1915
10,3,(women*) AND intersectional feminist,1915
6,4,(women*) AND intersectional feminist,1915
4,1,(women*) AND intersectional feminist,1916
6,2,(women*) AND intersectional feminist,1916
12,3,(women*) AND intersectional feminist,1916
6,4,(women*) AND intersectional feminist,1916
1,1,(women*) AND intersectional feminist,1917
7,2,(women*) AND intersectional feminist,1917
4,3,(women*) AND intersectional feminist,1917
9,4,(women*) AND intersectional feminist,1917
6,1,(women*) AND intersectional feminist,1918
4,2,(women*) AND intersectional feminist,1918
4,3,(women*) AND intersectional feminist,1918
2,4,(women*) AND intersectional feminist,1918
1,1,(women*) AND intersectional feminist,1919
10,2,(women*) AND intersectional feminist,1919
1,3,(women*) AND intersectional feminist,1919
6,4,(women*) AND intersectional feminist,1919
5,1,(women*) AND intersectional feminist,1920
7,2,(women*) AND intersectional feminist,1920
9,3,(women*) AND intersectional feminist,1920
10,4,(women*) AND intersectional feminist,1920
7,1,(women*) AND intersectional feminist,1921
9,2,(women*) AND intersectional feminist,1921
3,3,(women*) AND intersectional feminist,1921
7,4,(women*) AND intersectional feminist,1921
6,1,(women*) AND intersectional feminist,1922
13,2,(women*) AND intersectional feminist,1922
7,3,(women*) AND intersectional feminist,1922
6,4,(women*) AND intersectional feminist,1922
11,1,(women*) AND intersectional feminist,1923
11,2,(women*) AND intersectional feminist,1923
12,3,(women*) AND intersectional feminist,1923
8,4,(women*) AND intersectional feminist,1923
9,1,(women*) AND intersectional feminist,1924
6,2,(women*) AND intersectional feminist,1924
7,3,(women*) AND intersectional feminist,1924
11,4,(women*) AND intersectional feminist,1924
