hits,quarter,term,year
1187,1,(women*) AND womanism,1900
1254,2,(women*) AND womanism,1900
1271,3,(women*) AND womanism,1900
1261,4,(women*) AND womanism,1900
1228,1,(women*) AND womanism,1901
1308,2,(women*) AND womanism,1901
1237,3,(women*) AND womanism,1901
1224,4,(women*) AND womanism,1901
1104,1,(women*) AND womanism,1902
1158,2,(women*) AND womanism,1902
1169,3,(women*) AND womanism,1902
1160,4,(women*) AND womanism,1902
1244,1,(women*) AND womanism,1903
1299,2,(women*) AND womanism,1903
1425,3,(women*) AND womanism,1903
1242,4,(women*) AND womanism,1903
1164,1,(women*) AND womanism,1904
1226,2,(women*) AND womanism,1904
1183,3,(women*) AND womanism,1904
969,4,(women*) AND womanism,1904
975,1,(women*) AND womanism,1905
1040,2,(women*) AND womanism,1905
1018,3,(women*) AND womanism,1905
1091,4,(women*) AND womanism,1905
1001,1,(women*) AND womanism,1906
1128,2,(women*) AND womanism,1906
1101,3,(women*) AND womanism,1906
1173,4,(women*) AND womanism,1906
1169,1,(women*) AND womanism,1907
1228,2,(women*) AND womanism,1907
1345,3,(women*) AND womanism,1907
1179,4,(women*) AND womanism,1907
1202,1,(women*) AND womanism,1908
1374,2,(women*) AND womanism,1908
1382,3,(women*) AND womanism,1908
1342,4,(women*) AND womanism,1908
1538,1,(women*) AND womanism,1909
1397,2,(women*) AND womanism,1909
1404,3,(women*) AND womanism,1909
1618,4,(women*) AND womanism,1909
1579,1,(women*) AND womanism,1910
1553,2,(women*) AND womanism,1910
1469,3,(women*) AND womanism,1910
1290,4,(women*) AND womanism,1910
1380,1,(women*) AND womanism,1911
1347,2,(women*) AND womanism,1911
1497,3,(women*) AND womanism,1911
1648,4,(women*) AND womanism,1911
1689,1,(women*) AND womanism,1912
1939,2,(women*) AND womanism,1912
1607,3,(women*) AND womanism,1912
1739,4,(women*) AND womanism,1912
1847,1,(women*) AND womanism,1913
1850,2,(women*) AND womanism,1913
1585,3,(women*) AND womanism,1913
1899,4,(women*) AND womanism,1913
1770,1,(women*) AND womanism,1914
1881,2,(women*) AND womanism,1914
1685,3,(women*) AND womanism,1914
1562,4,(women*) AND womanism,1914
1859,1,(women*) AND womanism,1915
1922,2,(women*) AND womanism,1915
1670,3,(women*) AND womanism,1915
1696,4,(women*) AND womanism,1915
1524,1,(women*) AND womanism,1916
1621,2,(women*) AND womanism,1916
1479,3,(women*) AND womanism,1916
1282,4,(women*) AND womanism,1916
1518,1,(women*) AND womanism,1917
1586,2,(women*) AND womanism,1917
1380,3,(women*) AND womanism,1917
1706,4,(women*) AND womanism,1917
1608,1,(women*) AND womanism,1918
1844,2,(women*) AND womanism,1918
1514,3,(women*) AND womanism,1918
1202,4,(women*) AND womanism,1918
1385,1,(women*) AND womanism,1919
1522,2,(women*) AND womanism,1919
1465,3,(women*) AND womanism,1919
1544,4,(women*) AND womanism,1919
1641,1,(women*) AND womanism,1920
1899,2,(women*) AND womanism,1920
1889,3,(women*) AND womanism,1920
1795,4,(women*) AND womanism,1920
1859,1,(women*) AND womanism,1921
2077,2,(women*) AND womanism,1921
2088,3,(women*) AND womanism,1921
2055,4,(women*) AND womanism,1921
2060,1,(women*) AND womanism,1922
2362,2,(women*) AND womanism,1922
2261,3,(women*) AND womanism,1922
2178,4,(women*) AND womanism,1922
2120,1,(women*) AND womanism,1923
2237,2,(women*) AND womanism,1923
1956,3,(women*) AND womanism,1923
1865,4,(women*) AND womanism,1923
1973,1,(women*) AND womanism,1924
2255,2,(women*) AND womanism,1924
2014,3,(women*) AND womanism,1924
1932,4,(women*) AND womanism,1924
2258,1,(women*) AND womanism,1925
2489,2,(women*) AND womanism,1925
2207,3,(women*) AND womanism,1925
2235,4,(women*) AND womanism,1925
2495,1,(women*) AND womanism,1926
2716,2,(women*) AND womanism,1926
2556,3,(women*) AND womanism,1926
2661,4,(women*) AND womanism,1926
2542,1,(women*) AND womanism,1927
2694,2,(women*) AND womanism,1927
2585,3,(women*) AND womanism,1927
2489,4,(women*) AND womanism,1927
2938,1,(women*) AND womanism,1928
3110,2,(women*) AND womanism,1928
3116,3,(women*) AND womanism,1928
2912,4,(women*) AND womanism,1928
2637,1,(women*) AND womanism,1929
2774,2,(women*) AND womanism,1929
2615,3,(women*) AND womanism,1929
2712,4,(women*) AND womanism,1929
3217,1,(women*) AND womanism,1930
3327,2,(women*) AND womanism,1930
2902,3,(women*) AND womanism,1930
3045,4,(women*) AND womanism,1930
3183,1,(women*) AND womanism,1931
