hits,quarter,term,year
1,1,(women*) AND women's empowerment,1900
0,2,(women*) AND women's empowerment,1900
0,3,(women*) AND women's empowerment,1900
0,4,(women*) AND women's empowerment,1900
0,1,(women*) AND women's empowerment,1901
1,2,(women*) AND women's empowerment,1901
0,3,(women*) AND women's empowerment,1901
1,4,(women*) AND women's empowerment,1901
0,1,(women*) AND women's empowerment,1902
0,2,(women*) AND women's empowerment,1902
1,3,(women*) AND women's empowerment,1902
0,4,(women*) AND women's empowerment,1902
1,1,(women*) AND women's empowerment,1903
0,2,(women*) AND women's empowerment,1903
1,3,(women*) AND women's empowerment,1903
1,4,(women*) AND women's empowerment,1903
0,1,(women*) AND women's empowerment,1904
0,2,(women*) AND women's empowerment,1904
2,3,(women*) AND women's empowerment,1904
0,4,(women*) AND women's empowerment,1904
0,1,(women*) AND women's empowerment,1905
2,2,(women*) AND women's empowerment,1905
1,3,(women*) AND women's empowerment,1905
0,4,(women*) AND women's empowerment,1905
0,1,(women*) AND women's empowerment,1906
0,2,(women*) AND women's empowerment,1906
0,3,(women*) AND women's empowerment,1906
1,4,(women*) AND women's empowerment,1906
0,1,(women*) AND women's empowerment,1907
1,2,(women*) AND women's empowerment,1907
4,3,(women*) AND women's empowerment,1907
2,4,(women*) AND women's empowerment,1907
0,1,(women*) AND women's empowerment,1908
0,2,(women*) AND women's empowerment,1908
0,3,(women*) AND women's empowerment,1908
1,4,(women*) AND women's empowerment,1908
1,1,(women*) AND women's empowerment,1909
4,2,(women*) AND women's empowerment,1909
3,3,(women*) AND women's empowerment,1909
5,4,(women*) AND women's empowerment,1909
3,1,(women*) AND women's empowerment,1910
1,2,(women*) AND women's empowerment,1910
1,3,(women*) AND women's empowerment,1910
2,4,(women*) AND women's empowerment,1910
1,1,(women*) AND women's empowerment,1911
0,2,(women*) AND women's empowerment,1911
2,3,(women*) AND women's empowerment,1911
0,4,(women*) AND women's empowerment,1911
0,1,(women*) AND women's empowerment,1912
0,2,(women*) AND women's empowerment,1912
