hits,quarter,term,year
4,1,(women*) AND women's lib*,1900
1,2,(women*) AND women's lib*,1900
3,3,(women*) AND women's lib*,1900
0,4,(women*) AND women's lib*,1900
3,1,(women*) AND women's lib*,1901
1,2,(women*) AND women's lib*,1901
1,3,(women*) AND women's lib*,1901
4,4,(women*) AND women's lib*,1901
1,1,(women*) AND women's lib*,1902
1,2,(women*) AND women's lib*,1902
2,3,(women*) AND women's lib*,1902
2,4,(women*) AND women's lib*,1902
1,1,(women*) AND women's lib*,1903
6,2,(women*) AND women's lib*,1903
1,3,(women*) AND women's lib*,1903
7,4,(women*) AND women's lib*,1903
4,1,(women*) AND women's lib*,1904
3,2,(women*) AND women's lib*,1904
3,3,(women*) AND women's lib*,1904
1,4,(women*) AND women's lib*,1904
5,1,(women*) AND women's lib*,1905
5,2,(women*) AND women's lib*,1905
4,3,(women*) AND women's lib*,1905
4,4,(women*) AND women's lib*,1905
4,1,(women*) AND women's lib*,1906
7,2,(women*) AND women's lib*,1906
1,3,(women*) AND women's lib*,1906
6,4,(women*) AND women's lib*,1906
15,1,(women*) AND women's lib*,1907
6,2,(women*) AND women's lib*,1907
3,3,(women*) AND women's lib*,1907
14,4,(women*) AND women's lib*,1907
7,1,(women*) AND women's lib*,1908
2,2,(women*) AND women's lib*,1908
5,3,(women*) AND women's lib*,1908
12,4,(women*) AND women's lib*,1908
3,1,(women*) AND women's lib*,1909
6,2,(women*) AND women's lib*,1909
9,3,(women*) AND women's lib*,1909
6,4,(women*) AND women's lib*,1909
4,1,(women*) AND women's lib*,1910
5,2,(women*) AND women's lib*,1910
1,3,(women*) AND women's lib*,1910
1,4,(women*) AND women's lib*,1910
7,1,(women*) AND women's lib*,1911
8,2,(women*) AND women's lib*,1911
7,3,(women*) AND women's lib*,1911
8,4,(women*) AND women's lib*,1911
8,1,(women*) AND women's lib*,1912
17,2,(women*) AND women's lib*,1912
10,3,(women*) AND women's lib*,1912
14,4,(women*) AND women's lib*,1912
15,1,(women*) AND women's lib*,1913
8,2,(women*) AND women's lib*,1913
4,3,(women*) AND women's lib*,1913
8,4,(women*) AND women's lib*,1913
8,1,(women*) AND women's lib*,1914
7,2,(women*) AND women's lib*,1914
2,3,(women*) AND women's lib*,1914
12,4,(women*) AND women's lib*,1914
11,1,(women*) AND women's lib*,1915
9,2,(women*) AND women's lib*,1915
5,3,(women*) AND women's lib*,1915
18,4,(women*) AND women's lib*,1915
12,1,(women*) AND women's lib*,1916
13,2,(women*) AND women's lib*,1916
9,3,(women*) AND women's lib*,1916
27,4,(women*) AND women's lib*,1916
6,1,(women*) AND women's lib*,1917
10,2,(women*) AND women's lib*,1917
10,3,(women*) AND women's lib*,1917
18,4,(women*) AND women's lib*,1917
5,1,(women*) AND women's lib*,1918
9,2,(women*) AND women's lib*,1918
8,3,(women*) AND women's lib*,1918
16,4,(women*) AND women's lib*,1918
12,1,(women*) AND women's lib*,1919
9,2,(women*) AND women's lib*,1919
8,3,(women*) AND women's lib*,1919
