hits,quarter,term,year
29,1,(women*) AND women's suffrage,1900
18,2,(women*) AND women's suffrage,1900
13,3,(women*) AND women's suffrage,1900
22,4,(women*) AND women's suffrage,1900
17,1,(women*) AND women's suffrage,1901
18,2,(women*) AND women's suffrage,1901
6,3,(women*) AND women's suffrage,1901
21,4,(women*) AND women's suffrage,1901
11,1,(women*) AND women's suffrage,1902
9,2,(women*) AND women's suffrage,1902
8,3,(women*) AND women's suffrage,1902
23,4,(women*) AND women's suffrage,1902
19,1,(women*) AND women's suffrage,1903
18,2,(women*) AND women's suffrage,1903
16,3,(women*) AND women's suffrage,1903
15,4,(women*) AND women's suffrage,1903
20,1,(women*) AND women's suffrage,1904
19,2,(women*) AND women's suffrage,1904
8,3,(women*) AND women's suffrage,1904
12,4,(women*) AND women's suffrage,1904
9,1,(women*) AND women's suffrage,1905
17,2,(women*) AND women's suffrage,1905
10,3,(women*) AND women's suffrage,1905
28,4,(women*) AND women's suffrage,1905
24,1,(women*) AND women's suffrage,1906
14,2,(women*) AND women's suffrage,1906
11,3,(women*) AND women's suffrage,1906
25,4,(women*) AND women's suffrage,1906
37,1,(women*) AND women's suffrage,1907
22,2,(women*) AND women's suffrage,1907
5,3,(women*) AND women's suffrage,1907
24,4,(women*) AND women's suffrage,1907
61,1,(women*) AND women's suffrage,1908
44,2,(women*) AND women's suffrage,1908
34,3,(women*) AND women's suffrage,1908
91,4,(women*) AND women's suffrage,1908
159,1,(women*) AND women's suffrage,1909
95,2,(women*) AND women's suffrage,1909
69,3,(women*) AND women's suffrage,1909
177,4,(women*) AND women's suffrage,1909
211,1,(women*) AND women's suffrage,1910
106,2,(women*) AND women's suffrage,1910
64,3,(women*) AND women's suffrage,1910
105,4,(women*) AND women's suffrage,1910
154,1,(women*) AND women's suffrage,1911
118,2,(women*) AND women's suffrage,1911
81,3,(women*) AND women's suffrage,1911
127,4,(women*) AND women's suffrage,1911
155,1,(women*) AND women's suffrage,1912
280,2,(women*) AND women's suffrage,1912
171,3,(women*) AND women's suffrage,1912
163,4,(women*) AND women's suffrage,1912
258,1,(women*) AND women's suffrage,1913
301,2,(women*) AND women's suffrage,1913
157,3,(women*) AND women's suffrage,1913
200,4,(women*) AND women's suffrage,1913
197,1,(women*) AND women's suffrage,1914
231,2,(women*) AND women's suffrage,1914
131,3,(women*) AND women's suffrage,1914
129,4,(women*) AND women's suffrage,1914
335,1,(women*) AND women's suffrage,1915
188,2,(women*) AND women's suffrage,1915
176,3,(women*) AND women's suffrage,1915
241,4,(women*) AND women's suffrage,1915
110,1,(women*) AND women's suffrage,1916
133,2,(women*) AND women's suffrage,1916
159,3,(women*) AND women's suffrage,1916
124,4,(women*) AND women's suffrage,1916
129,1,(women*) AND women's suffrage,1917
108,2,(women*) AND women's suffrage,1917
97,3,(women*) AND women's suffrage,1917
271,4,(women*) AND women's suffrage,1917
135,1,(women*) AND women's suffrage,1918
103,2,(women*) AND women's suffrage,1918
84,3,(women*) AND women's suffrage,1918
63,4,(women*) AND women's suffrage,1918
98,1,(women*) AND women's suffrage,1919
85,2,(women*) AND women's suffrage,1919
54,3,(women*) AND women's suffrage,1919
68,4,(women*) AND women's suffrage,1919
131,1,(women*) AND women's suffrage,1920
117,2,(women*) AND women's suffrage,1920
232,3,(women*) AND women's suffrage,1920
75,4,(women*) AND women's suffrage,1920
39,1,(women*) AND women's suffrage,1921
33,2,(women*) AND women's suffrage,1921
26,3,(women*) AND women's suffrage,1921
39,4,(women*) AND women's suffrage,1921
38,1,(women*) AND women's suffrage,1922
45,2,(women*) AND women's suffrage,1922
25,3,(women*) AND women's suffrage,1922
49,4,(women*) AND women's suffrage,1922
37,1,(women*) AND women's suffrage,1923
51,2,(women*) AND women's suffrage,1923
39,3,(women*) AND women's suffrage,1923
23,4,(women*) AND women's suffrage,1923
30,1,(women*) AND women's suffrage,1924
55,2,(women*) AND women's suffrage,1924
37,3,(women*) AND women's suffrage,1924
38,4,(women*) AND women's suffrage,1924
33,1,(women*) AND women's suffrage,1925
50,2,(women*) AND women's suffrage,1925
34,3,(women*) AND women's suffrage,1925
27,4,(women*) AND women's suffrage,1925
21,1,(women*) AND women's suffrage,1926
61,2,(women*) AND women's suffrage,1926
42,3,(women*) AND women's suffrage,1926
39,4,(women*) AND women's suffrage,1926
21,1,(women*) AND women's suffrage,1927
30,2,(women*) AND women's suffrage,1927
18,3,(women*) AND women's suffrage,1927
28,4,(women*) AND women's suffrage,1927
36,1,(women*) AND women's suffrage,1928
35,2,(women*) AND women's suffrage,1928
40,3,(women*) AND women's suffrage,1928
48,4,(women*) AND women's suffrage,1928
27,1,(women*) AND women's suffrage,1929
38,2,(women*) AND women's suffrage,1929
21,3,(women*) AND women's suffrage,1929
19,4,(women*) AND women's suffrage,1929
49,1,(women*) AND women's suffrage,1930
40,2,(women*) AND women's suffrage,1930
29,3,(women*) AND women's suffrage,1930
36,4,(women*) AND women's suffrage,1930
38,1,(women*) AND women's suffrage,1931
31,2,(women*) AND women's suffrage,1931
25,3,(women*) AND women's suffrage,1931
38,4,(women*) AND women's suffrage,1931
31,1,(women*) AND women's suffrage,1932
36,2,(women*) AND women's suffrage,1932
23,3,(women*) AND women's suffrage,1932
32,4,(women*) AND women's suffrage,1932
34,1,(women*) AND women's suffrage,1933
15,2,(women*) AND women's suffrage,1933
21,3,(women*) AND women's suffrage,1933
41,4,(women*) AND women's suffrage,1933
36,1,(women*) AND women's suffrage,1934
20,2,(women*) AND women's suffrage,1934
22,3,(women*) AND women's suffrage,1934
29,4,(women*) AND women's suffrage,1934
31,1,(women*) AND women's suffrage,1935
45,2,(women*) AND women's suffrage,1935
14,3,(women*) AND women's suffrage,1935
16,4,(women*) AND women's suffrage,1935
34,1,(women*) AND women's suffrage,1936
19,2,(women*) AND women's suffrage,1936
22,3,(women*) AND women's suffrage,1936
48,4,(women*) AND women's suffrage,1936
37,1,(women*) AND women's suffrage,1937
27,2,(women*) AND women's suffrage,1937
23,3,(women*) AND women's suffrage,1937
31,4,(women*) AND women's suffrage,1937
29,1,(women*) AND women's suffrage,1938
10,2,(women*) AND women's suffrage,1938
29,3,(women*) AND women's suffrage,1938
29,4,(women*) AND women's suffrage,1938
27,1,(women*) AND women's suffrage,1939
18,2,(women*) AND women's suffrage,1939
14,3,(women*) AND women's suffrage,1939
19,4,(women*) AND women's suffrage,1939
23,1,(women*) AND women's suffrage,1940
19,2,(women*) AND women's suffrage,1940
21,3,(women*) AND women's suffrage,1940
36,4,(women*) AND women's suffrage,1940
15,1,(women*) AND women's suffrage,1941
13,2,(women*) AND women's suffrage,1941
7,3,(women*) AND women's suffrage,1941
5,4,(women*) AND women's suffrage,1941
15,1,(women*) AND women's suffrage,1942
8,2,(women*) AND women's suffrage,1942
13,3,(women*) AND women's suffrage,1942
17,4,(women*) AND women's suffrage,1942
17,1,(women*) AND women's suffrage,1943
12,2,(women*) AND women's suffrage,1943
12,3,(women*) AND women's suffrage,1943
13,4,(women*) AND women's suffrage,1943
17,1,(women*) AND women's suffrage,1944
19,2,(women*) AND women's suffrage,1944
16,3,(women*) AND women's suffrage,1944
25,4,(women*) AND women's suffrage,1944
25,1,(women*) AND women's suffrage,1945
14,2,(women*) AND women's suffrage,1945
15,3,(women*) AND women's suffrage,1945
25,4,(women*) AND women's suffrage,1945
11,1,(women*) AND women's suffrage,1946
25,2,(women*) AND women's suffrage,1946
8,3,(women*) AND women's suffrage,1946
24,4,(women*) AND women's suffrage,1946
27,1,(women*) AND women's suffrage,1947
7,2,(women*) AND women's suffrage,1947
17,3,(women*) AND women's suffrage,1947
20,4,(women*) AND women's suffrage,1947
13,1,(women*) AND women's suffrage,1948
14,2,(women*) AND women's suffrage,1948
18,3,(women*) AND women's suffrage,1948
8,4,(women*) AND women's suffrage,1948
13,1,(women*) AND women's suffrage,1949
17,2,(women*) AND women's suffrage,1949
9,3,(women*) AND women's suffrage,1949
12,4,(women*) AND women's suffrage,1949
18,1,(women*) AND women's suffrage,1950
11,2,(women*) AND women's suffrage,1950
15,3,(women*) AND women's suffrage,1950
14,4,(women*) AND women's suffrage,1950
12,1,(women*) AND women's suffrage,1951
7,2,(women*) AND women's suffrage,1951
14,3,(women*) AND women's suffrage,1951
4,4,(women*) AND women's suffrage,1951
12,1,(women*) AND women's suffrage,1952
11,2,(women*) AND women's suffrage,1952
10,3,(women*) AND women's suffrage,1952
14,4,(women*) AND women's suffrage,1952
9,1,(women*) AND women's suffrage,1953
9,2,(women*) AND women's suffrage,1953
10,3,(women*) AND women's suffrage,1953
10,4,(women*) AND women's suffrage,1953
11,1,(women*) AND women's suffrage,1954
10,2,(women*) AND women's suffrage,1954
6,3,(women*) AND women's suffrage,1954
10,4,(women*) AND women's suffrage,1954
8,1,(women*) AND women's suffrage,1955
8,2,(women*) AND women's suffrage,1955
10,3,(women*) AND women's suffrage,1955
8,4,(women*) AND women's suffrage,1955
17,1,(women*) AND women's suffrage,1956
9,2,(women*) AND women's suffrage,1956
11,3,(women*) AND women's suffrage,1956
7,4,(women*) AND women's suffrage,1956
9,1,(women*) AND women's suffrage,1957
10,2,(women*) AND women's suffrage,1957
6,3,(women*) AND women's suffrage,1957
6,4,(women*) AND women's suffrage,1957
6,1,(women*) AND women's suffrage,1958
12,2,(women*) AND women's suffrage,1958
11,3,(women*) AND women's suffrage,1958
2,4,(women*) AND women's suffrage,1958
11,1,(women*) AND women's suffrage,1959
6,2,(women*) AND women's suffrage,1959
14,3,(women*) AND women's suffrage,1959
8,4,(women*) AND women's suffrage,1959
13,1,(women*) AND women's suffrage,1960
9,2,(women*) AND women's suffrage,1960
13,3,(women*) AND women's suffrage,1960
6,4,(women*) AND women's suffrage,1960
5,1,(women*) AND women's suffrage,1961
5,2,(women*) AND women's suffrage,1961
7,3,(women*) AND women's suffrage,1961
6,4,(women*) AND women's suffrage,1961
4,1,(women*) AND women's suffrage,1962
10,2,(women*) AND women's suffrage,1962
8,3,(women*) AND women's suffrage,1962
7,4,(women*) AND women's suffrage,1962
4,1,(women*) AND women's suffrage,1963
11,2,(women*) AND women's suffrage,1963
15,3,(women*) AND women's suffrage,1963
9,4,(women*) AND women's suffrage,1963
6,1,(women*) AND women's suffrage,1964
6,2,(women*) AND women's suffrage,1964
7,3,(women*) AND women's suffrage,1964
8,4,(women*) AND women's suffrage,1964
6,1,(women*) AND women's suffrage,1965
5,2,(women*) AND women's suffrage,1965
2,3,(women*) AND women's suffrage,1965
5,4,(women*) AND women's suffrage,1965
4,1,(women*) AND women's suffrage,1966
2,2,(women*) AND women's suffrage,1966
5,3,(women*) AND women's suffrage,1966
12,4,(women*) AND women's suffrage,1966
5,1,(women*) AND women's suffrage,1967
8,2,(women*) AND women's suffrage,1967
7,3,(women*) AND women's suffrage,1967
8,4,(women*) AND women's suffrage,1967
4,1,(women*) AND women's suffrage,1968
6,2,(women*) AND women's suffrage,1968
5,3,(women*) AND women's suffrage,1968
4,4,(women*) AND women's suffrage,1968
2,1,(women*) AND women's suffrage,1969
2,2,(women*) AND women's suffrage,1969
4,3,(women*) AND women's suffrage,1969
8,4,(women*) AND women's suffrage,1969
8,1,(women*) AND women's suffrage,1970
12,2,(women*) AND women's suffrage,1970
14,3,(women*) AND women's suffrage,1970
2,4,(women*) AND women's suffrage,1970
9,1,(women*) AND women's suffrage,1971
5,2,(women*) AND women's suffrage,1971
9,3,(women*) AND women's suffrage,1971
11,4,(women*) AND women's suffrage,1971
9,1,(women*) AND women's suffrage,1972
6,2,(women*) AND women's suffrage,1972
15,3,(women*) AND women's suffrage,1972
9,4,(women*) AND women's suffrage,1972
5,1,(women*) AND women's suffrage,1973
4,2,(women*) AND women's suffrage,1973
19,3,(women*) AND women's suffrage,1973
7,4,(women*) AND women's suffrage,1973
4,1,(women*) AND women's suffrage,1974
10,2,(women*) AND women's suffrage,1974
10,3,(women*) AND women's suffrage,1974
9,4,(women*) AND women's suffrage,1974
5,1,(women*) AND women's suffrage,1975
8,2,(women*) AND women's suffrage,1975
11,3,(women*) AND women's suffrage,1975
12,4,(women*) AND women's suffrage,1975
4,1,(women*) AND women's suffrage,1976
12,2,(women*) AND women's suffrage,1976
15,3,(women*) AND women's suffrage,1976
6,4,(women*) AND women's suffrage,1976
13,1,(women*) AND women's suffrage,1977
10,2,(women*) AND women's suffrage,1977
9,3,(women*) AND women's suffrage,1977
12,4,(women*) AND women's suffrage,1977
5,1,(women*) AND women's suffrage,1978
9,2,(women*) AND women's suffrage,1978
6,3,(women*) AND women's suffrage,1978
5,4,(women*) AND women's suffrage,1978
10,1,(women*) AND women's suffrage,1979
9,2,(women*) AND women's suffrage,1979
7,3,(women*) AND women's suffrage,1979
6,4,(women*) AND women's suffrage,1979
3,1,(women*) AND women's suffrage,1980
6,2,(women*) AND women's suffrage,1980
10,3,(women*) AND women's suffrage,1980
7,4,(women*) AND women's suffrage,1980
5,1,(women*) AND women's suffrage,1981
9,2,(women*) AND women's suffrage,1981
8,3,(women*) AND women's suffrage,1981
12,4,(women*) AND women's suffrage,1981
5,1,(women*) AND women's suffrage,1982
11,2,(women*) AND women's suffrage,1982
7,3,(women*) AND women's suffrage,1982
6,4,(women*) AND women's suffrage,1982
6,1,(women*) AND women's suffrage,1983
6,2,(women*) AND women's suffrage,1983
8,3,(women*) AND women's suffrage,1983
2,4,(women*) AND women's suffrage,1983
9,1,(women*) AND women's suffrage,1984
8,2,(women*) AND women's suffrage,1984
11,3,(women*) AND women's suffrage,1984
5,4,(women*) AND women's suffrage,1984
5,1,(women*) AND women's suffrage,1985
6,2,(women*) AND women's suffrage,1985
6,3,(women*) AND women's suffrage,1985
4,4,(women*) AND women's suffrage,1985
3,1,(women*) AND women's suffrage,1986
10,2,(women*) AND women's suffrage,1986
10,3,(women*) AND women's suffrage,1986
8,4,(women*) AND women's suffrage,1986
9,1,(women*) AND women's suffrage,1987
6,2,(women*) AND women's suffrage,1987
4,3,(women*) AND women's suffrage,1987
5,4,(women*) AND women's suffrage,1987
6,1,(women*) AND women's suffrage,1988
8,2,(women*) AND women's suffrage,1988
13,3,(women*) AND women's suffrage,1988
7,4,(women*) AND women's suffrage,1988
9,1,(women*) AND women's suffrage,1989
12,2,(women*) AND women's suffrage,1989
6,3,(women*) AND women's suffrage,1989
10,4,(women*) AND women's suffrage,1989
9,1,(women*) AND women's suffrage,1990
5,2,(women*) AND women's suffrage,1990
7,3,(women*) AND women's suffrage,1990
10,4,(women*) AND women's suffrage,1990
8,1,(women*) AND women's suffrage,1991
8,2,(women*) AND women's suffrage,1991
2,3,(women*) AND women's suffrage,1991
6,4,(women*) AND women's suffrage,1991
6,1,(women*) AND women's suffrage,1992
6,2,(women*) AND women's suffrage,1992
6,3,(women*) AND women's suffrage,1992
4,4,(women*) AND women's suffrage,1992
10,1,(women*) AND women's suffrage,1993
9,2,(women*) AND women's suffrage,1993
8,3,(women*) AND women's suffrage,1993
12,4,(women*) AND women's suffrage,1993
5,1,(women*) AND women's suffrage,1994
5,2,(women*) AND women's suffrage,1994
5,3,(women*) AND women's suffrage,1994
4,4,(women*) AND women's suffrage,1994
12,1,(women*) AND women's suffrage,1995
11,2,(women*) AND women's suffrage,1995
20,3,(women*) AND women's suffrage,1995
6,4,(women*) AND women's suffrage,1995
8,1,(women*) AND women's suffrage,1996
9,2,(women*) AND women's suffrage,1996
6,3,(women*) AND women's suffrage,1996
5,4,(women*) AND women's suffrage,1996
5,1,(women*) AND women's suffrage,1997
3,2,(women*) AND women's suffrage,1997
9,3,(women*) AND women's suffrage,1997
5,4,(women*) AND women's suffrage,1997
10,1,(women*) AND women's suffrage,1998
6,2,(women*) AND women's suffrage,1998
7,3,(women*) AND women's suffrage,1998
8,4,(women*) AND women's suffrage,1998
9,1,(women*) AND women's suffrage,1999
11,2,(women*) AND women's suffrage,1999
9,3,(women*) AND women's suffrage,1999
11,4,(women*) AND women's suffrage,1999
13,1,(women*) AND women's suffrage,2000
16,2,(women*) AND women's suffrage,2000
12,3,(women*) AND women's suffrage,2000
24,4,(women*) AND women's suffrage,2000
12,1,(women*) AND women's suffrage,2001
3,2,(women*) AND women's suffrage,2001
10,3,(women*) AND women's suffrage,2001
9,4,(women*) AND women's suffrage,2001
15,1,(women*) AND women's suffrage,2002
5,2,(women*) AND women's suffrage,2002
6,3,(women*) AND women's suffrage,2002
6,4,(women*) AND women's suffrage,2002
4,1,(women*) AND women's suffrage,2003
12,2,(women*) AND women's suffrage,2003
5,3,(women*) AND women's suffrage,2003
13,4,(women*) AND women's suffrage,2003
16,1,(women*) AND women's suffrage,2004
10,2,(women*) AND women's suffrage,2004
8,3,(women*) AND women's suffrage,2004
7,4,(women*) AND women's suffrage,2004
6,1,(women*) AND women's suffrage,2005
11,2,(women*) AND women's suffrage,2005
7,3,(women*) AND women's suffrage,2005
11,4,(women*) AND women's suffrage,2005
20,1,(women*) AND women's suffrage,2006
16,2,(women*) AND women's suffrage,2006
16,3,(women*) AND women's suffrage,2006
29,4,(women*) AND women's suffrage,2006
11,1,(women*) AND women's suffrage,2007
11,2,(women*) AND women's suffrage,2007
10,3,(women*) AND women's suffrage,2007
3,4,(women*) AND women's suffrage,2007
10,1,(women*) AND women's suffrage,2008
8,2,(women*) AND women's suffrage,2008
22,3,(women*) AND women's suffrage,2008
23,4,(women*) AND women's suffrage,2008
29,1,(women*) AND women's suffrage,2009
41,2,(women*) AND women's suffrage,2009
17,3,(women*) AND women's suffrage,2009
41,4,(women*) AND women's suffrage,2009
8,1,(women*) AND women's suffrage,2010
7,2,(women*) AND women's suffrage,2010
12,3,(women*) AND women's suffrage,2010
25,4,(women*) AND women's suffrage,2010
10,1,(women*) AND women's suffrage,2011
7,2,(women*) AND women's suffrage,2011
10,3,(women*) AND women's suffrage,2011
6,4,(women*) AND women's suffrage,2011
15,1,(women*) AND women's suffrage,2012
13,2,(women*) AND women's suffrage,2012
10,3,(women*) AND women's suffrage,2012
12,4,(women*) AND women's suffrage,2012
12,1,(women*) AND women's suffrage,2013
14,2,(women*) AND women's suffrage,2013
10,3,(women*) AND women's suffrage,2013
13,4,(women*) AND women's suffrage,2013
7,1,(women*) AND women's suffrage,2014
9,2,(women*) AND women's suffrage,2014
6,3,(women*) AND women's suffrage,2014
13,4,(women*) AND women's suffrage,2014
15,1,(women*) AND women's suffrage,2015
6,2,(women*) AND women's suffrage,2015
10,3,(women*) AND women's suffrage,2015
13,4,(women*) AND women's suffrage,2015
13,1,(women*) AND women's suffrage,2016
17,2,(women*) AND women's suffrage,2016
16,3,(women*) AND women's suffrage,2016
18,4,(women*) AND women's suffrage,2016
31,1,(women*) AND women's suffrage,2017
8,2,(women*) AND women's suffrage,2017
17,3,(women*) AND women's suffrage,2017
23,4,(women*) AND women's suffrage,2017
18,1,(women*) AND women's suffrage,2018
14,2,(women*) AND women's suffrage,2018
34,3,(women*) AND women's suffrage,2018
10,4,(women*) AND women's suffrage,2018
37,1,(women*) AND women's suffrage,2019
20,2,(women*) AND women's suffrage,2019
20,3,(women*) AND women's suffrage,2019
27,4,(women*) AND women's suffrage,2019
