hits,quarter,term,year
17640,1,,1900
16676,2,,1900
18272,3,,1900
17839,4,,1900
17333,1,,1901
17030,2,,1901
16061,3,,1901
16799,4,,1901
16526,1,,1902
16471,2,,1902
17304,3,,1902
16566,4,,1902
16580,1,,1903
16989,2,,1903
17672,3,,1903
16681,4,,1903
15104,1,,1904
15458,2,,1904
15542,3,,1904
13349,4,,1904
13706,1,,1905
15116,2,,1905
14689,3,,1905
13736,4,,1905
13398,1,,1906
13154,2,,1906
13441,3,,1906
13405,4,,1906
14495,1,,1907
15354,2,,1907
16172,3,,1907
15550,4,,1907
14504,1,,1908
14580,2,,1908
15769,3,,1908
14582,4,,1908
14249,1,,1909
14508,2,,1909
15338,3,,1909
14916,4,,1909
15631,1,,1910
17295,2,,1910
18132,3,,1910
15802,4,,1910
14937,1,,1911
15894,2,,1911
16344,3,,1911
16847,4,,1911
18658,1,,1912
17992,2,,1912
16410,3,,1912
16710,4,,1912
17573,1,,1913
17849,2,,1913
16464,3,,1913
17367,4,,1913
17721,1,,1914
18487,2,,1914
18960,3,,1914
18916,4,,1914
18206,1,,1915
19611,2,,1915
18768,3,,1915
17952,4,,1915
17242,1,,1916
16976,2,,1916
16470,3,,1916
15520,4,,1916
19334,1,,1917
18651,2,,1917
17987,3,,1917
18889,4,,1917
18991,1,,1918
19893,2,,1918
17929,3,,1918
16348,4,,1918
17612,1,,1919
19479,2,,1919
19807,3,,1919
21404,4,,1919
21910,1,,1920
22250,2,,1920
21296,3,,1920
23347,4,,1920
25144,1,,1921
26271,2,,1921
24510,3,,1921
26515,4,,1921
27318,1,,1922
27586,2,,1922
26415,3,,1922
27251,4,,1922
22441,1,,1923
21997,2,,1923
20356,3,,1923
20867,4,,1923
22097,1,,1924
22175,2,,1924
20964,3,,1924
21824,4,,1924
23987,1,,1925
24958,2,,1925
24865,3,,1925
24227,4,,1925
27458,1,,1926
30169,2,,1926
30492,3,,1926
37126,4,,1926
39108,1,,1927
40153,2,,1927
38679,3,,1927
41853,4,,1927
41815,1,,1928
41304,2,,1928
38486,3,,1928
40515,4,,1928
41703,1,,1929
41686,2,,1929
41740,3,,1929
43574,4,,1929
43316,1,,1930
44630,2,,1930
39589,3,,1930
41259,4,,1930
41106,1,,1931
43155,2,,1931
39356,3,,1931
41899,4,,1931
37771,1,,1932
34984,2,,1932
33037,3,,1932
35744,4,,1932
45354,1,,1933
41290,2,,1933
35072,3,,1933
35690,4,,1933
42047,1,,1934
43987,2,,1934
39801,3,,1934
