hits,quarter,term,year
0,1,asparagus,1900
0,2,asparagus,1900
0,3,asparagus,1900
0,4,asparagus,1900
0,1,asparagus,1901
0,2,asparagus,1901
0,3,asparagus,1901
0,4,asparagus,1901
0,1,asparagus,1902
0,2,asparagus,1902
0,3,asparagus,1902
0,4,asparagus,1902
0,1,asparagus,1903
0,2,asparagus,1903
0,3,asparagus,1903
0,4,asparagus,1903
0,1,asparagus,1904
0,2,asparagus,1904
0,3,asparagus,1904
0,4,asparagus,1904
0,1,asparagus,1905
0,2,asparagus,1905
0,3,asparagus,1905
0,4,asparagus,1905
0,1,asparagus,1906
0,2,asparagus,1906
0,3,asparagus,1906
0,4,asparagus,1906
0,1,asparagus,1907
0,2,asparagus,1907
0,3,asparagus,1907
0,4,asparagus,1907
0,1,asparagus,1908
0,2,asparagus,1908
0,3,asparagus,1908
0,4,asparagus,1908
0,1,asparagus,1909
0,2,asparagus,1909
0,3,asparagus,1909
0,4,asparagus,1909
0,1,asparagus,1910
0,2,asparagus,1910
0,3,asparagus,1910
0,4,asparagus,1910
0,1,asparagus,1911
0,2,asparagus,1911
0,3,asparagus,1911
0,4,asparagus,1911
0,1,asparagus,1912
0,2,asparagus,1912
0,3,asparagus,1912
0,4,asparagus,1912
0,1,asparagus,1913
0,2,asparagus,1913
0,3,asparagus,1913
0,4,asparagus,1913
0,1,asparagus,1914
0,2,asparagus,1914
0,3,asparagus,1914
0,4,asparagus,1914
0,1,asparagus,1915
0,2,asparagus,1915
0,3,asparagus,1915
0,4,asparagus,1915
0,1,asparagus,1916
0,2,asparagus,1916
0,3,asparagus,1916
0,4,asparagus,1916
0,1,asparagus,1917
0,2,asparagus,1917
0,3,asparagus,1917
0,4,asparagus,1917
0,1,asparagus,1918
0,2,asparagus,1918
0,3,asparagus,1918
0,4,asparagus,1918
0,1,asparagus,1919
0,2,asparagus,1919
0,3,asparagus,1919
0,4,asparagus,1919
0,1,asparagus,1920
0,2,asparagus,1920
0,3,asparagus,1920
0,4,asparagus,1920
0,1,asparagus,1921
0,2,asparagus,1921
0,3,asparagus,1921
0,4,asparagus,1921
0,1,asparagus,1922
0,2,asparagus,1922
0,3,asparagus,1922
0,4,asparagus,1922
0,1,asparagus,1923
0,2,asparagus,1923
0,3,asparagus,1923
0,4,asparagus,1923
0,1,asparagus,1924
0,2,asparagus,1924
0,3,asparagus,1924
0,4,asparagus,1924
0,1,asparagus,1925
0,2,asparagus,1925
0,3,asparagus,1925
0,4,asparagus,1925
0,1,asparagus,1926
0,2,asparagus,1926
0,3,asparagus,1926
0,4,asparagus,1926
0,1,asparagus,1927
0,2,asparagus,1927
0,3,asparagus,1927
0,4,asparagus,1927
0,1,asparagus,1928
0,2,asparagus,1928
0,3,asparagus,1928
0,4,asparagus,1928
0,1,asparagus,1929
0,2,asparagus,1929
0,3,asparagus,1929
0,4,asparagus,1929
0,1,asparagus,1930
0,2,asparagus,1930
0,3,asparagus,1930
0,4,asparagus,1930
0,1,asparagus,1931
0,2,asparagus,1931
0,3,asparagus,1931
0,4,asparagus,1931
0,1,asparagus,1932
0,2,asparagus,1932
0,3,asparagus,1932
0,4,asparagus,1932
0,1,asparagus,1933
0,2,asparagus,1933
0,3,asparagus,1933
0,4,asparagus,1933
0,1,asparagus,1934
0,2,asparagus,1934
0,3,asparagus,1934
0,4,asparagus,1934
0,1,asparagus,1935
0,2,asparagus,1935
0,3,asparagus,1935
0,4,asparagus,1935
0,1,asparagus,1936
0,2,asparagus,1936
0,3,asparagus,1936
0,4,asparagus,1936
0,1,asparagus,1937
0,2,asparagus,1937
0,3,asparagus,1937
0,4,asparagus,1937
0,1,asparagus,1938
0,2,asparagus,1938
0,3,asparagus,1938
0,4,asparagus,1938
0,1,asparagus,1939
0,2,asparagus,1939
0,3,asparagus,1939
0,4,asparagus,1939
0,1,asparagus,1940
0,2,asparagus,1940
0,3,asparagus,1940
0,4,asparagus,1940
0,1,asparagus,1941
0,2,asparagus,1941
0,3,asparagus,1941
0,4,asparagus,1941
0,1,asparagus,1942
0,2,asparagus,1942
0,3,asparagus,1942
0,4,asparagus,1942
0,1,asparagus,1943
0,2,asparagus,1943
0,3,asparagus,1943
0,4,asparagus,1943
0,1,asparagus,1944
0,2,asparagus,1944
0,3,asparagus,1944
0,4,asparagus,1944
0,1,asparagus,1945
0,2,asparagus,1945
0,3,asparagus,1945
0,4,asparagus,1945
0,1,asparagus,1946
0,2,asparagus,1946
0,3,asparagus,1946
0,4,asparagus,1946
0,1,asparagus,1947
0,2,asparagus,1947
0,3,asparagus,1947
0,4,asparagus,1947
0,1,asparagus,1948
0,2,asparagus,1948
0,3,asparagus,1948
0,4,asparagus,1948
0,1,asparagus,1949
0,2,asparagus,1949
0,3,asparagus,1949
0,4,asparagus,1949
0,1,asparagus,1950
0,2,asparagus,1950
0,3,asparagus,1950
0,4,asparagus,1950
0,1,asparagus,1951
0,2,asparagus,1951
0,3,asparagus,1951
0,4,asparagus,1951
0,1,asparagus,1952
0,2,asparagus,1952
0,3,asparagus,1952
0,4,asparagus,1952
0,1,asparagus,1953
0,2,asparagus,1953
0,3,asparagus,1953
0,4,asparagus,1953
0,1,asparagus,1954
0,2,asparagus,1954
0,3,asparagus,1954
0,4,asparagus,1954
0,1,asparagus,1955
0,2,asparagus,1955
0,3,asparagus,1955
0,4,asparagus,1955
0,1,asparagus,1956
0,2,asparagus,1956
0,3,asparagus,1956
0,4,asparagus,1956
0,1,asparagus,1957
0,2,asparagus,1957
0,3,asparagus,1957
0,4,asparagus,1957
0,1,asparagus,1958
0,2,asparagus,1958
0,3,asparagus,1958
0,4,asparagus,1958
0,1,asparagus,1959
0,2,asparagus,1959
0,3,asparagus,1959
0,4,asparagus,1959
0,1,asparagus,1960
0,2,asparagus,1960
0,3,asparagus,1960
0,4,asparagus,1960
0,1,asparagus,1961
0,2,asparagus,1961
0,3,asparagus,1961
0,4,asparagus,1961
0,1,asparagus,1962
0,2,asparagus,1962
0,3,asparagus,1962
0,4,asparagus,1962
0,1,asparagus,1963
0,2,asparagus,1963
0,3,asparagus,1963
0,4,asparagus,1963
9,1,asparagus,1964
19,2,asparagus,1964
5,3,asparagus,1964
5,4,asparagus,1964
0,1,asparagus,1965
0,2,asparagus,1965
0,3,asparagus,1965
0,4,asparagus,1965
0,1,asparagus,1966
0,2,asparagus,1966
0,3,asparagus,1966
0,4,asparagus,1966
0,1,asparagus,1967
0,2,asparagus,1967
0,3,asparagus,1967
0,4,asparagus,1967
0,1,asparagus,1968
0,2,asparagus,1968
0,3,asparagus,1968
0,4,asparagus,1968
0,1,asparagus,1969
0,2,asparagus,1969
0,3,asparagus,1969
0,4,asparagus,1969
9,1,asparagus,1970
15,2,asparagus,1970
7,3,asparagus,1970
4,4,asparagus,1970
10,1,asparagus,1971
22,2,asparagus,1971
13,3,asparagus,1971
4,4,asparagus,1971
9,1,asparagus,1972
13,2,asparagus,1972
10,3,asparagus,1972
11,4,asparagus,1972
12,1,asparagus,1973
29,2,asparagus,1973
18,3,asparagus,1973
7,4,asparagus,1973
13,1,asparagus,1974
18,2,asparagus,1974
21,3,asparagus,1974
9,4,asparagus,1974
14,1,asparagus,1975
23,2,asparagus,1975
17,3,asparagus,1975
14,4,asparagus,1975
22,1,asparagus,1976
30,2,asparagus,1976
20,3,asparagus,1976
6,4,asparagus,1976
24,1,asparagus,1977
43,2,asparagus,1977
33,3,asparagus,1977
28,4,asparagus,1977
25,1,asparagus,1978
62,2,asparagus,1978
12,3,asparagus,1978
11,4,asparagus,1978
32,1,asparagus,1979
43,2,asparagus,1979
21,3,asparagus,1979
32,4,asparagus,1979
0,1,asparagus,1980
0,2,asparagus,1980
0,3,asparagus,1980
0,4,asparagus,1980
31,1,asparagus,1981
52,2,asparagus,1981
31,3,asparagus,1981
18,4,asparagus,1981
34,1,asparagus,1982
40,2,asparagus,1982
35,3,asparagus,1982
18,4,asparagus,1982
32,1,asparagus,1983
67,2,asparagus,1983
23,3,asparagus,1983
23,4,asparagus,1983
33,1,asparagus,1984
71,2,asparagus,1984
25,3,asparagus,1984
19,4,asparagus,1984
33,1,asparagus,1985
