hits,quarter,term,year
0,1,body.search:gender justice,1900
0,2,body.search:gender justice,1900
0,3,body.search:gender justice,1900
0,4,body.search:gender justice,1900
0,1,body.search:gender justice,1901
0,2,body.search:gender justice,1901
0,3,body.search:gender justice,1901
0,4,body.search:gender justice,1901
0,1,body.search:gender justice,1902
0,2,body.search:gender justice,1902
0,3,body.search:gender justice,1902
0,4,body.search:gender justice,1902
0,1,body.search:gender justice,1903
0,2,body.search:gender justice,1903
0,3,body.search:gender justice,1903
0,4,body.search:gender justice,1903
0,1,body.search:gender justice,1904
0,2,body.search:gender justice,1904
0,3,body.search:gender justice,1904
0,4,body.search:gender justice,1904
0,1,body.search:gender justice,1905
0,2,body.search:gender justice,1905
0,3,body.search:gender justice,1905
0,4,body.search:gender justice,1905
0,1,body.search:gender justice,1906
0,2,body.search:gender justice,1906
0,3,body.search:gender justice,1906
0,4,body.search:gender justice,1906
0,1,body.search:gender justice,1907
0,2,body.search:gender justice,1907
0,3,body.search:gender justice,1907
0,4,body.search:gender justice,1907
0,1,body.search:gender justice,1908
0,2,body.search:gender justice,1908
0,3,body.search:gender justice,1908
0,4,body.search:gender justice,1908
0,1,body.search:gender justice,1909
0,2,body.search:gender justice,1909
0,3,body.search:gender justice,1909
0,4,body.search:gender justice,1909
0,1,body.search:gender justice,1910
0,2,body.search:gender justice,1910
0,3,body.search:gender justice,1910
0,4,body.search:gender justice,1910
0,1,body.search:gender justice,1911
0,2,body.search:gender justice,1911
0,3,body.search:gender justice,1911
0,4,body.search:gender justice,1911
0,1,body.search:gender justice,1912
0,2,body.search:gender justice,1912
0,3,body.search:gender justice,1912
0,4,body.search:gender justice,1912
0,1,body.search:gender justice,1913
0,2,body.search:gender justice,1913
0,3,body.search:gender justice,1913
1,4,body.search:gender justice,1913
0,1,body.search:gender justice,1914
0,2,body.search:gender justice,1914
0,3,body.search:gender justice,1914
0,4,body.search:gender justice,1914
1,1,body.search:gender justice,1915
0,2,body.search:gender justice,1915
1,3,body.search:gender justice,1915
2,4,body.search:gender justice,1915
2,1,body.search:gender justice,1916
1,2,body.search:gender justice,1916
0,3,body.search:gender justice,1916
2,4,body.search:gender justice,1916
2,1,body.search:gender justice,1917
1,2,body.search:gender justice,1917
