hits,quarter,term,year
0,1,body.search:women's lib*,1900
0,2,body.search:women's lib*,1900
0,3,body.search:women's lib*,1900
0,4,body.search:women's lib*,1900
0,1,body.search:women's lib*,1901
0,2,body.search:women's lib*,1901
0,3,body.search:women's lib*,1901
0,4,body.search:women's lib*,1901
0,1,body.search:women's lib*,1902
0,2,body.search:women's lib*,1902
0,3,body.search:women's lib*,1902
0,4,body.search:women's lib*,1902
0,1,body.search:women's lib*,1903
0,2,body.search:women's lib*,1903
0,3,body.search:women's lib*,1903
0,4,body.search:women's lib*,1903
0,1,body.search:women's lib*,1904
0,2,body.search:women's lib*,1904
0,3,body.search:women's lib*,1904
0,4,body.search:women's lib*,1904
0,1,body.search:women's lib*,1905
0,2,body.search:women's lib*,1905
0,3,body.search:women's lib*,1905
0,4,body.search:women's lib*,1905
0,1,body.search:women's lib*,1906
0,2,body.search:women's lib*,1906
0,3,body.search:women's lib*,1906
0,4,body.search:women's lib*,1906
0,1,body.search:women's lib*,1907
0,2,body.search:women's lib*,1907
0,3,body.search:women's lib*,1907
0,4,body.search:women's lib*,1907
0,1,body.search:women's lib*,1908
0,2,body.search:women's lib*,1908
0,3,body.search:women's lib*,1908
0,4,body.search:women's lib*,1908
0,1,body.search:women's lib*,1909
0,2,body.search:women's lib*,1909
0,3,body.search:women's lib*,1909
0,4,body.search:women's lib*,1909
0,1,body.search:women's lib*,1910
0,2,body.search:women's lib*,1910
0,3,body.search:women's lib*,1910
0,4,body.search:women's lib*,1910
0,1,body.search:women's lib*,1911
0,2,body.search:women's lib*,1911
0,3,body.search:women's lib*,1911
0,4,body.search:women's lib*,1911
0,1,body.search:women's lib*,1912
0,2,body.search:women's lib*,1912
0,3,body.search:women's lib*,1912
0,4,body.search:women's lib*,1912
0,1,body.search:women's lib*,1913
0,2,body.search:women's lib*,1913
0,3,body.search:women's lib*,1913
0,4,body.search:women's lib*,1913
0,1,body.search:women's lib*,1914
0,2,body.search:women's lib*,1914
0,3,body.search:women's lib*,1914
0,4,body.search:women's lib*,1914
1,1,body.search:women's lib*,1915
0,2,body.search:women's lib*,1915
0,3,body.search:women's lib*,1915
1,4,body.search:women's lib*,1915
1,1,body.search:women's lib*,1916
1,2,body.search:women's lib*,1916
5,3,body.search:women's lib*,1916
1,4,body.search:women's lib*,1916
0,1,body.search:women's lib*,1917
2,2,body.search:women's lib*,1917
0,3,body.search:women's lib*,1917
0,4,body.search:women's lib*,1917
0,1,body.search:women's lib*,1918
3,2,body.search:women's lib*,1918
4,3,body.search:women's lib*,1918
1,4,body.search:women's lib*,1918
1,1,body.search:women's lib*,1919
1,2,body.search:women's lib*,1919
3,3,body.search:women's lib*,1919
0,4,body.search:women's lib*,1919
0,1,body.search:women's lib*,1920
2,2,body.search:women's lib*,1920
2,3,body.search:women's lib*,1920
0,4,body.search:women's lib*,1920
1,1,body.search:women's lib*,1921
2,2,body.search:women's lib*,1921
0,3,body.search:women's lib*,1921
1,4,body.search:women's lib*,1921
0,1,body.search:women's lib*,1922
1,2,body.search:women's lib*,1922
1,3,body.search:women's lib*,1922
0,4,body.search:women's lib*,1922
1,1,body.search:women's lib*,1923
5,2,body.search:women's lib*,1923
1,3,body.search:women's lib*,1923
1,4,body.search:women's lib*,1923
7,1,body.search:women's lib*,1924
14,2,body.search:women's lib*,1924
11,3,body.search:women's lib*,1924
5,4,body.search:women's lib*,1924
5,1,body.search:women's lib*,1925
2,2,body.search:women's lib*,1925
3,3,body.search:women's lib*,1925
4,4,body.search:women's lib*,1925
4,1,body.search:women's lib*,1926
1,2,body.search:women's lib*,1926
1,3,body.search:women's lib*,1926
2,4,body.search:women's lib*,1926
0,1,body.search:women's lib*,1927
1,2,body.search:women's lib*,1927
0,3,body.search:women's lib*,1927
3,4,body.search:women's lib*,1927
9,1,body.search:women's lib*,1928
6,2,body.search:women's lib*,1928
1,3,body.search:women's lib*,1928
4,4,body.search:women's lib*,1928
2,1,body.search:women's lib*,1929
6,2,body.search:women's lib*,1929
4,3,body.search:women's lib*,1929
2,4,body.search:women's lib*,1929
2,1,body.search:women's lib*,1930
3,2,body.search:women's lib*,1930
3,3,body.search:women's lib*,1930
6,4,body.search:women's lib*,1930
6,1,body.search:women's lib*,1931
8,2,body.search:women's lib*,1931
2,3,body.search:women's lib*,1931
2,4,body.search:women's lib*,1931
11,1,body.search:women's lib*,1932
6,2,body.search:women's lib*,1932
2,3,body.search:women's lib*,1932
6,4,body.search:women's lib*,1932
3,1,body.search:women's lib*,1933
11,2,body.search:women's lib*,1933
4,3,body.search:women's lib*,1933
