hits,quarter,term,year
0,1,body.search:women's movement,1900
0,2,body.search:women's movement,1900
0,3,body.search:women's movement,1900
0,4,body.search:women's movement,1900
0,1,body.search:women's movement,1901
0,2,body.search:women's movement,1901
0,3,body.search:women's movement,1901
0,4,body.search:women's movement,1901
0,1,body.search:women's movement,1902
0,2,body.search:women's movement,1902
0,3,body.search:women's movement,1902
0,4,body.search:women's movement,1902
0,1,body.search:women's movement,1903
0,2,body.search:women's movement,1903
0,3,body.search:women's movement,1903
0,4,body.search:women's movement,1903
0,1,body.search:women's movement,1904
0,2,body.search:women's movement,1904
0,3,body.search:women's movement,1904
0,4,body.search:women's movement,1904
0,1,body.search:women's movement,1905
0,2,body.search:women's movement,1905
0,3,body.search:women's movement,1905
0,4,body.search:women's movement,1905
0,1,body.search:women's movement,1906
0,2,body.search:women's movement,1906
0,3,body.search:women's movement,1906
0,4,body.search:women's movement,1906
0,1,body.search:women's movement,1907
0,2,body.search:women's movement,1907
0,3,body.search:women's movement,1907
0,4,body.search:women's movement,1907
0,1,body.search:women's movement,1908
0,2,body.search:women's movement,1908
0,3,body.search:women's movement,1908
0,4,body.search:women's movement,1908
0,1,body.search:women's movement,1909
0,2,body.search:women's movement,1909
0,3,body.search:women's movement,1909
0,4,body.search:women's movement,1909
0,1,body.search:women's movement,1910
0,2,body.search:women's movement,1910
0,3,body.search:women's movement,1910
0,4,body.search:women's movement,1910
0,1,body.search:women's movement,1911
0,2,body.search:women's movement,1911
0,3,body.search:women's movement,1911
0,4,body.search:women's movement,1911
0,1,body.search:women's movement,1912
0,2,body.search:women's movement,1912
0,3,body.search:women's movement,1912
0,4,body.search:women's movement,1912
0,1,body.search:women's movement,1913
0,2,body.search:women's movement,1913
0,3,body.search:women's movement,1913
0,4,body.search:women's movement,1913
0,1,body.search:women's movement,1914
0,2,body.search:women's movement,1914
0,3,body.search:women's movement,1914
0,4,body.search:women's movement,1914
0,1,body.search:women's movement,1915
0,2,body.search:women's movement,1915
0,3,body.search:women's movement,1915
1,4,body.search:women's movement,1915
1,1,body.search:women's movement,1916
3,2,body.search:women's movement,1916
0,3,body.search:women's movement,1916
1,4,body.search:women's movement,1916
0,1,body.search:women's movement,1917
0,2,body.search:women's movement,1917
0,3,body.search:women's movement,1917
0,4,body.search:women's movement,1917
0,1,body.search:women's movement,1918
2,2,body.search:women's movement,1918
1,3,body.search:women's movement,1918
2,4,body.search:women's movement,1918
0,1,body.search:women's movement,1919
0,2,body.search:women's movement,1919
0,3,body.search:women's movement,1919
0,4,body.search:women's movement,1919
0,1,body.search:women's movement,1920
0,2,body.search:women's movement,1920
0,3,body.search:women's movement,1920
2,4,body.search:women's movement,1920
0,1,body.search:women's movement,1921
1,2,body.search:women's movement,1921
2,3,body.search:women's movement,1921
0,4,body.search:women's movement,1921
2,1,body.search:women's movement,1922
3,2,body.search:women's movement,1922
2,3,body.search:women's movement,1922
0,4,body.search:women's movement,1922
0,1,body.search:women's movement,1923
2,2,body.search:women's movement,1923
2,3,body.search:women's movement,1923
4,4,body.search:women's movement,1923
2,1,body.search:women's movement,1924
1,2,body.search:women's movement,1924
1,3,body.search:women's movement,1924
3,4,body.search:women's movement,1924
3,1,body.search:women's movement,1925
4,2,body.search:women's movement,1925
4,3,body.search:women's movement,1925
1,4,body.search:women's movement,1925
0,1,body.search:women's movement,1926
3,2,body.search:women's movement,1926
1,3,body.search:women's movement,1926
1,4,body.search:women's movement,1926
1,1,body.search:women's movement,1927
2,2,body.search:women's movement,1927
3,3,body.search:women's movement,1927
1,4,body.search:women's movement,1927
4,1,body.search:women's movement,1928
1,2,body.search:women's movement,1928
6,3,body.search:women's movement,1928
0,4,body.search:women's movement,1928
1,1,body.search:women's movement,1929
1,2,body.search:women's movement,1929
3,3,body.search:women's movement,1929
0,4,body.search:women's movement,1929
1,1,body.search:women's movement,1930
2,2,body.search:women's movement,1930
1,3,body.search:women's movement,1930
1,4,body.search:women's movement,1930
3,1,body.search:women's movement,1931
