hits,quarter,term,year
0,1,body.search:women's suffrage,1900
0,2,body.search:women's suffrage,1900
0,3,body.search:women's suffrage,1900
0,4,body.search:women's suffrage,1900
0,1,body.search:women's suffrage,1901
0,2,body.search:women's suffrage,1901
0,3,body.search:women's suffrage,1901
0,4,body.search:women's suffrage,1901
0,1,body.search:women's suffrage,1902
0,2,body.search:women's suffrage,1902
0,3,body.search:women's suffrage,1902
0,4,body.search:women's suffrage,1902
0,1,body.search:women's suffrage,1903
0,2,body.search:women's suffrage,1903
0,3,body.search:women's suffrage,1903
0,4,body.search:women's suffrage,1903
0,1,body.search:women's suffrage,1904
0,2,body.search:women's suffrage,1904
0,3,body.search:women's suffrage,1904
0,4,body.search:women's suffrage,1904
0,1,body.search:women's suffrage,1905
0,2,body.search:women's suffrage,1905
0,3,body.search:women's suffrage,1905
0,4,body.search:women's suffrage,1905
0,1,body.search:women's suffrage,1906
0,2,body.search:women's suffrage,1906
0,3,body.search:women's suffrage,1906
0,4,body.search:women's suffrage,1906
0,1,body.search:women's suffrage,1907
0,2,body.search:women's suffrage,1907
0,3,body.search:women's suffrage,1907
0,4,body.search:women's suffrage,1907
0,1,body.search:women's suffrage,1908
0,2,body.search:women's suffrage,1908
0,3,body.search:women's suffrage,1908
0,4,body.search:women's suffrage,1908
0,1,body.search:women's suffrage,1909
0,2,body.search:women's suffrage,1909
0,3,body.search:women's suffrage,1909
0,4,body.search:women's suffrage,1909
0,1,body.search:women's suffrage,1910
0,2,body.search:women's suffrage,1910
0,3,body.search:women's suffrage,1910
0,4,body.search:women's suffrage,1910
0,1,body.search:women's suffrage,1911
0,2,body.search:women's suffrage,1911
0,3,body.search:women's suffrage,1911
0,4,body.search:women's suffrage,1911
0,1,body.search:women's suffrage,1912
0,2,body.search:women's suffrage,1912
0,3,body.search:women's suffrage,1912
0,4,body.search:women's suffrage,1912
0,1,body.search:women's suffrage,1913
0,2,body.search:women's suffrage,1913
0,3,body.search:women's suffrage,1913
0,4,body.search:women's suffrage,1913
0,1,body.search:women's suffrage,1914
0,2,body.search:women's suffrage,1914
0,3,body.search:women's suffrage,1914
0,4,body.search:women's suffrage,1914
0,1,body.search:women's suffrage,1915
0,2,body.search:women's suffrage,1915
0,3,body.search:women's suffrage,1915
0,4,body.search:women's suffrage,1915
0,1,body.search:women's suffrage,1916
0,2,body.search:women's suffrage,1916
1,3,body.search:women's suffrage,1916
0,4,body.search:women's suffrage,1916
0,1,body.search:women's suffrage,1917
0,2,body.search:women's suffrage,1917
0,3,body.search:women's suffrage,1917
0,4,body.search:women's suffrage,1917
0,1,body.search:women's suffrage,1918
0,2,body.search:women's suffrage,1918
0,3,body.search:women's suffrage,1918
0,4,body.search:women's suffrage,1918
0,1,body.search:women's suffrage,1919
0,2,body.search:women's suffrage,1919
0,3,body.search:women's suffrage,1919
0,4,body.search:women's suffrage,1919
0,1,body.search:women's suffrage,1920
0,2,body.search:women's suffrage,1920
0,3,body.search:women's suffrage,1920
0,4,body.search:women's suffrage,1920
0,1,body.search:women's suffrage,1921
0,2,body.search:women's suffrage,1921
0,3,body.search:women's suffrage,1921
0,4,body.search:women's suffrage,1921
0,1,body.search:women's suffrage,1922
0,2,body.search:women's suffrage,1922
0,3,body.search:women's suffrage,1922
0,4,body.search:women's suffrage,1922
0,1,body.search:women's suffrage,1923
0,2,body.search:women's suffrage,1923
0,3,body.search:women's suffrage,1923
0,4,body.search:women's suffrage,1923
0,1,body.search:women's suffrage,1924
0,2,body.search:women's suffrage,1924
0,3,body.search:women's suffrage,1924
0,4,body.search:women's suffrage,1924
0,1,body.search:women's suffrage,1925
0,2,body.search:women's suffrage,1925
0,3,body.search:women's suffrage,1925
0,4,body.search:women's suffrage,1925
0,1,body.search:women's suffrage,1926
0,2,body.search:women's suffrage,1926
0,3,body.search:women's suffrage,1926
0,4,body.search:women's suffrage,1926
0,1,body.search:women's suffrage,1927
0,2,body.search:women's suffrage,1927
0,3,body.search:women's suffrage,1927
0,4,body.search:women's suffrage,1927
0,1,body.search:women's suffrage,1928
0,2,body.search:women's suffrage,1928
0,3,body.search:women's suffrage,1928
0,4,body.search:women's suffrage,1928
0,1,body.search:women's suffrage,1929
0,2,body.search:women's suffrage,1929
0,3,body.search:women's suffrage,1929
0,4,body.search:women's suffrage,1929
0,1,body.search:women's suffrage,1930
0,2,body.search:women's suffrage,1930
0,3,body.search:women's suffrage,1930
0,4,body.search:women's suffrage,1930
0,1,body.search:women's suffrage,1931
0,2,body.search:women's suffrage,1931
0,3,body.search:women's suffrage,1931
0,4,body.search:women's suffrage,1931
0,1,body.search:women's suffrage,1932
0,2,body.search:women's suffrage,1932
0,3,body.search:women's suffrage,1932
0,4,body.search:women's suffrage,1932
0,1,body.search:women's suffrage,1933
0,2,body.search:women's suffrage,1933
0,3,body.search:women's suffrage,1933
0,4,body.search:women's suffrage,1933
0,1,body.search:women's suffrage,1934
0,2,body.search:women's suffrage,1934
0,3,body.search:women's suffrage,1934
0,4,body.search:women's suffrage,1934
0,1,body.search:women's suffrage,1935
0,2,body.search:women's suffrage,1935
0,3,body.search:women's suffrage,1935
0,4,body.search:women's suffrage,1935
0,1,body.search:women's suffrage,1936
0,2,body.search:women's suffrage,1936
1,3,body.search:women's suffrage,1936
0,4,body.search:women's suffrage,1936
0,1,body.search:women's suffrage,1937
0,2,body.search:women's suffrage,1937
0,3,body.search:women's suffrage,1937
0,4,body.search:women's suffrage,1937
0,1,body.search:women's suffrage,1938
0,2,body.search:women's suffrage,1938
0,3,body.search:women's suffrage,1938
0,4,body.search:women's suffrage,1938
0,1,body.search:women's suffrage,1939
0,2,body.search:women's suffrage,1939
0,3,body.search:women's suffrage,1939
0,4,body.search:women's suffrage,1939
0,1,body.search:women's suffrage,1940
0,2,body.search:women's suffrage,1940
0,3,body.search:women's suffrage,1940
0,4,body.search:women's suffrage,1940
0,1,body.search:women's suffrage,1941
1,2,body.search:women's suffrage,1941
0,3,body.search:women's suffrage,1941
0,4,body.search:women's suffrage,1941
0,1,body.search:women's suffrage,1942
1,2,body.search:women's suffrage,1942
0,3,body.search:women's suffrage,1942
0,4,body.search:women's suffrage,1942
0,1,body.search:women's suffrage,1943
0,2,body.search:women's suffrage,1943
0,3,body.search:women's suffrage,1943
0,4,body.search:women's suffrage,1943
0,1,body.search:women's suffrage,1944
0,2,body.search:women's suffrage,1944
0,3,body.search:women's suffrage,1944
0,4,body.search:women's suffrage,1944
0,1,body.search:women's suffrage,1945
0,2,body.search:women's suffrage,1945
0,3,body.search:women's suffrage,1945
0,4,body.search:women's suffrage,1945
0,1,body.search:women's suffrage,1946
0,2,body.search:women's suffrage,1946
0,3,body.search:women's suffrage,1946
0,4,body.search:women's suffrage,1946
1,1,body.search:women's suffrage,1947
0,2,body.search:women's suffrage,1947
0,3,body.search:women's suffrage,1947
0,4,body.search:women's suffrage,1947
0,1,body.search:women's suffrage,1948
0,2,body.search:women's suffrage,1948
0,3,body.search:women's suffrage,1948
0,4,body.search:women's suffrage,1948
0,1,body.search:women's suffrage,1949
0,2,body.search:women's suffrage,1949
0,3,body.search:women's suffrage,1949
0,4,body.search:women's suffrage,1949
0,1,body.search:women's suffrage,1950
0,2,body.search:women's suffrage,1950
0,3,body.search:women's suffrage,1950
0,4,body.search:women's suffrage,1950
0,1,body.search:women's suffrage,1951
0,2,body.search:women's suffrage,1951
0,3,body.search:women's suffrage,1951
0,4,body.search:women's suffrage,1951
0,1,body.search:women's suffrage,1952
0,2,body.search:women's suffrage,1952
0,3,body.search:women's suffrage,1952
0,4,body.search:women's suffrage,1952
0,1,body.search:women's suffrage,1953
0,2,body.search:women's suffrage,1953
0,3,body.search:women's suffrage,1953
0,4,body.search:women's suffrage,1953
0,1,body.search:women's suffrage,1954
0,2,body.search:women's suffrage,1954
0,3,body.search:women's suffrage,1954
0,4,body.search:women's suffrage,1954
0,1,body.search:women's suffrage,1955
0,2,body.search:women's suffrage,1955
0,3,body.search:women's suffrage,1955
0,4,body.search:women's suffrage,1955
0,1,body.search:women's suffrage,1956
0,2,body.search:women's suffrage,1956
0,3,body.search:women's suffrage,1956
0,4,body.search:women's suffrage,1956
0,1,body.search:women's suffrage,1957
0,2,body.search:women's suffrage,1957
0,3,body.search:women's suffrage,1957
0,4,body.search:women's suffrage,1957
0,1,body.search:women's suffrage,1958
0,2,body.search:women's suffrage,1958
0,3,body.search:women's suffrage,1958
0,4,body.search:women's suffrage,1958
0,1,body.search:women's suffrage,1959
0,2,body.search:women's suffrage,1959
0,3,body.search:women's suffrage,1959
0,4,body.search:women's suffrage,1959
0,1,body.search:women's suffrage,1960
0,2,body.search:women's suffrage,1960
0,3,body.search:women's suffrage,1960
0,4,body.search:women's suffrage,1960
0,1,body.search:women's suffrage,1961
0,2,body.search:women's suffrage,1961
0,3,body.search:women's suffrage,1961
0,4,body.search:women's suffrage,1961
0,1,body.search:women's suffrage,1962
0,2,body.search:women's suffrage,1962
0,3,body.search:women's suffrage,1962
0,4,body.search:women's suffrage,1962
0,1,body.search:women's suffrage,1963
0,2,body.search:women's suffrage,1963
0,3,body.search:women's suffrage,1963
0,4,body.search:women's suffrage,1963
16,1,body.search:women's suffrage,1964
12,2,body.search:women's suffrage,1964
11,3,body.search:women's suffrage,1964
12,4,body.search:women's suffrage,1964
0,1,body.search:women's suffrage,1965
0,2,body.search:women's suffrage,1965
0,3,body.search:women's suffrage,1965
0,4,body.search:women's suffrage,1965
0,1,body.search:women's suffrage,1966
0,2,body.search:women's suffrage,1966
0,3,body.search:women's suffrage,1966
0,4,body.search:women's suffrage,1966
0,1,body.search:women's suffrage,1967
0,2,body.search:women's suffrage,1967
0,3,body.search:women's suffrage,1967
0,4,body.search:women's suffrage,1967
0,1,body.search:women's suffrage,1968
0,2,body.search:women's suffrage,1968
0,3,body.search:women's suffrage,1968
0,4,body.search:women's suffrage,1968
0,1,body.search:women's suffrage,1969
0,2,body.search:women's suffrage,1969
0,3,body.search:women's suffrage,1969
0,4,body.search:women's suffrage,1969
11,1,body.search:women's suffrage,1970
15,2,body.search:women's suffrage,1970
20,3,body.search:women's suffrage,1970
5,4,body.search:women's suffrage,1970
10,1,body.search:women's suffrage,1971
7,2,body.search:women's suffrage,1971
10,3,body.search:women's suffrage,1971
15,4,body.search:women's suffrage,1971
12,1,body.search:women's suffrage,1972
7,2,body.search:women's suffrage,1972
15,3,body.search:women's suffrage,1972
10,4,body.search:women's suffrage,1972
8,1,body.search:women's suffrage,1973
5,2,body.search:women's suffrage,1973
22,3,body.search:women's suffrage,1973
6,4,body.search:women's suffrage,1973
6,1,body.search:women's suffrage,1974
12,2,body.search:women's suffrage,1974
7,3,body.search:women's suffrage,1974
10,4,body.search:women's suffrage,1974
11,1,body.search:women's suffrage,1975
9,2,body.search:women's suffrage,1975
21,3,body.search:women's suffrage,1975
18,4,body.search:women's suffrage,1975
20,1,body.search:women's suffrage,1976
22,2,body.search:women's suffrage,1976
21,3,body.search:women's suffrage,1976
9,4,body.search:women's suffrage,1976
13,1,body.search:women's suffrage,1977
17,2,body.search:women's suffrage,1977
15,3,body.search:women's suffrage,1977
20,4,body.search:women's suffrage,1977
13,1,body.search:women's suffrage,1978
19,2,body.search:women's suffrage,1978
12,3,body.search:women's suffrage,1978
10,4,body.search:women's suffrage,1978
14,1,body.search:women's suffrage,1979
12,2,body.search:women's suffrage,1979
14,3,body.search:women's suffrage,1979
8,4,body.search:women's suffrage,1979
0,1,body.search:women's suffrage,1980
0,2,body.search:women's suffrage,1980
0,3,body.search:women's suffrage,1980
0,4,body.search:women's suffrage,1980
7,1,body.search:women's suffrage,1981
14,2,body.search:women's suffrage,1981
10,3,body.search:women's suffrage,1981
13,4,body.search:women's suffrage,1981
8,1,body.search:women's suffrage,1982
16,2,body.search:women's suffrage,1982
12,3,body.search:women's suffrage,1982
9,4,body.search:women's suffrage,1982
7,1,body.search:women's suffrage,1983
8,2,body.search:women's suffrage,1983
9,3,body.search:women's suffrage,1983
4,4,body.search:women's suffrage,1983
10,1,body.search:women's suffrage,1984
6,2,body.search:women's suffrage,1984
16,3,body.search:women's suffrage,1984
7,4,body.search:women's suffrage,1984
7,1,body.search:women's suffrage,1985
10,2,body.search:women's suffrage,1985
9,3,body.search:women's suffrage,1985
5,4,body.search:women's suffrage,1985
6,1,body.search:women's suffrage,1986
12,2,body.search:women's suffrage,1986
10,3,body.search:women's suffrage,1986
10,4,body.search:women's suffrage,1986
11,1,body.search:women's suffrage,1987
7,2,body.search:women's suffrage,1987
6,3,body.search:women's suffrage,1987
8,4,body.search:women's suffrage,1987
8,1,body.search:women's suffrage,1988
12,2,body.search:women's suffrage,1988
13,3,body.search:women's suffrage,1988
2,4,body.search:women's suffrage,1988
7,1,body.search:women's suffrage,1989
11,2,body.search:women's suffrage,1989
11,3,body.search:women's suffrage,1989
11,4,body.search:women's suffrage,1989
12,1,body.search:women's suffrage,1990
6,2,body.search:women's suffrage,1990
5,3,body.search:women's suffrage,1990
12,4,body.search:women's suffrage,1990
7,1,body.search:women's suffrage,1991
8,2,body.search:women's suffrage,1991
8,3,body.search:women's suffrage,1991
4,4,body.search:women's suffrage,1991
8,1,body.search:women's suffrage,1992
6,2,body.search:women's suffrage,1992
13,3,body.search:women's suffrage,1992
4,4,body.search:women's suffrage,1992
10,1,body.search:women's suffrage,1993
