hits,quarter,term,year
0,1,equalism,1900
0,2,equalism,1900
0,3,equalism,1900
0,4,equalism,1900
0,1,equalism,1901
0,2,equalism,1901
0,3,equalism,1901
0,4,equalism,1901
0,1,equalism,1902
0,2,equalism,1902
0,3,equalism,1902
0,4,equalism,1902
0,1,equalism,1903
0,2,equalism,1903
0,3,equalism,1903
0,4,equalism,1903
0,1,equalism,1904
0,2,equalism,1904
0,3,equalism,1904
0,4,equalism,1904
0,1,equalism,1905
0,2,equalism,1905
0,3,equalism,1905
0,4,equalism,1905
0,1,equalism,1906
0,2,equalism,1906
0,3,equalism,1906
0,4,equalism,1906
0,1,equalism,1907
0,2,equalism,1907
0,3,equalism,1907
0,4,equalism,1907
0,1,equalism,1908
0,2,equalism,1908
0,3,equalism,1908
0,4,equalism,1908
0,1,equalism,1909
0,2,equalism,1909
0,3,equalism,1909
0,4,equalism,1909
0,1,equalism,1910
0,2,equalism,1910
0,3,equalism,1910
0,4,equalism,1910
0,1,equalism,1911
0,2,equalism,1911
0,3,equalism,1911
0,4,equalism,1911
0,1,equalism,1912
0,2,equalism,1912
0,3,equalism,1912
0,4,equalism,1912
0,1,equalism,1913
0,2,equalism,1913
0,3,equalism,1913
0,4,equalism,1913
0,1,equalism,1914
0,2,equalism,1914
0,3,equalism,1914
0,4,equalism,1914
0,1,equalism,1915
0,2,equalism,1915
0,3,equalism,1915
0,4,equalism,1915
0,1,equalism,1916
1,2,equalism,1916
0,3,equalism,1916
2,4,equalism,1916
1,1,equalism,1917
0,2,equalism,1917
1,3,equalism,1917
1,4,equalism,1917
0,1,equalism,1918
1,2,equalism,1918
2,3,equalism,1918
2,4,equalism,1918
2,1,equalism,1919
3,2,equalism,1919
2,3,equalism,1919
3,4,equalism,1919
4,1,equalism,1920
0,2,equalism,1920
0,3,equalism,1920
0,4,equalism,1920
1,1,equalism,1921
3,2,equalism,1921
2,3,equalism,1921
4,4,equalism,1921
2,1,equalism,1922
0,2,equalism,1922
1,3,equalism,1922
1,4,equalism,1922
1,1,equalism,1923
0,2,equalism,1923
