hits,quarter,term,year
4,1,equalist,1900
1,2,equalist,1900
6,3,equalist,1900
2,4,equalist,1900
7,1,equalist,1901
3,2,equalist,1901
2,3,equalist,1901
5,4,equalist,1901
5,1,equalist,1902
3,2,equalist,1902
5,3,equalist,1902
1,4,equalist,1902
3,1,equalist,1903
4,2,equalist,1903
4,3,equalist,1903
2,4,equalist,1903
0,1,equalist,1904
1,2,equalist,1904
2,3,equalist,1904
3,4,equalist,1904
4,1,equalist,1905
5,2,equalist,1905
3,3,equalist,1905
2,4,equalist,1905
5,1,equalist,1906
1,2,equalist,1906
0,3,equalist,1906
5,4,equalist,1906
2,1,equalist,1907
11,2,equalist,1907
3,3,equalist,1907
1,4,equalist,1907
2,1,equalist,1908
2,2,equalist,1908
2,3,equalist,1908
4,4,equalist,1908
2,1,equalist,1909
2,2,equalist,1909
3,3,equalist,1909
4,4,equalist,1909
3,1,equalist,1910
2,2,equalist,1910
0,3,equalist,1910
3,4,equalist,1910
3,1,equalist,1911
4,2,equalist,1911
4,3,equalist,1911
4,4,equalist,1911
5,1,equalist,1912
8,2,equalist,1912
0,3,equalist,1912
4,4,equalist,1912
4,1,equalist,1913
4,2,equalist,1913
2,3,equalist,1913
3,4,equalist,1913
2,1,equalist,1914
2,2,equalist,1914
2,3,equalist,1914
3,4,equalist,1914
2,1,equalist,1915
2,2,equalist,1915
7,3,equalist,1915
6,4,equalist,1915
4,1,equalist,1916
4,2,equalist,1916
4,3,equalist,1916
2,4,equalist,1916
3,1,equalist,1917
4,2,equalist,1917
11,3,equalist,1917
1,4,equalist,1917
4,1,equalist,1918
5,2,equalist,1918
6,3,equalist,1918
8,4,equalist,1918
9,1,equalist,1919
15,2,equalist,1919
12,3,equalist,1919
19,4,equalist,1919
12,1,equalist,1920
12,2,equalist,1920
3,3,equalist,1920
12,4,equalist,1920
8,1,equalist,1921
5,2,equalist,1921
14,3,equalist,1921
13,4,equalist,1921
9,1,equalist,1922
9,2,equalist,1922
7,3,equalist,1922
12,4,equalist,1922
10,1,equalist,1923
8,2,equalist,1923
10,3,equalist,1923
11,4,equalist,1923
14,1,equalist,1924
5,2,equalist,1924
9,3,equalist,1924
6,4,equalist,1924
7,1,equalist,1925
7,2,equalist,1925
8,3,equalist,1925
11,4,equalist,1925
12,1,equalist,1926
23,2,equalist,1926
15,3,equalist,1926
20,4,equalist,1926
23,1,equalist,1927
20,2,equalist,1927
10,3,equalist,1927
22,4,equalist,1927
40,1,equalist,1928
54,2,equalist,1928
18,3,equalist,1928
27,4,equalist,1928
32,1,equalist,1929
25,2,equalist,1929
22,3,equalist,1929
30,4,equalist,1929
41,1,equalist,1930
24,2,equalist,1930
19,3,equalist,1930
29,4,equalist,1930
35,1,equalist,1931
25,2,equalist,1931
30,3,equalist,1931
