hits,quarter,term,year
0,1,feminism NOT black,1900
0,2,feminism NOT black,1900
0,3,feminism NOT black,1900
0,4,feminism NOT black,1900
0,1,feminism NOT black,1901
0,2,feminism NOT black,1901
0,3,feminism NOT black,1901
0,4,feminism NOT black,1901
0,1,feminism NOT black,1902
0,2,feminism NOT black,1902
0,3,feminism NOT black,1902
0,4,feminism NOT black,1902
0,1,feminism NOT black,1903
0,2,feminism NOT black,1903
0,3,feminism NOT black,1903
0,4,feminism NOT black,1903
0,1,feminism NOT black,1904
0,2,feminism NOT black,1904
0,3,feminism NOT black,1904
0,4,feminism NOT black,1904
0,1,feminism NOT black,1905
0,2,feminism NOT black,1905
0,3,feminism NOT black,1905
0,4,feminism NOT black,1905
0,1,feminism NOT black,1906
0,2,feminism NOT black,1906
0,3,feminism NOT black,1906
1,4,feminism NOT black,1906
0,1,feminism NOT black,1907
0,2,feminism NOT black,1907
0,3,feminism NOT black,1907
0,4,feminism NOT black,1907
0,1,feminism NOT black,1908
0,2,feminism NOT black,1908
1,3,feminism NOT black,1908
1,4,feminism NOT black,1908
0,1,feminism NOT black,1909
0,2,feminism NOT black,1909
0,3,feminism NOT black,1909
0,4,feminism NOT black,1909
0,1,feminism NOT black,1910
1,2,feminism NOT black,1910
0,3,feminism NOT black,1910
1,4,feminism NOT black,1910
0,1,feminism NOT black,1911
0,2,feminism NOT black,1911
0,3,feminism NOT black,1911
2,4,feminism NOT black,1911
1,1,feminism NOT black,1912
0,2,feminism NOT black,1912
0,3,feminism NOT black,1912
1,4,feminism NOT black,1912
1,1,feminism NOT black,1913
0,2,feminism NOT black,1913
0,3,feminism NOT black,1913
2,4,feminism NOT black,1913
5,1,feminism NOT black,1914
4,2,feminism NOT black,1914
1,3,feminism NOT black,1914
0,4,feminism NOT black,1914
0,1,feminism NOT black,1915
1,2,feminism NOT black,1915
4,3,feminism NOT black,1915
2,4,feminism NOT black,1915
0,1,feminism NOT black,1916
1,2,feminism NOT black,1916
2,3,feminism NOT black,1916
0,4,feminism NOT black,1916
0,1,feminism NOT black,1917
0,2,feminism NOT black,1917
1,3,feminism NOT black,1917
1,4,feminism NOT black,1917
1,1,feminism NOT black,1918
0,2,feminism NOT black,1918
0,3,feminism NOT black,1918
0,4,feminism NOT black,1918
0,1,feminism NOT black,1919
0,2,feminism NOT black,1919
0,3,feminism NOT black,1919
1,4,feminism NOT black,1919
0,1,feminism NOT black,1920
0,2,feminism NOT black,1920
1,3,feminism NOT black,1920
0,4,feminism NOT black,1920
0,1,feminism NOT black,1921
2,2,feminism NOT black,1921
0,3,feminism NOT black,1921
0,4,feminism NOT black,1921
0,1,feminism NOT black,1922
0,2,feminism NOT black,1922
0,3,feminism NOT black,1922
2,4,feminism NOT black,1922
1,1,feminism NOT black,1923
1,2,feminism NOT black,1923
0,3,feminism NOT black,1923
7,4,feminism NOT black,1923
0,1,feminism NOT black,1924
2,2,feminism NOT black,1924
1,3,feminism NOT black,1924
0,4,feminism NOT black,1924
0,1,feminism NOT black,1925
0,2,feminism NOT black,1925
3,3,feminism NOT black,1925
4,4,feminism NOT black,1925
3,1,feminism NOT black,1926
4,2,feminism NOT black,1926
1,3,feminism NOT black,1926
1,4,feminism NOT black,1926
0,1,feminism NOT black,1927
1,2,feminism NOT black,1927
2,3,feminism NOT black,1927
3,4,feminism NOT black,1927
4,1,feminism NOT black,1928
0,2,feminism NOT black,1928
1,3,feminism NOT black,1928
1,4,feminism NOT black,1928
0,1,feminism NOT black,1929
2,2,feminism NOT black,1929
2,3,feminism NOT black,1929
0,4,feminism NOT black,1929
1,1,feminism NOT black,1930
1,2,feminism NOT black,1930
0,3,feminism NOT black,1930
3,4,feminism NOT black,1930
2,1,feminism NOT black,1931
3,2,feminism NOT black,1931
0,3,feminism NOT black,1931
1,4,feminism NOT black,1931
0,1,feminism NOT black,1932
0,2,feminism NOT black,1932
1,3,feminism NOT black,1932
1,4,feminism NOT black,1932
0,1,feminism NOT black,1933
1,2,feminism NOT black,1933
0,3,feminism NOT black,1933
0,4,feminism NOT black,1933
1,1,feminism NOT black,1934
2,2,feminism NOT black,1934
0,3,feminism NOT black,1934
0,4,feminism NOT black,1934
0,1,feminism NOT black,1935
0,2,feminism NOT black,1935
1,3,feminism NOT black,1935
0,4,feminism NOT black,1935
1,1,feminism NOT black,1936
0,2,feminism NOT black,1936
1,3,feminism NOT black,1936
0,4,feminism NOT black,1936
1,1,feminism NOT black,1937
0,2,feminism NOT black,1937
0,3,feminism NOT black,1937
2,4,feminism NOT black,1937
1,1,feminism NOT black,1938
0,2,feminism NOT black,1938
0,3,feminism NOT black,1938
0,4,feminism NOT black,1938
2,1,feminism NOT black,1939
1,2,feminism NOT black,1939
0,3,feminism NOT black,1939
1,4,feminism NOT black,1939
0,1,feminism NOT black,1940
0,2,feminism NOT black,1940
