hits,quarter,term,year
0,1,feminism,1900
0,2,feminism,1900
0,3,feminism,1900
0,4,feminism,1900
0,1,feminism,1901
0,2,feminism,1901
0,3,feminism,1901
0,4,feminism,1901
0,1,feminism,1902
0,2,feminism,1902
0,3,feminism,1902
0,4,feminism,1902
0,1,feminism,1903
0,2,feminism,1903
0,3,feminism,1903
0,4,feminism,1903
0,1,feminism,1904
0,2,feminism,1904
0,3,feminism,1904
0,4,feminism,1904
0,1,feminism,1905
0,2,feminism,1905
0,3,feminism,1905
0,4,feminism,1905
0,1,feminism,1906
0,2,feminism,1906
0,3,feminism,1906
0,4,feminism,1906
0,1,feminism,1907
0,2,feminism,1907
0,3,feminism,1907
0,4,feminism,1907
0,1,feminism,1908
0,2,feminism,1908
0,3,feminism,1908
0,4,feminism,1908
0,1,feminism,1909
0,2,feminism,1909
0,3,feminism,1909
0,4,feminism,1909
0,1,feminism,1910
0,2,feminism,1910
0,3,feminism,1910
0,4,feminism,1910
0,1,feminism,1911
0,2,feminism,1911
0,3,feminism,1911
0,4,feminism,1911
0,1,feminism,1912
0,2,feminism,1912
0,3,feminism,1912
0,4,feminism,1912
0,1,feminism,1913
0,2,feminism,1913
0,3,feminism,1913
0,4,feminism,1913
0,1,feminism,1914
0,2,feminism,1914
0,3,feminism,1914
0,4,feminism,1914
0,1,feminism,1915
0,2,feminism,1915
0,3,feminism,1915
0,4,feminism,1915
0,1,feminism,1916
0,2,feminism,1916
0,3,feminism,1916
0,4,feminism,1916
0,1,feminism,1917
0,2,feminism,1917
0,3,feminism,1917
0,4,feminism,1917
0,1,feminism,1918
0,2,feminism,1918
0,3,feminism,1918
0,4,feminism,1918
0,1,feminism,1919
0,2,feminism,1919
0,3,feminism,1919
0,4,feminism,1919
0,1,feminism,1920
0,2,feminism,1920
0,3,feminism,1920
0,4,feminism,1920
0,1,feminism,1921
0,2,feminism,1921
0,3,feminism,1921
0,4,feminism,1921
0,1,feminism,1922
0,2,feminism,1922
0,3,feminism,1922
0,4,feminism,1922
0,1,feminism,1923
0,2,feminism,1923
0,3,feminism,1923
0,4,feminism,1923
0,1,feminism,1924
0,2,feminism,1924
0,3,feminism,1924
0,4,feminism,1924
0,1,feminism,1925
0,2,feminism,1925
0,3,feminism,1925
0,4,feminism,1925
0,1,feminism,1926
0,2,feminism,1926
0,3,feminism,1926
0,4,feminism,1926
0,1,feminism,1927
0,2,feminism,1927
0,3,feminism,1927
0,4,feminism,1927
0,1,feminism,1928
0,2,feminism,1928
1,3,feminism,1928
0,4,feminism,1928
0,1,feminism,1929
0,2,feminism,1929
0,3,feminism,1929
0,4,feminism,1929
0,1,feminism,1930
0,2,feminism,1930
0,3,feminism,1930
0,4,feminism,1930
0,1,feminism,1931
0,2,feminism,1931
0,3,feminism,1931
0,4,feminism,1931
0,1,feminism,1932
0,2,feminism,1932
0,3,feminism,1932
0,4,feminism,1932
0,1,feminism,1933
0,2,feminism,1933
0,3,feminism,1933
0,4,feminism,1933
0,1,feminism,1934
0,2,feminism,1934
0,3,feminism,1934
0,4,feminism,1934
0,1,feminism,1935
0,2,feminism,1935
0,3,feminism,1935
0,4,feminism,1935
0,1,feminism,1936
0,2,feminism,1936
