hits,quarter,term,year
0,1,feminist,1900
0,2,feminist,1900
0,3,feminist,1900
0,4,feminist,1900
0,1,feminist,1901
0,2,feminist,1901
0,3,feminist,1901
0,4,feminist,1901
0,1,feminist,1902
0,2,feminist,1902
0,3,feminist,1902
0,4,feminist,1902
0,1,feminist,1903
0,2,feminist,1903
0,3,feminist,1903
0,4,feminist,1903
0,1,feminist,1904
0,2,feminist,1904
0,3,feminist,1904
0,4,feminist,1904
0,1,feminist,1905
0,2,feminist,1905
0,3,feminist,1905
0,4,feminist,1905
0,1,feminist,1906
0,2,feminist,1906
0,3,feminist,1906
0,4,feminist,1906
0,1,feminist,1907
0,2,feminist,1907
0,3,feminist,1907
0,4,feminist,1907
0,1,feminist,1908
0,2,feminist,1908
0,3,feminist,1908
0,4,feminist,1908
0,1,feminist,1909
0,2,feminist,1909
0,3,feminist,1909
0,4,feminist,1909
0,1,feminist,1910
0,2,feminist,1910
0,3,feminist,1910
0,4,feminist,1910
0,1,feminist,1911
0,2,feminist,1911
0,3,feminist,1911
0,4,feminist,1911
0,1,feminist,1912
0,2,feminist,1912
0,3,feminist,1912
0,4,feminist,1912
0,1,feminist,1913
0,2,feminist,1913
0,3,feminist,1913
0,4,feminist,1913
0,1,feminist,1914
0,2,feminist,1914
0,3,feminist,1914
0,4,feminist,1914
0,1,feminist,1915
0,2,feminist,1915
0,3,feminist,1915
0,4,feminist,1915
0,1,feminist,1916
0,2,feminist,1916
0,3,feminist,1916
0,4,feminist,1916
0,1,feminist,1917
0,2,feminist,1917
0,3,feminist,1917
0,4,feminist,1917
0,1,feminist,1918
0,2,feminist,1918
0,3,feminist,1918
0,4,feminist,1918
0,1,feminist,1919
0,2,feminist,1919
0,3,feminist,1919
0,4,feminist,1919
0,1,feminist,1920
0,2,feminist,1920
0,3,feminist,1920
0,4,feminist,1920
0,1,feminist,1921
1,2,feminist,1921
0,3,feminist,1921
0,4,feminist,1921
0,1,feminist,1922
0,2,feminist,1922
0,3,feminist,1922
0,4,feminist,1922
0,1,feminist,1923
0,2,feminist,1923
0,3,feminist,1923
0,4,feminist,1923
0,1,feminist,1924
0,2,feminist,1924
1,3,feminist,1924
0,4,feminist,1924
0,1,feminist,1925
0,2,feminist,1925
0,3,feminist,1925
0,4,feminist,1925
0,1,feminist,1926
0,2,feminist,1926
1,3,feminist,1926
0,4,feminist,1926
0,1,feminist,1927
0,2,feminist,1927
0,3,feminist,1927
0,4,feminist,1927
0,1,feminist,1928
0,2,feminist,1928
1,3,feminist,1928
0,4,feminist,1928
0,1,feminist,1929
0,2,feminist,1929
0,3,feminist,1929
0,4,feminist,1929
0,1,feminist,1930
0,2,feminist,1930
0,3,feminist,1930
1,4,feminist,1930
0,1,feminist,1931
0,2,feminist,1931
0,3,feminist,1931
0,4,feminist,1931
0,1,feminist,1932
0,2,feminist,1932
0,3,feminist,1932
0,4,feminist,1932
0,1,feminist,1933
0,2,feminist,1933
0,3,feminist,1933
0,4,feminist,1933
0,1,feminist,1934
0,2,feminist,1934
0,3,feminist,1934
0,4,feminist,1934
0,1,feminist,1935
0,2,feminist,1935
0,3,feminist,1935
0,4,feminist,1935
0,1,feminist,1936
0,2,feminist,1936
0,3,feminist,1936
0,4,feminist,1936
0,1,feminist,1937
0,2,feminist,1937
0,3,feminist,1937
0,4,feminist,1937
0,1,feminist,1938
0,2,feminist,1938
0,3,feminist,1938
0,4,feminist,1938
0,1,feminist,1939
0,2,feminist,1939
1,3,feminist,1939
0,4,feminist,1939
0,1,feminist,1940
0,2,feminist,1940
0,3,feminist,1940
0,4,feminist,1940
0,1,feminist,1941
0,2,feminist,1941
0,3,feminist,1941
0,4,feminist,1941
0,1,feminist,1942
0,2,feminist,1942
0,3,feminist,1942
0,4,feminist,1942
0,1,feminist,1943
0,2,feminist,1943
0,3,feminist,1943
0,4,feminist,1943
0,1,feminist,1944
0,2,feminist,1944
0,3,feminist,1944
0,4,feminist,1944
0,1,feminist,1945
0,2,feminist,1945
0,3,feminist,1945
0,4,feminist,1945
0,1,feminist,1946
0,2,feminist,1946
0,3,feminist,1946
0,4,feminist,1946
0,1,feminist,1947
0,2,feminist,1947
0,3,feminist,1947
0,4,feminist,1947
0,1,feminist,1948
0,2,feminist,1948
0,3,feminist,1948
0,4,feminist,1948
0,1,feminist,1949
0,2,feminist,1949
0,3,feminist,1949
0,4,feminist,1949
0,1,feminist,1950
0,2,feminist,1950
0,3,feminist,1950
0,4,feminist,1950
0,1,feminist,1951
0,2,feminist,1951
0,3,feminist,1951
0,4,feminist,1951
0,1,feminist,1952
0,2,feminist,1952
0,3,feminist,1952
0,4,feminist,1952
0,1,feminist,1953
0,2,feminist,1953
0,3,feminist,1953
0,4,feminist,1953
0,1,feminist,1954
0,2,feminist,1954
0,3,feminist,1954
0,4,feminist,1954
0,1,feminist,1955
0,2,feminist,1955
0,3,feminist,1955
0,4,feminist,1955
0,1,feminist,1956
0,2,feminist,1956
0,3,feminist,1956
0,4,feminist,1956
0,1,feminist,1957
0,2,feminist,1957
0,3,feminist,1957
0,4,feminist,1957
0,1,feminist,1958
0,2,feminist,1958
0,3,feminist,1958
0,4,feminist,1958
0,1,feminist,1959
1,2,feminist,1959
0,3,feminist,1959
0,4,feminist,1959
0,1,feminist,1960
0,2,feminist,1960
0,3,feminist,1960
0,4,feminist,1960
0,1,feminist,1961
0,2,feminist,1961
0,3,feminist,1961
0,4,feminist,1961
0,1,feminist,1962
0,2,feminist,1962
0,3,feminist,1962
0,4,feminist,1962
0,1,feminist,1963
0,2,feminist,1963
0,3,feminist,1963
0,4,feminist,1963
5,1,feminist,1964
3,2,feminist,1964
2,3,feminist,1964
2,4,feminist,1964
0,1,feminist,1965
0,2,feminist,1965
0,3,feminist,1965
0,4,feminist,1965
0,1,feminist,1966
0,2,feminist,1966
0,3,feminist,1966
0,4,feminist,1966
0,1,feminist,1967
0,2,feminist,1967
0,3,feminist,1967
0,4,feminist,1967
0,1,feminist,1968
0,2,feminist,1968
0,3,feminist,1968
0,4,feminist,1968
0,1,feminist,1969
0,2,feminist,1969
1,3,feminist,1969
0,4,feminist,1969
29,1,feminist,1970
31,2,feminist,1970
30,3,feminist,1970
31,4,feminist,1970
32,1,feminist,1971
25,2,feminist,1971
27,3,feminist,1971
34,4,feminist,1971
84,1,feminist,1972
53,2,feminist,1972
61,3,feminist,1972
65,4,feminist,1972
96,1,feminist,1973
77,2,feminist,1973
56,3,feminist,1973
78,4,feminist,1973
89,1,feminist,1974
97,2,feminist,1974
88,3,feminist,1974
87,4,feminist,1974
101,1,feminist,1975
124,2,feminist,1975
98,3,feminist,1975
143,4,feminist,1975
89,1,feminist,1976
89,2,feminist,1976
110,3,feminist,1976
85,4,feminist,1976
100,1,feminist,1977
124,2,feminist,1977
