hits,quarter,term,year
0,1,orchestra,1900
0,2,orchestra,1900
0,3,orchestra,1900
0,4,orchestra,1900
0,1,orchestra,1901
0,2,orchestra,1901
0,3,orchestra,1901
0,4,orchestra,1901
0,1,orchestra,1902
0,2,orchestra,1902
0,3,orchestra,1902
0,4,orchestra,1902
0,1,orchestra,1903
0,2,orchestra,1903
0,3,orchestra,1903
0,4,orchestra,1903
0,1,orchestra,1904
0,2,orchestra,1904
0,3,orchestra,1904
0,4,orchestra,1904
0,1,orchestra,1905
0,2,orchestra,1905
0,3,orchestra,1905
0,4,orchestra,1905
0,1,orchestra,1906
0,2,orchestra,1906
0,3,orchestra,1906
0,4,orchestra,1906
0,1,orchestra,1907
0,2,orchestra,1907
0,3,orchestra,1907
0,4,orchestra,1907
0,1,orchestra,1908
0,2,orchestra,1908
0,3,orchestra,1908
0,4,orchestra,1908
0,1,orchestra,1909
0,2,orchestra,1909
0,3,orchestra,1909
0,4,orchestra,1909
0,1,orchestra,1910
0,2,orchestra,1910
0,3,orchestra,1910
0,4,orchestra,1910
0,1,orchestra,1911
0,2,orchestra,1911
0,3,orchestra,1911
0,4,orchestra,1911
0,1,orchestra,1912
0,2,orchestra,1912
0,3,orchestra,1912
0,4,orchestra,1912
0,1,orchestra,1913
0,2,orchestra,1913
0,3,orchestra,1913
0,4,orchestra,1913
0,1,orchestra,1914
1,2,orchestra,1914
2,3,orchestra,1914
0,4,orchestra,1914
1,1,orchestra,1915
1,2,orchestra,1915
0,3,orchestra,1915
2,4,orchestra,1915
1,1,orchestra,1916
5,2,orchestra,1916
1,3,orchestra,1916
5,4,orchestra,1916
2,1,orchestra,1917
0,2,orchestra,1917
1,3,orchestra,1917
0,4,orchestra,1917
1,1,orchestra,1918
6,2,orchestra,1918
6,3,orchestra,1918
2,4,orchestra,1918
3,1,orchestra,1919
4,2,orchestra,1919
4,3,orchestra,1919
0,4,orchestra,1919
1,1,orchestra,1920
2,2,orchestra,1920
0,3,orchestra,1920
2,4,orchestra,1920
0,1,orchestra,1921
3,2,orchestra,1921
2,3,orchestra,1921
3,4,orchestra,1921
4,1,orchestra,1922
3,2,orchestra,1922
