hits,quarter,term,year
225,1,womanism,1900
168,2,womanism,1900
222,3,womanism,1900
246,4,womanism,1900
213,1,womanism,1901
228,2,womanism,1901
189,3,womanism,1901
198,4,womanism,1901
163,1,womanism,1902
153,2,womanism,1902
194,3,womanism,1902
214,4,womanism,1902
206,1,womanism,1903
190,2,womanism,1903
282,3,womanism,1903
204,4,womanism,1903
193,1,womanism,1904
294,2,womanism,1904
278,3,womanism,1904
241,4,womanism,1904
217,1,womanism,1905
261,2,womanism,1905
269,3,womanism,1905
235,4,womanism,1905
186,1,womanism,1906
202,2,womanism,1906
226,3,womanism,1906
262,4,womanism,1906
252,1,womanism,1907
257,2,womanism,1907
396,3,womanism,1907
364,4,womanism,1907
264,1,womanism,1908
284,2,womanism,1908
374,3,womanism,1908
311,4,womanism,1908
342,1,womanism,1909
324,2,womanism,1909
312,3,womanism,1909
422,4,womanism,1909
346,1,womanism,1910
384,2,womanism,1910
347,3,womanism,1910
298,4,womanism,1910
263,1,womanism,1911
311,2,womanism,1911
378,3,womanism,1911
415,4,womanism,1911
401,1,womanism,1912
400,2,womanism,1912
332,3,womanism,1912
335,4,womanism,1912
306,1,womanism,1913
314,2,womanism,1913
297,3,womanism,1913
323,4,womanism,1913
326,1,womanism,1914
293,2,womanism,1914
272,3,womanism,1914
211,4,womanism,1914
299,1,womanism,1915
275,2,womanism,1915
277,3,womanism,1915
276,4,womanism,1915
190,1,womanism,1916
203,2,womanism,1916
208,3,womanism,1916
141,4,womanism,1916
231,1,womanism,1917
179,2,womanism,1917
208,3,womanism,1917
281,4,womanism,1917
240,1,womanism,1918
191,2,womanism,1918
192,3,womanism,1918
116,4,womanism,1918
168,1,womanism,1919
192,2,womanism,1919
177,3,womanism,1919
264,4,womanism,1919
265,1,womanism,1920
264,2,womanism,1920
356,3,womanism,1920
297,4,womanism,1920
387,1,womanism,1921
447,2,womanism,1921
474,3,womanism,1921
412,4,womanism,1921
450,1,womanism,1922
470,2,womanism,1922
446,3,womanism,1922
478,4,womanism,1922
377,1,womanism,1923
381,2,womanism,1923
328,3,womanism,1923
274,4,womanism,1923
302,1,womanism,1924
342,2,womanism,1924
293,3,womanism,1924
329,4,womanism,1924
471,1,womanism,1925
422,2,womanism,1925
408,3,womanism,1925
362,4,womanism,1925
464,1,womanism,1926
557,2,womanism,1926
541,3,womanism,1926
571,4,womanism,1926
536,1,womanism,1927
562,2,womanism,1927
647,3,womanism,1927
604,4,womanism,1927
570,1,womanism,1928
504,2,womanism,1928
610,3,womanism,1928
556,4,womanism,1928
537,1,womanism,1929
488,2,womanism,1929
496,3,womanism,1929
537,4,womanism,1929
563,1,womanism,1930
581,2,womanism,1930
532,3,womanism,1930
438,4,womanism,1930
443,1,womanism,1931
568,2,womanism,1931
544,3,womanism,1931
506,4,womanism,1931
485,1,womanism,1932
446,2,womanism,1932
391,3,womanism,1932
426,4,womanism,1932
494,1,womanism,1933
463,2,womanism,1933
411,3,womanism,1933
381,4,womanism,1933
442,1,womanism,1934
529,2,womanism,1934
494,3,womanism,1934
540,4,womanism,1934
430,1,womanism,1935
446,2,womanism,1935
446,3,womanism,1935
497,4,womanism,1935
397,1,womanism,1936
