hits,quarter,term,year
0,1,womanist,1900
0,2,womanist,1900
0,3,womanist,1900
0,4,womanist,1900
0,1,womanist,1901
2,2,womanist,1901
0,3,womanist,1901
1,4,womanist,1901
0,1,womanist,1902
2,2,womanist,1902
0,3,womanist,1902
0,4,womanist,1902
0,1,womanist,1903
1,2,womanist,1903
1,3,womanist,1903
0,4,womanist,1903
1,1,womanist,1904
0,2,womanist,1904
0,3,womanist,1904
0,4,womanist,1904
0,1,womanist,1905
1,2,womanist,1905
4,3,womanist,1905
1,4,womanist,1905
0,1,womanist,1906
1,2,womanist,1906
0,3,womanist,1906
0,4,womanist,1906
0,1,womanist,1907
0,2,womanist,1907
1,3,womanist,1907
1,4,womanist,1907
0,1,womanist,1908
0,2,womanist,1908
2,3,womanist,1908
0,4,womanist,1908
2,1,womanist,1909
0,2,womanist,1909
0,3,womanist,1909
0,4,womanist,1909
2,1,womanist,1910
1,2,womanist,1910
0,3,womanist,1910
1,4,womanist,1910
0,1,womanist,1911
2,2,womanist,1911
0,3,womanist,1911
1,4,womanist,1911
0,1,womanist,1912
2,2,womanist,1912
2,3,womanist,1912
0,4,womanist,1912
0,1,womanist,1913
1,2,womanist,1913
1,3,womanist,1913
1,4,womanist,1913
0,1,womanist,1914
0,2,womanist,1914
0,3,womanist,1914
0,4,womanist,1914
0,1,womanist,1915
0,2,womanist,1915
3,3,womanist,1915
2,4,womanist,1915
1,1,womanist,1916
0,2,womanist,1916
1,3,womanist,1916
1,4,womanist,1916
1,1,womanist,1917
0,2,womanist,1917
1,3,womanist,1917
0,4,womanist,1917
0,1,womanist,1918
1,2,womanist,1918
0,3,womanist,1918
0,4,womanist,1918
0,1,womanist,1919
0,2,womanist,1919
0,3,womanist,1919
0,4,womanist,1919
1,1,womanist,1920
1,2,womanist,1920
0,3,womanist,1920
4,4,womanist,1920
1,1,womanist,1921
0,2,womanist,1921
1,3,womanist,1921
0,4,womanist,1921
2,1,womanist,1922
1,2,womanist,1922
0,3,womanist,1922
2,4,womanist,1922
1,1,womanist,1923
0,2,womanist,1923
2,3,womanist,1923
0,4,womanist,1923
1,1,womanist,1924
0,2,womanist,1924
0,3,womanist,1924
1,4,womanist,1924
2,1,womanist,1925
2,2,womanist,1925
1,3,womanist,1925
3,4,womanist,1925
3,1,womanist,1926
2,2,womanist,1926
2,3,womanist,1926
1,4,womanist,1926
3,1,womanist,1927
1,2,womanist,1927
2,3,womanist,1927
2,4,womanist,1927
3,1,womanist,1928
3,2,womanist,1928
5,3,womanist,1928
4,4,womanist,1928
2,1,womanist,1929
2,2,womanist,1929
6,3,womanist,1929
12,4,womanist,1929
6,1,womanist,1930
5,2,womanist,1930
2,3,womanist,1930
4,4,womanist,1930
3,1,womanist,1931
4,2,womanist,1931
3,3,womanist,1931
4,4,womanist,1931
4,1,womanist,1932
2,2,womanist,1932
3,3,womanist,1932
2,4,womanist,1932
3,1,womanist,1933
2,2,womanist,1933
3,3,womanist,1933
1,4,womanist,1933
4,1,womanist,1934
3,2,womanist,1934
4,3,womanist,1934
6,4,womanist,1934
4,1,womanist,1935
4,2,womanist,1935
2,3,womanist,1935
2,4,womanist,1935
1,1,womanist,1936
2,2,womanist,1936
2,3,womanist,1936
4,4,womanist,1936
7,1,womanist,1937
0,2,womanist,1937
2,3,womanist,1937
4,4,womanist,1937
3,1,womanist,1938
3,2,womanist,1938
2,3,womanist,1938
4,4,womanist,1938
4,1,womanist,1939
2,2,womanist,1939
4,3,womanist,1939
2,4,womanist,1939
3,1,womanist,1940
3,2,womanist,1940
2,3,womanist,1940
1,4,womanist,1940
1,1,womanist,1941
1,2,womanist,1941
0,3,womanist,1941
2,4,womanist,1941
0,1,womanist,1942
3,2,womanist,1942
4,3,womanist,1942
1,4,womanist,1942
0,1,womanist,1943
0,2,womanist,1943
4,3,womanist,1943
2,4,womanist,1943
2,1,womanist,1944
2,2,womanist,1944
0,3,womanist,1944
3,4,womanist,1944
1,1,womanist,1945
2,2,womanist,1945
0,3,womanist,1945
1,4,womanist,1945
0,1,womanist,1946
0,2,womanist,1946
2,3,womanist,1946
2,4,womanist,1946
1,1,womanist,1947
0,2,womanist,1947
2,3,womanist,1947
2,4,womanist,1947
3,1,womanist,1948
1,2,womanist,1948
0,3,womanist,1948
2,4,womanist,1948
4,1,womanist,1949
1,2,womanist,1949
3,3,womanist,1949
2,4,womanist,1949
2,1,womanist,1950
3,2,womanist,1950
2,3,womanist,1950
1,4,womanist,1950
0,1,womanist,1951
0,2,womanist,1951
1,3,womanist,1951
0,4,womanist,1951
3,1,womanist,1952
2,2,womanist,1952
1,3,womanist,1952
2,4,womanist,1952
2,1,womanist,1953
1,2,womanist,1953
1,3,womanist,1953
1,4,womanist,1953
1,1,womanist,1954
1,2,womanist,1954
2,3,womanist,1954
2,4,womanist,1954
2,1,womanist,1955
0,2,womanist,1955
3,3,womanist,1955
1,4,womanist,1955
3,1,womanist,1956
1,2,womanist,1956
1,3,womanist,1956
3,4,womanist,1956
1,1,womanist,1957
1,2,womanist,1957
6,3,womanist,1957
4,4,womanist,1957
6,1,womanist,1958
3,2,womanist,1958
2,3,womanist,1958
0,4,womanist,1958
0,1,womanist,1959
3,2,womanist,1959
6,3,womanist,1959
2,4,womanist,1959
5,1,womanist,1960
3,2,womanist,1960
1,3,womanist,1960
0,4,womanist,1960
4,1,womanist,1961
1,2,womanist,1961
3,3,womanist,1961
2,4,womanist,1961
4,1,womanist,1962
1,2,womanist,1962
3,3,womanist,1962
3,4,womanist,1962
2,1,womanist,1963
3,2,womanist,1963
4,3,womanist,1963
1,4,womanist,1963
33,1,womanist,1964
43,2,womanist,1964
27,3,womanist,1964
26,4,womanist,1964
2,1,womanist,1965
0,2,womanist,1965
0,3,womanist,1965
0,4,womanist,1965
1,1,womanist,1966
4,2,womanist,1966
1,3,womanist,1966
1,4,womanist,1966
4,1,womanist,1967
4,2,womanist,1967
3,3,womanist,1967
2,4,womanist,1967
1,1,womanist,1968
1,2,womanist,1968
4,3,womanist,1968
0,4,womanist,1968
1,1,womanist,1969
1,2,womanist,1969
0,3,womanist,1969
0,4,womanist,1969
35,1,womanist,1970
37,2,womanist,1970
30,3,womanist,1970
29,4,womanist,1970
28,1,womanist,1971
26,2,womanist,1971
26,3,womanist,1971
30,4,womanist,1971
24,1,womanist,1972
27,2,womanist,1972
23,3,womanist,1972
38,4,womanist,1972
36,1,womanist,1973
25,2,womanist,1973
38,3,womanist,1973
36,4,womanist,1973
28,1,womanist,1974
32,2,womanist,1974
28,3,womanist,1974
29,4,womanist,1974
46,1,womanist,1975
37,2,womanist,1975
28,3,womanist,1975
48,4,womanist,1975
31,1,womanist,1976
35,2,womanist,1976
35,3,womanist,1976
34,4,womanist,1976
41,1,womanist,1977
45,2,womanist,1977
43,3,womanist,1977
44,4,womanist,1977
41,1,womanist,1978
66,2,womanist,1978
18,3,womanist,1978
34,4,womanist,1978
52,1,womanist,1979
55,2,womanist,1979
36,3,womanist,1979
59,4,womanist,1979
3,1,womanist,1980
2,2,womanist,1980
1,3,womanist,1980
5,4,womanist,1980
46,1,womanist,1981
51,2,womanist,1981
34,3,womanist,1981
45,4,womanist,1981
36,1,womanist,1982
43,2,womanist,1982
37,3,womanist,1982
47,4,womanist,1982
35,1,womanist,1983
36,2,womanist,1983
38,3,womanist,1983
55,4,womanist,1983
65,1,womanist,1984
57,2,womanist,1984
46,3,womanist,1984
53,4,womanist,1984
31,1,womanist,1985
47,2,womanist,1985
36,3,womanist,1985
32,4,womanist,1985
48,1,womanist,1986
39,2,womanist,1986
46,3,womanist,1986
54,4,womanist,1986
46,1,womanist,1987
83,2,womanist,1987
54,3,womanist,1987
40,4,womanist,1987
46,1,womanist,1988
47,2,womanist,1988
46,3,womanist,1988
45,4,womanist,1988
79,1,womanist,1989
39,2,womanist,1989
41,3,womanist,1989
49,4,womanist,1989
54,1,womanist,1990
41,2,womanist,1990
37,3,womanist,1990
49,4,womanist,1990
29,1,womanist,1991
46,2,womanist,1991
56,3,womanist,1991
48,4,womanist,1991
34,1,womanist,1992
54,2,womanist,1992
51,3,womanist,1992
46,4,womanist,1992
50,1,womanist,1993
47,2,womanist,1993
34,3,womanist,1993
46,4,womanist,1993
38,1,womanist,1994
35,2,womanist,1994
43,3,womanist,1994
36,4,womanist,1994
33,1,womanist,1995
45,2,womanist,1995
49,3,womanist,1995
57,4,womanist,1995
43,1,womanist,1996
50,2,womanist,1996
46,3,womanist,1996
34,4,womanist,1996
45,1,womanist,1997
59,2,womanist,1997
47,3,womanist,1997
63,4,womanist,1997
49,1,womanist,1998
53,2,womanist,1998
60,3,womanist,1998
53,4,womanist,1998
45,1,womanist,1999
48,2,womanist,1999
43,3,womanist,1999
62,4,womanist,1999
58,1,womanist,2000
51,2,womanist,2000
58,3,womanist,2000
56,4,womanist,2000
51,1,womanist,2001
61,2,womanist,2001
50,3,womanist,2001
65,4,womanist,2001
55,1,womanist,2002
66,2,womanist,2002
65,3,womanist,2002
52,4,womanist,2002
50,1,womanist,2003
56,2,womanist,2003
71,3,womanist,2003
53,4,womanist,2003
66,1,womanist,2004
59,2,womanist,2004
53,3,womanist,2004
82,4,womanist,2004
54,1,womanist,2005
68,2,womanist,2005
55,3,womanist,2005
62,4,womanist,2005
57,1,womanist,2006
69,2,womanist,2006
72,3,womanist,2006
117,4,womanist,2006
37,1,womanist,2007
56,2,womanist,2007
51,3,womanist,2007
65,4,womanist,2007
50,1,womanist,2008
65,2,womanist,2008
