hits,quarter,term,year
0,1,women's lib*,1900
0,2,women's lib*,1900
0,3,women's lib*,1900
0,4,women's lib*,1900
0,1,women's lib*,1901
0,2,women's lib*,1901
0,3,women's lib*,1901
0,4,women's lib*,1901
0,1,women's lib*,1902
0,2,women's lib*,1902
0,3,women's lib*,1902
0,4,women's lib*,1902
0,1,women's lib*,1903
0,2,women's lib*,1903
0,3,women's lib*,1903
0,4,women's lib*,1903
0,1,women's lib*,1904
0,2,women's lib*,1904
0,3,women's lib*,1904
0,4,women's lib*,1904
0,1,women's lib*,1905
0,2,women's lib*,1905
0,3,women's lib*,1905
0,4,women's lib*,1905
0,1,women's lib*,1906
0,2,women's lib*,1906
0,3,women's lib*,1906
0,4,women's lib*,1906
0,1,women's lib*,1907
0,2,women's lib*,1907
0,3,women's lib*,1907
0,4,women's lib*,1907
0,1,women's lib*,1908
0,2,women's lib*,1908
0,3,women's lib*,1908
0,4,women's lib*,1908
0,1,women's lib*,1909
0,2,women's lib*,1909
0,3,women's lib*,1909
0,4,women's lib*,1909
0,1,women's lib*,1910
0,2,women's lib*,1910
0,3,women's lib*,1910
0,4,women's lib*,1910
0,1,women's lib*,1911
0,2,women's lib*,1911
0,3,women's lib*,1911
0,4,women's lib*,1911
0,1,women's lib*,1912
0,2,women's lib*,1912
0,3,women's lib*,1912
0,4,women's lib*,1912
0,1,women's lib*,1913
0,2,women's lib*,1913
0,3,women's lib*,1913
1,4,women's lib*,1913
0,1,women's lib*,1914
1,2,women's lib*,1914
0,3,women's lib*,1914
0,4,women's lib*,1914
2,1,women's lib*,1915
0,2,women's lib*,1915
0,3,women's lib*,1915
4,4,women's lib*,1915
5,1,women's lib*,1916
2,2,women's lib*,1916
6,3,women's lib*,1916
4,4,women's lib*,1916
2,1,women's lib*,1917
2,2,women's lib*,1917
0,3,women's lib*,1917
1,4,women's lib*,1917
0,1,women's lib*,1918
6,2,women's lib*,1918
5,3,women's lib*,1918
4,4,women's lib*,1918
3,1,women's lib*,1919
4,2,women's lib*,1919
5,3,women's lib*,1919
5,4,women's lib*,1919
3,1,women's lib*,1920
4,2,women's lib*,1920
6,3,women's lib*,1920
2,4,women's lib*,1920
4,1,women's lib*,1921
3,2,women's lib*,1921
3,3,women's lib*,1921
7,4,women's lib*,1921
5,1,women's lib*,1922
4,2,women's lib*,1922
2,3,women's lib*,1922
4,4,women's lib*,1922
3,1,women's lib*,1923
10,2,women's lib*,1923
9,3,women's lib*,1923
8,4,women's lib*,1923
11,1,women's lib*,1924
19,2,women's lib*,1924
16,3,women's lib*,1924
19,4,women's lib*,1924
20,1,women's lib*,1925
19,2,women's lib*,1925
13,3,women's lib*,1925
9,4,women's lib*,1925
8,1,women's lib*,1926
10,2,women's lib*,1926
5,3,women's lib*,1926
11,4,women's lib*,1926
11,1,women's lib*,1927
14,2,women's lib*,1927
9,3,women's lib*,1927
11,4,women's lib*,1927
16,1,women's lib*,1928
12,2,women's lib*,1928
10,3,women's lib*,1928
12,4,women's lib*,1928
13,1,women's lib*,1929
17,2,women's lib*,1929
12,3,women's lib*,1929
19,4,women's lib*,1929
15,1,women's lib*,1930
13,2,women's lib*,1930
18,3,women's lib*,1930
20,4,women's lib*,1930
13,1,women's lib*,1931
20,2,women's lib*,1931
15,3,women's lib*,1931
18,4,women's lib*,1931
22,1,women's lib*,1932
19,2,women's lib*,1932
13,3,women's lib*,1932
18,4,women's lib*,1932
19,1,women's lib*,1933
25,2,women's lib*,1933
13,3,women's lib*,1933
15,4,women's lib*,1933
18,1,women's lib*,1934
17,2,women's lib*,1934
7,3,women's lib*,1934
18,4,women's lib*,1934
21,1,women's lib*,1935
14,2,women's lib*,1935
17,3,women's lib*,1935
20,4,women's lib*,1935
23,1,women's lib*,1936
12,2,women's lib*,1936
15,3,women's lib*,1936
20,4,women's lib*,1936
4,1,women's lib*,1937
5,2,women's lib*,1937
2,3,women's lib*,1937
10,4,women's lib*,1937
6,1,women's lib*,1938
5,2,women's lib*,1938
3,3,women's lib*,1938
6,4,women's lib*,1938
15,1,women's lib*,1939
13,2,women's lib*,1939
12,3,women's lib*,1939
14,4,women's lib*,1939
18,1,women's lib*,1940
12,2,women's lib*,1940
10,3,women's lib*,1940
9,4,women's lib*,1940
7,1,women's lib*,1941
6,2,women's lib*,1941
3,3,women's lib*,1941
10,4,women's lib*,1941
3,1,women's lib*,1942
7,2,women's lib*,1942
6,3,women's lib*,1942
7,4,women's lib*,1942
5,1,women's lib*,1943
8,2,women's lib*,1943
4,3,women's lib*,1943
7,4,women's lib*,1943
6,1,women's lib*,1944
7,2,women's lib*,1944
3,3,women's lib*,1944
1,4,women's lib*,1944
5,1,women's lib*,1945
5,2,women's lib*,1945
4,3,women's lib*,1945
5,4,women's lib*,1945
3,1,women's lib*,1946
6,2,women's lib*,1946
6,3,women's lib*,1946
4,4,women's lib*,1946
2,1,women's lib*,1947
5,2,women's lib*,1947
11,3,women's lib*,1947
5,4,women's lib*,1947
11,1,women's lib*,1948
7,2,women's lib*,1948
3,3,women's lib*,1948
3,4,women's lib*,1948
8,1,women's lib*,1949
4,2,women's lib*,1949
2,3,women's lib*,1949
13,4,women's lib*,1949
4,1,women's lib*,1950
12,2,women's lib*,1950
8,3,women's lib*,1950
9,4,women's lib*,1950
7,1,women's lib*,1951
9,2,women's lib*,1951
6,3,women's lib*,1951
5,4,women's lib*,1951
8,1,women's lib*,1952
8,2,women's lib*,1952
6,3,women's lib*,1952
5,4,women's lib*,1952
7,1,women's lib*,1953
7,2,women's lib*,1953
5,3,women's lib*,1953
5,4,women's lib*,1953
5,1,women's lib*,1954
9,2,women's lib*,1954
8,3,women's lib*,1954
3,4,women's lib*,1954
8,1,women's lib*,1955
6,2,women's lib*,1955
7,3,women's lib*,1955
12,4,women's lib*,1955
7,1,women's lib*,1956
7,2,women's lib*,1956
2,3,women's lib*,1956
6,4,women's lib*,1956
4,1,women's lib*,1957
6,2,women's lib*,1957
6,3,women's lib*,1957
10,4,women's lib*,1957
7,1,women's lib*,1958
8,2,women's lib*,1958
7,3,women's lib*,1958
4,4,women's lib*,1958
4,1,women's lib*,1959
9,2,women's lib*,1959
5,3,women's lib*,1959
12,4,women's lib*,1959
4,1,women's lib*,1960
7,2,women's lib*,1960
3,3,women's lib*,1960
4,4,women's lib*,1960
2,1,women's lib*,1961
6,2,women's lib*,1961
4,3,women's lib*,1961
8,4,women's lib*,1961
6,1,women's lib*,1962
8,2,women's lib*,1962
4,3,women's lib*,1962
11,4,women's lib*,1962
3,1,women's lib*,1963
5,2,women's lib*,1963
3,3,women's lib*,1963
11,4,women's lib*,1963
3531,1,women's lib*,1964
3763,2,women's lib*,1964
3664,3,women's lib*,1964
3933,4,women's lib*,1964
6,1,women's lib*,1965
2,2,women's lib*,1965
6,3,women's lib*,1965
7,4,women's lib*,1965
6,1,women's lib*,1966
4,2,women's lib*,1966
8,3,women's lib*,1966
8,4,women's lib*,1966
9,1,women's lib*,1967
5,2,women's lib*,1967
3,3,women's lib*,1967
8,4,women's lib*,1967
10,1,women's lib*,1968
11,2,women's lib*,1968
6,3,women's lib*,1968
10,4,women's lib*,1968
13,1,women's lib*,1969
11,2,women's lib*,1969
12,3,women's lib*,1969
14,4,women's lib*,1969
3425,1,women's lib*,1970
3293,2,women's lib*,1970
3313,3,women's lib*,1970
3684,4,women's lib*,1970
3215,1,women's lib*,1971
3239,2,women's lib*,1971
2927,3,women's lib*,1971
3295,4,women's lib*,1971
3387,1,women's lib*,1972
3422,2,women's lib*,1972
3191,3,women's lib*,1972
3687,4,women's lib*,1972
3924,1,women's lib*,1973
3646,2,women's lib*,1973
3461,3,women's lib*,1973
3753,4,women's lib*,1973
3690,1,women's lib*,1974
3815,2,women's lib*,1974
3553,3,women's lib*,1974
3874,4,women's lib*,1974
3605,1,women's lib*,1975
3885,2,women's lib*,1975
3578,3,women's lib*,1975
4432,4,women's lib*,1975
3502,1,women's lib*,1976
4295,2,women's lib*,1976
4190,3,women's lib*,1976
3855,4,women's lib*,1976
3887,1,women's lib*,1977
4369,2,women's lib*,1977
4548,3,women's lib*,1977
4703,4,women's lib*,1977
4314,1,women's lib*,1978
4449,2,women's lib*,1978
1797,3,women's lib*,1978
2500,4,women's lib*,1978
3921,1,women's lib*,1979
4220,2,women's lib*,1979
3870,3,women's lib*,1979
4207,4,women's lib*,1979
6,1,women's lib*,1980
14,2,women's lib*,1980
16,3,women's lib*,1980
12,4,women's lib*,1980
3511,1,women's lib*,1981
3756,2,women's lib*,1981
3610,3,women's lib*,1981
4201,4,women's lib*,1981
3631,1,women's lib*,1982
3788,2,women's lib*,1982
3927,3,women's lib*,1982
3750,4,women's lib*,1982
3500,1,women's lib*,1983
3627,2,women's lib*,1983
3672,3,women's lib*,1983
3689,4,women's lib*,1983
3903,1,women's lib*,1984
3959,2,women's lib*,1984
4215,3,women's lib*,1984
4139,4,women's lib*,1984
3692,1,women's lib*,1985
3782,2,women's lib*,1985
3519,3,women's lib*,1985
4087,4,women's lib*,1985
3929,1,women's lib*,1986
4656,2,women's lib*,1986
4088,3,women's lib*,1986
3966,4,women's lib*,1986
3833,1,women's lib*,1987
3875,2,women's lib*,1987
3694,3,women's lib*,1987
4054,4,women's lib*,1987
3838,1,women's lib*,1988
3884,2,women's lib*,1988
3829,3,women's lib*,1988
4134,4,women's lib*,1988
3794,1,women's lib*,1989
3905,2,women's lib*,1989
3542,3,women's lib*,1989
3971,4,women's lib*,1989
3619,1,women's lib*,1990
3717,2,women's lib*,1990
3824,3,women's lib*,1990
3868,4,women's lib*,1990
3553,1,women's lib*,1991
3670,2,women's lib*,1991
3647,3,women's lib*,1991
3867,4,women's lib*,1991
3832,1,women's lib*,1992
3877,2,women's lib*,1992
3787,3,women's lib*,1992
3751,4,women's lib*,1992
3646,1,women's lib*,1993
3867,2,women's lib*,1993
3923,3,women's lib*,1993
4091,4,women's lib*,1993
3770,1,women's lib*,1994
3830,2,women's lib*,1994
3568,3,women's lib*,1994
3643,4,women's lib*,1994
3614,1,women's lib*,1995
3708,2,women's lib*,1995
3614,3,women's lib*,1995
4129,4,women's lib*,1995
3657,1,women's lib*,1996
3936,2,women's lib*,1996
3818,3,women's lib*,1996
3761,4,women's lib*,1996
3572,1,women's lib*,1997
3720,2,women's lib*,1997
3553,3,women's lib*,1997
4134,4,women's lib*,1997
4173,1,women's lib*,1998
3986,2,women's lib*,1998
4025,3,women's lib*,1998
4209,4,women's lib*,1998
